ubicageo_f,numeral,nombre1,integra1,anios_a,temaatsp_a,temaatsp_b,temaatsp_c,temaatsp_d,sexostt,sexos1,sexos2
2007,1,UNIDAD PARA LA ATENCION DE PERSONAS EN ESTADO DE VULNERABILIDAD,02007UEP01,2021,1,5,7,9,2,1,1
3001,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
3002,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
3003,1,POLICIA TURISTICA,DSP03003M09-UEP01,2000,13,1,,,20,7,13
3003,2,POLICIA ECOLOGICA,DSP03003M09-UEP02,2020,13,1,,,7,3,4
3008,1,UNIDAD ESPECIALIZADA EN ATENCION A LA VIOLENCIA FAMILIAR Y DE GENERO,03008UEP01,2014,5,6,7,9,14,5,9
3008,2,UNIDAD DE REACCION INMEDIATA,03008UEP02,2007,2,,,,8,7,1
3008,3,FUERZA DE REACCION INMEDIATA,03008UEP003,2022,2,,,,8,8,0
3009,1,UNIDAD DE ANALISIS DE INFORMACION,03009UEP01,2016,13,1,2,7,5,2,3
4001,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
4002,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
4003,1,PREVENCION DEL DELITO,04003UEP01,2018,6,,,,1,0,1
4004,1,UNIDAD DE ANALISIS,CE-SP04004M10282840646,2012,13,,,,3,2,1
4005,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
4006,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
4007,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
4008,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
4009,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
4010,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
4011,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
4012,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
4013,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5001,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5002,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5003,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5004,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5005,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5006,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5007,1,POLICIA CIVIL COAHUILA,05007UEP01,2019,1,5,,,14,10,4
5008,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5009,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5010,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5011,1,TRANSITO Y VIALIDAD,05011UEP01,2018,2,1,,,12,7,5
5012,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5013,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5014,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5015,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5016,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5017,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5018,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5019,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5020,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5021,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5022,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5023,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5024,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5025,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5026,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5027,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5028,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5029,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5030,1,VIOLETAS,05030UEP01,2021,6,7,,,28,15,13
5030,2,UNIDAD DE INTEGRACION FAMILIAR,05030UEP02,2018,5,9,1,,24,13,11
5030,3,ATENCION A VICTIMAS,05030UEP03,2022,7,2,,,0,0,0
5030,4,JUSTICIA CIVICA,05030UEP04,2022,3,2,,,9,3,6
5031,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5032,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5033,1,AGRUPAMIENTO VIOLETA,33235,2022,6,5,9,7,3,1,2
5034,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5035,1,UNIDAD DE ATENCION A VICTIMAS DE VIOLENCIA,35247,2011,6,7,5,9,2,1,1
5035,2,UNIDAD DE ATENCION A VICTIMAS DE VIOLENCIA,35197,2011,6,7,5,9,2,1,1
5036,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5037,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
5038,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
6001,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
6002,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
6003,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
6004,1,UNIDAD K12,06004UEP01,2018,1,5,6,,2,1,1
6005,1,NO SE SABE,NO SE SABE,NSS,13,,,,0,0,0
6006,1,PREVENCION DEL DELITO,06006UEP01,2016,1,,,,1,1,0
6006,2,JUZGADO CIVICO,06006UEP02,2020,3,,,,2,1,1
6006,3,PROCURADURIA DE PROTECCION A LOS NIÑOS NIÑAS Y ADOLESCENTES,06006UEP03,2020,9,,,,1,1,0
6007,1,COMPLEJO E SEGURIDAD GUSTAVO ALBERTO VAZQUEZ MONTES,06007UEP01,2005,1,3,5,,315,213,102
6008,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
6009,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
6010,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7001,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7002,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7003,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7004,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7005,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7006,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7007,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7008,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7009,1,SEGURIDAD PUBLICA MUNICIPAL,07009UEP01,2021,1,,,,49,36,13
7010,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7011,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7012,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7013,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7014,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7015,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7016,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7017,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7018,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7019,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7020,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7021,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7022,1,PREVENCION DEL DELITO,07022UEP01,2021,1,,,,1,1,0
7023,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7024,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7025,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7026,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7027,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7028,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7029,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7030,1,COORDINACION DE PREVENCION DEL DELITO,1,2021,1,,,,1,1,0
7031,1,PLATAFORMA MEXICO,1,2020,13,,,,4,0,4
7031,2,COORDINACION DE PREVENCION AL DELITO,2,2018,1,5,6,9,2,2,0
7032,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7033,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7034,1,PREVENCION DEL DELITO,1,2021,1,,,,1,1,0
7035,1,COORDINACION PREVENCION DEL DELITO,07035UEP01,2021,1,5,6,9,1,0,1
7036,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7037,1,SEGURIDAD PUBLICA MUNICIPAL,07037UEP01,2021,1,,,,57,44,13
7038,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7039,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7040,1,SECRETARIA DE SEGURIDAD PUBLICA TRANSITO Y PROTECCION CIVIL,CE-SP07040M1O288080222,2021,1,,,,121,104,17
7041,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7042,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7043,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7044,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7045,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7046,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7047,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7048,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7049,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7050,1,PREVENCION DEL DELITO,07050UEPD01,2017,1,5,6,9,1,0,1
7051,1,SEGURIDAD PUBLICA MUNICIPAL,1,2021,1,7,,,57,39,18
7052,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7053,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7054,1,SPM-015,01001UEP01,2021,1,5,2,3,9,0,9
7055,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7056,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7057,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7058,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7059,1,PREVENCION DEL DELITO,07059UEP01,2021,1,,,,2,1,1
7060,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7061,1,PREVENCION DEL DELITO,07061UEP01,2022,1,5,6,9,1,1,0
7062,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7063,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7064,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7065,1,UNIDAD DE REACCION,07065UR01,2022,1,2,7,10,8,7,1
7065,2,UNIDAD ESPECIALIZADA DE GENERO,07065UEPG02,2022,1,5,9,10,4,2,2
7066,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7067,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7068,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7069,1,PREVENCION DEL DELITO,07069UEP01,2022,1,2,,,5,3,2
7070,1,PREVENCION DEL DELITO,07070UEP01,2021,1,,,,1,1,0
7071,1,SEGURIDAD PUBLICA MUNICIPAL,07071UEP01,2021,1,7,,,62,52,10
7072,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7073,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7074,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7075,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7076,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7077,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7078,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7079,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7080,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7081,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7082,1,POLICIA PREVENTIVA,07082UEP01,2021,1,,,,1,0,1
7083,1,COMANDANCIA MUNICIPAL DE SOCOLTENANGO,CE-SP07083M1O285654858,2021,1,,,,22,18,4
7084,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7085,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7086,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7087,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7088,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7089,1,UNIDAD MEDICA POLICIAL,01001UEP01,2021,13,,,,9,3,6
7089,2,UNIDAD CANINA,01001UEP02,2022,1,,,,4,3,1
7089,3,GRUPO ESPECIAL DE REACCION INMEDIATA,01001UEP03,2022,1,,,,35,34,1
7089,4,UNIDAD DE PROTECCION A LA MUJER,01001UEP04,2016,6,5,7,,24,10,14
7090,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7091,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7092,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7093,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7094,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7096,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7097,1,MODULO DE ATENCION INMEDIATA PROTECCION DE MUJERES Y NIÑOS EN RIESGO,07097UEP01,2021,5,6,,,2,1,1
7098,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7099,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7100,1,PREVENCION DEL DELITO,UPD07100M01,2022,1,,,,1,1,0
7101,1,GRUPO DE OPERACIONES TACTICAS,07101UEP01,2021,13,,,,84,80,4
7101,2,UNIDAD ESPECIALIZADA DE LA POLICIA MUNICIPAL PARA LA ATENCION DE LA VIOLENCIA INTRAFAMILIAR Y DE GENERO,07101UEP02,2010,5,6,8,,42,20,22
7101,3,POLICIA TURISTICA,07101UEP03,2021,11,,,,21,11,10
7102,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7103,1,SECRETARIA DE SEGURIDAD PUBLICA MUNICIPAL,7103UEP01,2018,1,7,,,65,42,23
7104,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7105,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7106,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7107,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7108,1,PREVENCION DEL DELITO,07108UEP01,2018,1,5,9,,2,1,1
7108,2,VIOLENCIA CONTRA LA MUJER,07108UEP02,2018,6,2,7,1,5,0,5
7109,1,PREVENCION DEL DELITO,7109,2018,1,,,,1,0,1
7110,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7111,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7112,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7113,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7114,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7115,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7116,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7117,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7118,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7119,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7120,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7121,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7122,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7123,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7124,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
7125,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8001,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8002,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8004,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8005,1,ATENCION A VICTIMAS ESPECIALES,08005UEP01,2022,5,6,7,9,4,2,2
8006,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8007,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8010,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8011,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8012,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8013,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8014,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8015,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8016,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8017,1,UNIDAD ESPECIAL K 9,08017UEP01,2000,1,9,,,13,11,2
8018,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8019,1,UNIDAD ESPECIALIZADA EN DELITOS DE GENERO,08019UEDG01,NSS,5,6,,,NSS,NSS,NSS
8019,2,UNIDAD DE ATENCION A PANDILLAS,08019UAP01,NSS,2,,,,NSS,NSS,NSS
8019,3,UNIDAD DE CRIMINALISTICA,08019CRIM01,NSS,13,,,,NSS,NSS,NSS
8019,4,UNIDAD DE ATENCION A ROBO DE CASA HABITACION,08019UARC01,NSS,1,,,,NSS,NSS,NSS
8019,5,UNIDAD DE INVESTIGACION DE INCENDIOS Y EXPLOSIONES,08019UIIE01,NSS,13,,,,NSS,NSS,NSS
8019,6,GRUPO DE ATENCION Y PROTECCION A VICTIMAS,08019GAPAVI01,NSS,7,,,,NSS,NSS,NSS
8019,7,EQUIPO DE PROYECTOS ESPECIALES,08019EPE01,NSS,1,,,,NSS,NSS,NSS
8019,8,K9,08019EPE01,NSS,1,,,,NSS,NSS,NSS
8019,9,POLICIA ESCOLAR,08019K901,NSS,9,,,,NSS,NSS,NSS
8019,10,DARE,08019DARE01,NSS,9,,,,NSS,NSS,NSS
8019,11,BETAS,08019BETA01,NSS,1,,,,NSS,NSS,NSS
8019,12,GRUPO MOTOCICLISTA,08019MOTO01,NSS,1,,,,NSS,NSS,NSS
8019,13,OPERACIONES AEREAS,08019AEREA01,NSS,1,,,,NSS,NSS,NSS
8019,14,JURIDICO,08019JURIDICO01,NSS,2,3,,,NSS,NSS,NSS
8019,15,POLICIA MONTADA,08019MONTADA01,NSS,1,,,,NSS,NSS,NSS
8020,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8021,1,PREVENCION DELICTIVA,PREV08021M01,1980,1,2,5,9,8,3,5
8021,2,UNIDAD DE INVESTIGACION PREVENTIVA,UIP08021M02,2008,13,1,5,8,6,4,2
8021,3,UNIDAD DE ANALISIS E INTELIGENCIA,UDAI08021M03,2008,13,1,7,8,3,2,1
8021,4,ATENCION A VICTIMAS ESPECIALES,AVE08021M04,2008,7,5,6,9,4,0,4
8022,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8024,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8025,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8026,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8028,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8030,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8031,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8032,1,UNIDAD DE PROGRAMAS PREVENTIVOS,UEP08032M01,2013,1,9,,,5,3,2
8033,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8035,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8036,1,PREVENCION DELICTIVA,08036UEP01,2018,1,9,13,,2,1,1
8037,1,GRUPO DE OPERACIONES ESPECIALES,UEP08037M01,2011,13,1,,,50,38,12
8037,2,UNIDAD ESPECIALIZADA EN VIOLENCIA DOMESTICA,UEP08037M02,2011,6,5,7,9,82,38,44
8037,3,UNIDAD MIXTA DE DEFENSA LEGAL Y ATENCION PSICOLOGICA PARA POLICIAS Y SUS FAMILIAS,UEP08037M03,2016,13,,,,21,5,16
8038,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8039,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8040,1,SEGURIDAD PUBLICA,DSPM,NSS,3,2,5,,3,3,0
8041,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8042,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8043,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8044,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8045,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8046,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8047,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8048,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8049,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8050,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8051,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8052,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8054,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8055,1,PREVENCION,UPD,2022,9,1,2,,2,0,2
8057,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8058,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8060,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8061,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8062,1,PREVENCION DELICTIVA,NO APLICA,2009,1,5,6,9,3,0,3
8063,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8065,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
8067,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
9002,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
9003,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
9004,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
9005,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
9006,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
9007,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
9008,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
9009,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
9010,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
9011,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
9012,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
9013,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
9014,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
9015,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
9016,1,NO APLICA,NO APLICA,NA,0,0,0,0,NA,NA,NA
