ARCHIVO,CONTENIDO
m3s1p86,"Áreas o espacios físicos de infraestructura en materia de ciberseguridad de la unidad de policía cibernética u homóloga de la institución encargada de la función de seguridad pública, al cierre del año 2022."
m3s1p87,"Pláticas de prevención en materia de ciberseguridad impartidas por la unidad de policía cibernética u homóloga de la institución encargada de la función de seguridad pública, durante el año 2022."
m3s1p88,"Personas que participaron en las pláticas de prevención en materia de ciberseguridad impartidas por la unidad de policía cibernética u homóloga de la institución encargada de la función de seguridad pública, según tipo y sexo, durante el año 2022."
m3s1p89,"Pláticas de prevención en materia de ciberseguridad impartidas por la unidad de policía cibernética u homóloga de la institución encargada de la función de seguridad pública y personas que participaron, según tema, tipo de personas y sexo, durante el año 2022."
m3s1p90,"Ciberpatrullajes realizados por la unidad de policía cibernética u homóloga de la institución encargada de la función de seguridad pública, durante el año 2022."
m3s1p91,"Ciberinvestigaciones realizadas por la unidad de policía cibernética u homóloga de la institución encargada de la función de seguridad pública, según motivo de la solicitud, durante el año 2022."
m3s1p92,"Sitios web identificados y gestionados para su desactivación por la unidad de policía cibernética u homóloga de la institución encargada de la función de seguridad pública a través de su labor de monitoreo cibernético, según tipo de actividades ilegales asociadas, durante el año 2022."
m3s1p93,"Reportes sobre incidentes cibernéticos atendidos por la unidad de policía cibernética u homóloga de la institución encargada de la función de seguridad pública, según medio de recepción, durante el año 2022."
m3s1p94,"Incidentes cibernéticos registrados en los reportes atendidos por la unidad de policía cibernética u homóloga de la institución encargada de la función de seguridad pública, según tipo, durante el año 2022."
m3s1p95,"Incidentes de seguridad informáticos identificados por la unidad de policía cibernética u homóloga de la institución encargada de la función de seguridad pública a través del monitoreo de fuentes de información, según tipo, durante el año 2022."
m3s1p96,"Incidentes de seguridad informáticos identificados por la unidad de policía cibernética u homóloga de la institución encargada de la función de seguridad pública a través del monitoreo de fuentes de información, según tipo de sector afectado, durante el año 2022."
m3s1p97,"Denuncias presentadas ante el Ministerio Público por la unidad de policía cibernética u homóloga derivado del monitoreo cibernético realizado, según tipo de hecho delictivo, durante el año 2022."
m3s1p98a,"Unidades especializadas de la institución encargada de la función de seguridad pública, año de creación, tema atendido y personal adscrito, según sexo, al cierre del año 2022."
m3s1p98b,"Unidades especializadas de la institución encargada de la función de seguridad pública, al cierre del año 2022."
