ubicageo_f,nombre1,sexo_i,edades,totalca1,gdoestud_k,estagrad_e,institsp_c,antigu_a,antigu_b,puebindi_j,fdesigna_m
4009,SECRETARIA DE SEGURIDAD PUBLICA DE ESCARCEGA,1,42,13000,6,4,9,18,3,26,6
4010,SEGURIDAD PUBLICA,2,27,11316.26,4,2,99,1,1,6,4
4011,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO,2,41,48968,6,3,7,16,6,26,3
4012,NO APLICA,0,NA,NA,0,0,0,NA,NA,0,0
4013,NO APLICA,0,NA,NA,0,0,0,NA,NA,0,0
5001,MANDO UNICO,1,44,18000,4,3,9,13,10,26,6
5002,DIRECCION DE SEGURIDAD PUBLICA Y PROTECCION CIUDADANA MUNICIPAL,2,47,60000,6,4,22,20,0,26,2
5003,MANDO COORDINADO POLICIAL ALLENDE COAHUILA,1,54,20000,6,1,9,28,1,26,6
5004,DIRECCION DE POLICIA PREVENTIVA MUNICIPAL ARTEAGA,1,38,18000,4,3,9,15,1,26,1
5005,DEPARTAMENTO DE SEGURIDAD PUBLICA MUNICIPAL DE CANDELA,1,38,10000,4,3,9,10,1,26,6
5006,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,44,30000,6,4,9,3,2,26,6
5007,DIRECTOR DE SEGURIDAD PUBLICA,1,38,22500,6,3,9,4,2,26,6
5008,NO APLICA,0,NA,NA,0,0,0,NA,NA,0,0
5009,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,35,58000,4,3,9,10,2,26,6
5010,DIRECCION DE SEGURIDAD PUBLICA,1,49,10000,4,3,18,21,2,26,1
5011,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,1,40,26152,6,3,1,1,1,26,2
5012,NO APLICA,0,NA,NA,0,0,0,NA,NA,0,0
5013,NO APLICA,0,NA,NA,0,0,0,NA,NA,0,0
5014,SEGURIDAD PUBLICA MUNICIPAL,1,42,22000,4,3,9,7,3,26,6
5015,NO APLICA,0,NA,NA,0,0,0,NA,NA,0,0
5016,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL DE LA MADRID,1,30,30000,4,3,9,12,3,26,6
5017,COMISION MUNICIPAL DE PARTICIPACION CIUDADANA,1,44,10000,6,3,23,20,20,26,2
5018,DIRECCION DE POLICIA PREVENTIVA DE MONCLOVA,1,53,70000,7,4,5,32,1,26,2
5019,MANDO COORDINADO MORELOS COAHUILA,1,47,25000,6,4,23,27,3,26,6
5020,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,54,23200,4,3,1,20,1,26,1
5021,SECRETARIA DE SEGURIDAD PUBLICA DEL ESTADO,1,32,16999.8,4,3,17,9,1,26,6
5022,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,33,58000,4,3,9,15,1,26,6
5023,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL DE OCAMPO,1,42,15000,4,3,17,5,1,26,7
5024,DIRECCION DE POLICIA PREVENTIVA VIALIDAD Y TRANSITO,1,35,40000,6,1,17,1,1,26,1
5025,SEGURIDAD PUBLICA MUNICIPAL,1,32,NSS,6,4,18,10,1,26,1
5026,NO APLICA,0,NA,NA,0,0,0,NA,NA,0,0
5027,DIRECCION DE SEGURIDAD PUBLICA,1,39,53647.3,6,4,20,9,5,26,8
5028,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD MUNICIPAL SABINAS,1,39,36000,6,4,20,6,5,26,8
5029,DIRECTOR DE SEGURIDAD PUBLICA,1,38,21082,4,3,9,6,1,26,6
5030,COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA,1,40,144767,7,3,13,11,5,26,2
5031,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,37,28000,6,4,9,13,2,26,6
5032,SEGURIDAD PUBLICA MUNICIPAL,1,37,15000,6,4,18,15,1,26,2
5033,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,2,36,26386,6,4,12,12,1,26,7
5034,SEGURIDAD PUBLICA MUNICIPAL,1,32,25000,4,3,20,10,0,26,2
5035,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,47,50000,7,4,99,28,1,26,4
5036,DIRECCION DE SEGURIDAD PUBLICA,1,48,20000,5,3,13,20,1,26,6
5037,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,2,38,20000,4,3,17,15,7,99,5
5038,SECRETARIA DE SEGURIDAD PUBLICA U HOMOLOGA DE LA ENTIDAD FEDERATIVA,1,42,21622,6,1,9,13,2,26,6
6001,DIRECCION DE SEGURIDAD PUBLICA Y POLICIA VIAL DE ARMERIA,1,29,10000,6,4,2,9,1,26,4
6002,POLICIA MUNICIPAL DE COLIMA,1,45,66282,7,4,1,23,1,26,2
6003,DIRECCION GENERAL DE SEGURIDAD PUBLICA TRANSITO Y VIALIDAD,1,46,30834,6,1,17,21,1,26,3
6004,COMPLEJO DE SEGURIDAD PUBLICA,1,35,8000,6,4,17,8,2,26,9
6005,DIRECCION GENERAL DE SEGURIDAD PUBLICA Y VIALIDAD,1,39,30000,6,4,17,12,1,26,2
6006,DIRECCION DE SEGURIDAD PUBLICA TRANSITO Y VIALIDAD,1,30,46371.88,6,1,22,8,2,26,1
6007,DIRECCION GENERAL DE SEGURIDAD PUBLICA Y POLICIA VIAL DE MANZANILLO,1,59,68465,7,4,2,40,2,25,1
6008,DIRECCION DE SEGURIDAD PUBLICA,1,49,30797,6,4,23,2,1,26,2
6009,DIRECCION GENERAL DE SEGURIDAD PUBLICA Y POLICIA VIAL,1,34,26000,7,3,2,16,1,26,9
6010,DIRECCION GENERAL SEGURIDAD PUBLICA,1,44,40000,7,4,2,25,1,26,2
7001,SEGURIDAD PUBLICA,1,54,7680,3,3,22,2,2,26,2
7002,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,36,10000,6,3,99,3,3,26,2
7003,SEGURIDAD PUBLICA MUNICIPAL,1,45,17011,6,4,6,5,1,26,2
7004,SEGURIDAD PUBLICA MUNICIPAL,1,52,10000,2,3,23,0,0,19,1
7005,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,31,12000,4,3,20,8,1,20,2
7006,SEGURIDAD PUBLICA,1,58,10200,6,4,6,6,1,26,5
7007,DIRECCION DE PROTECCION CIUDADANA,1,41,6293.1,2,3,22,1,1,19,5
7008,SECRETARIA DE SEGURIDAD PUBLICA MUNICIPAL,2,46,9000,3,3,21,1,1,26,2
7009,SEGURIDAD PUBLICA,1,48,23630,6,1,1,4,1,26,1
7010,SEGURIDAD PUBLICA MUNICIPAL,1,50,25000,6,3,20,20,1,2,2
7011,SEGURIDAD PUBLICA,1,27,8600,3,3,22,1,1,26,9
7012,SECRETARIA DE SEGURIDAD PUBLICA MUNICIPAL,1,44,31298,6,4,21,1,1,26,2
7013,SEGURIDAD PUBLICA MUNICIPAL,1,45,10000,5,4,20,2,2,26,1
7014,CONSEJO DE SEGURIDAD PUBLICA MUNICIPAL,1,51,10000,3,3,22,5,1,20,2
7015,PROTECCION CIUDADANA,2,34,19800,6,4,21,1,1,26,2
7016,SEGURIDAD PUBLICA MUNICIPAL,2,33,12304,7,4,17,1,1,26,2
7017,SEGURIDAD PUBLICA MUNICIPAL,1,42,16000,6,4,17,16,1,26,1
7018,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,2,33,8000,6,3,1,8,2,26,1
7019,DIRECCION DE SEGURIDAD PUBLICA,1,46,33717,8,4,20,12,2,26,1
7020,DIRECCION MUNICIPAL DE SEGURIDAD PUBLICA,1,30,20000,6,1,20,4,2,26,2
7021,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,39,14000,6,3,10,2,1,26,2
7022,SECRETARIA DE SEGURIDAD PUBLICA Y PROTECCION CIVIL,1,52,25000,7,4,18,10,1,26,2
7023,SEGURIDAD PUBLICA,1,39,15000,6,4,21,1,1,20,2
7024,SEGURIDAD PUBLICA MUNICIPAL,1,34,14000,6,3,17,6,4,12,6
7025,SEGURIDAD PUBLICA MUNICIPAL,1,32,10000,4,3,17,6,2,23,1
7026,SEGURIDAD PUBLICA,1,39,10200,4,3,20,4,1,20,5
7027,SECRETARIO DE SEGURIDAD PUBLICA TRANSITO Y VIALIDAD MUNICIPAL,1,47,26000,6,4,21,1,1,26,2
7028,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,51,8040,6,4,17,13,1,26,2
7029,SECRETARIO EJECUTIVO DEL CONSEJO DE SEGURIDAD PUBLICA,1,47,13451.08,6,4,1,24,1,26,1
7030,SEGURIDAD PUBLICA MUNICIPAL,1,43,10000,3,3,1,22,2,26,2
7031,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,40,30000,6,4,5,13,5,19,9
7032,SEGURIDAD PUBLICA MUNICIPAL,1,49,18358,3,3,99,5,1,26,2
7033,DIRECCION DE PROTECCION CIUDADANA,1,36,8000,3,3,22,2,2,23,1
7034,SECRETARIA SEGURIDAD PUBLICA MUNICIPAL,1,53,11004,6,4,21,2,2,26,2
7035,SEGURIDAD PUBLICA MUNICIPAL,1,55,11024,4,3,20,2,1,26,3
7036,SEGURIDAD PUBLICA,1,46,8000,6,4,21,1,1,26,5
7037,SEGURIDAD PUBLICA MUNICIPAL,1,45,12000,6,3,21,1,1,26,2
7038,SECRETARIA EJECUTIVA MUNICIPAL DE SEGURIDAD PUBLICA,2,30,16000,6,3,20,6,0,26,2
7039,SECRETARIA DE SEGURIDAD PUBLICA MUNICIPAL,1,26,10000,6,3,22,1,0,20,2
7040,SEGURIDAD PUBLICA MUNICIPAL,1,45,17333.78,4,3,9,1,1,26,2
7041,SEGURIDAD PUBLICA MUNICIPAL,1,33,8500,3,3,1,6,2,26,3
7042,SEGURIDAD PUBLICA,1,41,17243,3,3,20,3,2,26,2
7043,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,42,11400,6,3,5,12,6,23,1
7044,DIRECCION DE PROTECCION CIUDADANA,1,55,7000,6,4,21,3,2,26,1
7045,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,40,20000,6,3,21,1,1,26,9
7046,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,37,17000,5,3,17,18,2,26,1
7047,SEGURIDAD PUBLICA MUNICIPAL,1,53,10500,5,3,23,4,2,26,1
7048,SEGURIDAD PUBLICA,1,50,17414,6,4,17,18,1,26,1
7049,SECRETARIA EJECUTIVA DE SEGURIDAD PUBLICA,2,35,16000,6,3,17,4,1,20,2
7050,SEGURIDAD PUBLICA MUNICIPAL,1,58,6800,6,4,22,1,1,26,2
7051,SEGURIDAD PUBLICA MUNICIPAL,2,48,12000,3,1,19,2,2,26,2
7052,DIRECCION DE SEGURIDAD PUBLICA,1,40,20000,6,4,20,10,1,26,3
7053,SEGURIDAD PUBLICA MUNICIPAL,1,26,10200,6,3,20,1,1,25,2
7054,SEGURIDAD PUBLICA MUNICIPAL,1,37,18000,4,3,5,2,1,26,2
7055,SEGURIDAD PUBLICA MUNICIPAL,2,32,8178.68,6,4,22,1,1,26,1
7056,SEGURIDAD PUBLICA MUNICIPAL,1,34,10000,4,3,20,2,1,20,2
7057,SEGURIDAD PUBLICA MUNICIPAL,1,50,25000,6,3,20,20,1,2,2
7058,SECRETARIA DE SEGURIDAD PUBLICA,1,27,8400,4,3,17,2,2,26,3
7059,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,51,26272,6,1,19,30,1,26,3
7060,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,42,12000,6,3,10,18,2,23,2
7061,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,36,30000,6,3,17,3,1,26,2
7062,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,38,9866,3,3,23,2,2,26,1
7063,DIRECCION DE LA POLICIA MUNICIPAL,1,25,7700,6,4,22,1,1,26,2
7064,COMANDANCIA DE SEGURIDAD PUBLICA MUNICIPAL,1,44,15000,4,3,1,25,1,19,1
7065,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,41,26458,6,4,20,8,1,26,1
7066,SEGURIDAD PUBLICA MUNICIPAL,2,47,28426,4,3,99,0,0,19,6
7067,SEGURIDAD PUBLICA MUNICIPAL,1,46,9000,4,3,5,5,2,23,1
7068,JOSE ALEJANDRO RAMIREZ NAREZ,1,37,20000,6,3,17,5,1,26,6
7069,SEGURIDAD PUBLICA,1,34,17000,6,4,99,1,1,25,2
7070,SEGURIDAD PUBLICA MUNICIPAL,1,50,15000,6,3,20,1,1,99,1
7071,SEGURIDAD PUBLICA MUNICIPAL,1,45,13600,4,3,2,20,1,26,2
7072,SECRETARIA DE SEGURIDAD PUBLICA,1,46,7920,4,3,3,3,3,26,7
7073,SEGURIDAD PUBLICA MUNICIPAL,2,40,13000,4,3,22,2,2,23,2
7074,SEGURIDAD PUBLICA MUNICIPAL,2,60,25000,6,3,20,2,2,26,2
7075,DIRECCION DE SEGURIDAD PUBLICA,1,35,8800,6,4,22,1,1,26,4
7076,POLICIA MUNICIPAL,1,38,5327,6,4,21,2,2,26,1
7077,SEGURIDAD PUBLICA MUNICIPAL,1,38,23168,6,4,22,3,1,26,3
7078,DIRECCION DE POLICIA MUNICIPAL,1,45,32312,6,3,5,7,0,26,2
7079,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,27,15994,4,3,17,7,0,23,6
7080,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,39,8673.38,6,3,23,0,0,26,2
7081,SECRETARIA DE SEGURIDAD PUBLICA,1,46,16200,6,3,20,4,1,20,1
7082,SEGURIDAD PUBLICA MUNICIPAL DE SITALA,1,31,13000,4,3,22,2,1,26,3
7083,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,36,20000,6,3,19,10,1,26,4
7084,DIRECCION DE SEGURIDAD PUBLICA,2,41,14000,6,4,17,3,1,26,2
7085,CONSEJO DE SEGURIDAD PUBLICA MUNICIPAL,1,46,23599.74,6,3,23,10,2,26,1
7086,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,42,9000,6,4,13,9,1,26,2
7087,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,36,8000,3,3,1,4,1,26,1
7088,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,42,9979,3,3,99,2,2,25,4
7089,SECRETARIA DE SEGURIDAD PUBLICA Y PROTECCION CIUDADANA MUNICIPAL,1,57,53202,7,4,3,2,2,26,1
7090,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,28,7400,6,3,5,4,2,23,1
7091,SEGURIDAD PUBLICA MUNICIPAL,1,40,20000,4,3,21,1,1,26,3
7092,SEGURIDAD PUBLICA,1,26,20000,6,3,20,4,1,26,1
7093,SEGURIDAD PUBLICA MUNICIPAL,1,60,15000,3,3,3,1,1,24,2
7094,SEGURIDAD PUBLICA MUNICIPAL,1,49,10224,3,3,22,3,0,20,2
7096,SECRETARIA DE SEGURIDAD PUBLICA,1,53,12000,3,3,1,20,4,26,1
7097,DIRECCION DE SEGURIDAD PUBLICA TRANSITO Y PROTECCION CIUDADANA MUNICIPAL,2,31,28542.84,6,4,5,3,2,26,2
7098,SEGURIDAD PUBLICA,1,47,12000,6,4,20,2,2,26,2
7099,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,38,14000,4,3,21,4,4,26,2
7100,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,38,7200,3,3,17,4,2,2,1
7101,SECRETARIA DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,1,33,75759.55,7,4,13,13,4,26,2
7102,SECRETARIA DE SEGURIDAD PUBLICA Y VIALIDAD MUNICIPAL,1,46,12000,4,3,5,22,1,26,6
7103,SEGURIDAD PUBLICA MUNICIPAL,2,38,14000,6,4,22,1,1,26,2
7104,SECRETARIA DE SEGURIDAD PUBLICA,1,36,15000,6,3,5,2,2,26,4
7105,SECRETARIA DE SEGURIDAD PUBLICA MUNICIPAL,2,36,12000,7,1,18,4,1,24,2
7106,SECRETARIA EJECUTIVA DEL CONSEJO MUNICIPAL DE SEGURIDAD PUBLICA,1,42,16000,6,3,17,4,1,26,1
7107,DIRECCION DE SEGURIDAD PUBLICA,1,47,15000,6,4,22,1,1,26,2
7108,DIRECCION DE POLICIA MUNICIPAL,1,35,21750,6,4,5,4,3,26,1
7109,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,48,11084,4,3,17,4,4,19,2
7110,SEGURIDAD PUBLICA,2,25,8485.2,6,3,22,2,2,26,2
7111,SECRETARIA EJECUTIVA DE SEGURIDAD PUBLICA,1,28,28397.76,6,4,21,1,1,26,2
7112,SECRETARIA EJECUTIVA DE SEGURIDAD PUBLICA,1,35,12500,6,3,20,1,1,19,2
7113,PROTECCION CIUDADANA,1,40,14000,6,1,20,10,1,20,5
7114,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,50,10000,4,3,1,22,1,26,1
7115,PROTECCION CIUDADANA,1,44,4509,2,3,20,1,1,26,2
7116,SEGURIDAD PUBLICA MUNICIPAL,1,45,8332.6,3,3,20,4,1,26,1
7117,SECRETARIA DE SEGURIDAD PUBLICA MUNICIPAL,1,49,9000,4,3,17,20,1,26,1
7118,DIRECCION DE SEGURIDAD PUBLICA,1,38,12000,4,2,22,2,2,26,1
7119,SECRETARIA EJECUTIVA DE SEGURIDAD PUBLICA MUNICIPAL,1,35,25000,6,3,20,8,1,20,1
7120,SEGURIDAD PUBLICA Y PROTECCION CIVIL MUNICIPAL,1,43,7682,5,4,20,5,1,26,9
7121,DIRECTOR MUNICIPAL POLICIA,1,38,10000,2,3,22,2,2,20,2
7122,SEGURIDAD PUBLICA MUNICIPAL,1,42,14000,6,4,23,3,2,26,2
7123,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,28,7000,4,3,21,1,1,26,2
7124,IMPULSO AL MODELO NACIONAL DE POLICIA Y JUSTICIA CIVICA,1,33,14000,6,4,22,1,1,26,1
7125,SEGURIDAD PUBLICA MUNICIPAL,1,39,9000,3,2,5,1,1,26,1
8001,SEGURIDAD PUBLICA,1,40,32000,6,4,99,13,10,26,2
8002,DIRECCION DE SEGURIDAD PUBLICA,1,49,31050,4,3,99,2,2,26,3
8003,SEGURIDAD PUBLICA,1,52,18600,4,3,18,23,1,26,1
8004,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL DE AQUILES SERDAN,1,38,12300,6,4,21,13,2,26,2
8005,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,30,23800,5,3,17,9,1,26,3
8006,SEGURIDAD PUBLICA,3,NA,NA,0,0,0,NA,NA,0,0
8007,SEGURIDAD PUBLICA,1,53,0,7,3,13,29,1,26,2
8008,SEGURIDAD PUBLICA MUNICIPAL,1,47,14000,4,3,17,22,1,26,1
8009,SEGURIDAD PUBLICA,3,NA,NA,0,0,0,NA,NA,0,0
8010,SEGURIDAD PUBLICA,1,32,26000,6,1,9,8,5,26,2
8011,SEGURIDAD PUBLICA MUNICIPAL,1,34,28245,6,4,23,13,1,26,2
8012,SEGURIDAD PUBLICA,1,50,9240,3,3,23,1,1,26,3
8013,DEPARTAMENTO DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,1,28,25269.57,6,3,17,7,1,26,1
8014,SEGURIDAD PUBLICA,3,NA,NA,0,0,0,NA,NA,0,0
8015,DIRECCION DE SEGURIDAD PUBLICA,1,52,10000,2,3,20,1,1,26,1
8016,DIRECCION DE SEGURIDAD PUBLICA,1,54,15000,4,3,17,35,15,26,1
8017,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,57,35388,6,3,99,26,1,26,8
8018,DIRECCION DE SEGURIDAD PUBLICA CUSIHUIRIACHI,1,43,20000,4,3,18,9,1,26,1
8019,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,48,57252.02,6,4,17,21,1,26,2
8020,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,58,16600,4,3,9,5,5,7,3
8021,DIRECCION DE SEGURIDAD PUBLICA,1,55,43000,7,3,4,18,2,26,2
8022,DIRECCION DE SEGURIDAD PUBLICA DE DOCTOR BELISARIO DOMINGUEZ,1,39,16500,3,3,20,7,1,26,2
8023,SEGURIDAD PUBLICA,3,NA,NA,0,0,0,NA,NA,0,0
8024,SEGURIDAD PUBLICA MUNICIPAL,1,55,24000,6,4,17,31,1,26,1
8025,SEGURIDAD PUBLICA,3,NA,NA,0,0,0,NA,NA,0,0
8026,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,39,16400,4,3,17,10,4,26,3
8027,SECRETARIA DE SEGURIDAD PUBLICA,1,39,20000,6,4,21,9,2,26,1
8028,SEGURIDAD PUBLICA,3,NA,NA,0,0,0,NA,NA,0,0
8029,SEGURIDAD PUBLICA MUNICIPAL,1,46,26000,4,3,13,13,2,26,2
8030,SEGURIDAD PUBLICA MUNICIPAL,1,49,16600,4,3,17,14,14,26,1
8031,DIRECTOR,1,55,20000,4,3,20,30,3,26,3
8032,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,45,34050,5,3,3,1,1,26,2
8033,SEGURIDAD PUBLICA,1,33,12000,2,3,17,4,1,26,2
8034,SEGURIDAD PUBLICA,3,NA,NA,0,0,0,NA,NA,0,0
8035,DIRECCION DE SEGURIDAD PUBLICA,1,32,22400,4,1,99,0,0,26,8
8036,SEGURIDAD PUBLICA MUNICIPAL,1,44,20000,6,4,13,10,4,26,1
8037,SECRETARIA DE SEGURIDAD PUBLICA MUNICIPAL,1,45,80814,7,3,21,19,1,26,2
8038,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD,1,32,21146,3,3,99,9,6,26,2
8039,SEGURIDAD PUBLICA,1,22,16900,6,1,17,3,0,26,9
8040,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,49,25000,3,3,17,16,1,26,1
8041,SEGURIDAD PUBLICA MUNICIPAL DE MAGUARICHI,1,50,10816,3,3,99,19,1,26,1
8042,SEGURIDAD PUBLICA MUNICIPAL,1,53,13328,2,3,21,15,8,26,1
8043,DIRECTOR DE SEGURIDAD PUBLICA,1,37,20000,4,2,20,10,2,26,1
8044,DIRECCION DE SEGURIDAD PUBLICA,1,46,13000,2,3,18,16,1,26,1
8045,DIRECCION DE SEGURIDAD PUBLICA DE MEOQUI,1,43,45000,6,3,9,12,1,26,2
8046,DIRECCION DE SEGURIDAD PUBLICA,1,43,25000,3,3,15,7,7,25,2
8047,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,50,23491.3,5,3,99,9,1,26,7
8048,DIRECCION DE SEGURIDAD PUBLICA DE NAMIQUIPA,1,60,30000,3,3,17,25,4,26,2
8049,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL NONOAVA,1,30,17500,5,2,99,1,1,26,1
8050,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL POLICIA VIAL Y C 4,2,38,35210,6,4,7,5,1,26,2
8051,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,54,19934,4,3,18,6,6,25,1
8052,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,46,11563,4,3,17,14,1,26,4
8053,SEGURIDAD PUBLICA,3,NA,NA,0,0,0,NA,NA,0,0
8054,SEGURIDAD PUBLICA,1,54,22000,3,3,18,29,12,26,7
