ubicageo_f,totalca1
10026,NA
10027,NA
10028,NA
10029,NA
10030,NA
10031,NA
10032,NA
10033,NA
10034,NA
10035,NA
10036,NA
10037,NA
10038,NA
10039,NA
11001,NA
11002,NA
11003,NSS
11004,NA
11005,NA
11006,NA
11007,6934464
11008,NSS
11009,NA
11010,NSS
11011,NA
11012,NA
11013,NA
11014,NA
11015,3899097.46
11016,NA
11017,4563469.05
11018,NA
11019,NA
11020,10364633.96
11021,NA
11022,NA
11023,NA
11024,NA
11025,NA
11026,NA
11027,0
11028,NA
11029,NA
11030,NA
11031,NA
11032,NA
11033,NA
11034,NA
11035,NA
11036,NA
11037,NA
11038,NSS
11039,NSS
11040,NA
11041,NA
11042,NA
11043,NA
11044,NA
11045,NA
11046,NA
12001,4221624.57
12002,NA
12003,NA
12004,NA
12005,NA
12006,NA
12007,NA
12008,NA
12009,NA
12010,NA
12011,NA
12012,NA
12013,NA
12014,NA
12015,NA
12016,NA
12017,NA
12018,NA
12019,NA
12020,NA
12021,NA
12022,NA
12023,NA
12024,NA
12025,NA
12026,NA
12027,NA
12028,NA
12029,NA
12030,NA
12031,NA
12032,NA
12033,NA
12034,NA
12035,NA
12036,NA
12037,NA
12038,NA
12039,NA
12040,NA
12041,NA
12042,NA
12043,NA
12044,NA
12045,NA
12046,NA
12047,NA
12048,NA
12049,NA
12050,NA
12051,NA
12052,NA
12053,NA
12054,NA
12055,NA
12056,NA
12057,NA
12058,NA
12059,NA
12060,NA
12061,NA
12062,NA
12063,NA
12064,NA
12065,NA
12066,NA
12067,NA
12068,NA
12069,NA
12070,NA
12071,NA
12072,NA
12073,NA
12074,NA
12075,NA
12076,NA
12077,NA
12078,NA
12079,NA
12080,NA
12081,NA
12082,NA
12083,NA
12084,NA
12085,NA
13001,NA
13002,NA
13003,NA
13004,NA
13005,NA
13006,NA
13007,NA
13008,NA
13009,NA
13010,NA
13011,NA
13012,NA
13013,NA
13014,NA
13015,NA
13016,NA
13017,NA
13018,NA
13019,NA
13020,NA
13021,NA
13022,NA
13023,NA
13024,NA
13025,NA
13026,NA
13027,NA
13028,NA
13029,NA
13030,NA
13031,NA
13032,NA
13033,NA
13034,NA
13035,NA
13036,NA
13037,NA
13038,NA
13039,NA
13040,NA
13041,NA
13042,NA
13043,NA
13044,NA
13045,NA
13046,NA
13047,NA
13048,NA
13049,NA
13050,NA
13051,NA
13052,NA
13053,NA
13054,NA
13055,NA
13056,NA
13057,NA
13058,NA
13059,NA
13060,NA
13061,NA
13062,NA
13063,NA
13064,NA
13065,NA
13066,NA
13067,NA
13068,NA
13069,NA
13070,NA
13071,NA
13072,NA
13073,NA
13074,NA
13075,NA
13076,NA
13077,NA
13078,NA
13079,NA
13080,NA
13081,NA
13082,NA
13083,NA
13084,NA
14001,NA
14002,NA
14003,NA
14004,NA
14005,NA
14006,NA
14007,NA
14008,NA
14009,NA
14010,NA
14011,NA
14012,NA
14013,NA
14014,NA
14015,NA
14016,NA
14017,NA
14018,NA
14019,NA
14020,NA
14021,NA
14022,NA
14023,NA
14024,NA
14025,NA
14026,NA
14027,NA
14028,NA
14029,NA
14030,NA
14031,NA
14032,NA
14033,NA
14034,NA
14035,NA
14036,NA
14037,NA
14038,NA
14039,0
14040,NA
14041,NA
14042,NA
14043,NA
14044,NA
14045,NA
14046,NA
14047,NA
14048,NA
14049,NA
14050,NA
14051,NA
14052,NA
14053,NA
14054,NA
14055,NA
14056,NA
14057,NA
14058,NA
14059,NA
14060,NA
14061,NA
14062,NA
14063,NA
14064,NA
14065,NA
14066,NA
14067,354341539.62
14068,NA
14069,NA
14070,NA
14071,NA
14072,NA
14073,NA
14074,NA
14075,NA
14076,NA
14077,NA
14078,NA
14079,NA
14080,NA
14081,NA
14082,NA
14083,NA
14084,NA
14085,NA
14086,NA
14087,NA
14088,NA
14089,NA
14090,NA
14091,NA
14092,NA
14093,NA
14094,NA
14095,NA
14096,NA
14097,NA
14098,2981400
14099,NA
14100,NA
14101,NA
14102,NA
14103,NA
14104,NA
14105,NA
14106,NA
14107,NA
14108,NA
14109,NA
14110,NA
14111,NA
14112,NA
14113,NA
14114,NA
14115,NA
14116,NA
14117,NA
14118,NA
14119,NA
14120,321222.7
14121,NA
14122,NA
14123,NA
14124,NA
14125,NA
15001,NA
15002,NA
15003,NA
15004,NA
15005,NA
15006,NA
15007,NA
15008,NA
15009,NA
15010,NA
15011,NA
15012,NA
15013,NA
15014,NA
15015,NA
15016,NA
15017,NA
15018,NA
15019,NA
15020,NA
15021,NA
15022,NA
15023,NA
15024,NA
15025,NA
15026,NA
15027,NA
15028,NA
15029,NA
15030,NA
15031,0
15032,NA
15033,0
15034,NA
15035,NA
15036,NA
15037,NA
15038,NA
15039,NA
15040,NA
15041,NA
15042,NA
15043,NA
15044,NA
15045,NA
15046,NA
15047,NA
15048,NA
15049,NA
15050,NA
15051,NSS
15052,NA
15053,NA
15054,NA
15055,NA
15056,NA
15057,4802500
15058,7033476.52
15059,NA
15060,NA
15061,NA
15062,NA
15063,NA
15064,NA
15065,NA
15066,NA
15067,NA
15068,NA
15069,NA
15070,NA
15071,NA
15072,NA
15073,NA
15074,NA
15075,NA
15076,NA
15077,NA
15078,NA
15079,NSS
15080,NA
15081,NA
15082,NA
15083,NA
15084,NA
15085,NA
15086,NA
15087,NA
15088,NA
15089,NA
15090,NA
15091,NA
15092,NA
15093,NA
15094,NA
15095,NA
15096,NA
15097,NA
15098,NA
15099,NA
15100,NA
15101,NA
15102,NA
15103,NA
15104,NA
15105,NA
15106,3331000
15107,NA
15108,NA
15109,3662500
15110,NA
15111,NA
15112,NA
15113,NA
15114,NA
15115,NA
15116,NSS
15117,NA
15118,NA
15119,NA
15120,NA
15121,NA
15122,NA
15123,NA
15124,NA
15125,NA
16001,NA
16002,NA
16003,NA
16004,NA
16005,NA
16006,NA
16007,NA
16008,NA
16009,NA
16010,NA
16011,NA
16012,NA
16013,NA
16014,NA
16015,NA
16016,NA
16017,NA
16018,NA
16019,NA
16020,NA
16021,NA
16022,NA
16023,NA
16024,NA
16025,NA
16026,NA
16027,NA
16028,NA
16029,NA
16030,NA
16031,NA
16032,NA
16033,NA
16034,NA
16035,NA
16036,NA
16037,NA
16038,NA
16039,NA
16040,NA
16041,NA
16042,NA
16043,NA
16044,NA
16045,NA
16046,NA
16047,NA
16048,NA
16049,NA
16050,NA
16051,ND
16052,NA
16053,NA
16054,NA
16055,NA
16056,NA
16057,NA
16058,NA
16059,NA
16060,NA
16061,NA
16062,NA
16063,NA
16064,NA
16065,NA
16066,NA
16067,NSS
16068,NA
16069,NA
16070,NA
16071,NA
16072,NA
16073,NA
16074,NA
16075,NA
16076,NA
16077,NA
16078,NA
16079,NA
16080,NA
16081,NA
16082,NA
16083,NA
16084,NA
16085,NA
16086,NA
16087,NA
16088,NA
16089,NA
16090,NA
16091,NA
16092,NA
16093,NA
16094,NA
16095,NA
16096,NA
16097,NA
16098,NA
16099,NA
16100,NA
16101,NA
16102,NA
16103,NA
16104,NA
16105,NA
16106,NA
16107,NA
16108,NA
16109,NA
16110,NA
16111,NA
16112,NA
16113,NA
17001,NA
17002,NA
17003,NA
17004,NA
17005,NA
17006,NA
17007,NA
17008,NA
17009,NA
17010,NA
17011,NA
17012,NA
17013,NA
17014,NA
17015,NA
17016,NA
17017,NA
17018,NA
17019,NA
17020,NA
17021,NA
17022,NA
17023,NA
17024,NA
17025,NA
17026,NA
17027,NSS
17028,NA
17029,NA
17030,NA
17031,NA
17032,NA
17033,NA
17034,NA
17035,NA
17036,NA
18001,NA
18002,NA
18003,NA
18004,NA
18005,NA
18006,NA
18007,NA
18008,NA
18009,NA
18010,NA
18011,NA
18012,NA
18013,NA
18014,NA
18015,NA
18016,NA
18017,NA
18018,NA
18019,NA
18020,NA
19001,NSS
19002,NA
19003,NA
19004,NA
19005,NA
19006,24168072.96
19007,NA
19008,NA
19009,0
19010,NA
19011,NA
19012,NA
19013,NA
19014,NA
19015,NA
19016,NA
19017,NA
19018,NA
19019,41102822.04
19020,NA
19021,0
19022,NA
19023,NA
19024,NA
19025,NA
19026,14162732
19027,NA
19028,NA
19029,NA
19030,NA
19031,NA
19032,NA
19033,NA
19034,NA
19035,NA
19036,NA
19037,NA
19038,NA
19039,44789500.85
19040,NA
19041,NA
19042,NA
19043,NA
19044,NA
19045,NA
19046,1884541
19047,NA
19048,81650011
19049,NA
19050,NA
19051,NA
20001,NA
20002,NA
20003,NA
20004,NA
20005,NA
20006,NA
20007,NA
20008,NA
20009,NA
20010,NA
20011,NA
20012,NA
20013,NA
20014,NA
20015,NA
20016,NA
20017,NA
20018,NA
20019,NA
20020,NA
20021,NA
20022,NA
20023,NA
20024,NA
20025,NA
20026,NA
20027,NA
20028,NA
20029,NA
20030,NA
20031,NA
20032,NA
20033,NA
20034,NA
20035,NA
20036,NA
20037,NA
20038,NA
20039,NA
20040,NA
20041,NA
20042,NA
20043,NA
20044,NA
20045,NA
20046,NA
20047,NA
20048,NA
20049,NA
20050,NA
20051,NA
20052,NA
20053,NA
20054,NA
20055,NA
20056,NA
20057,NA
20058,NA
20059,NA
20060,NA
20061,NA
20062,NA
20063,NA
20064,NA
20065,NA
20066,NA
20067,0
20068,NA
20069,NA
20070,NA
20071,NA
20072,NA
20073,NA
20074,NA
20075,NA
20076,NA
20077,NA
20078,NA
20079,NSS
20080,NA
20081,NA
20082,NA
20083,NA
20084,NA
20085,NA
20086,NA
20087,NA
20088,NA
20089,NA
20090,NA
20091,NA
20092,NA
20093,NA
20094,NA
20095,NA
20096,NA
20097,NA
20098,NA
20099,NA
20100,NA
20101,NA
20102,NA
20103,NA
20104,NA
20105,NA
20106,NA
20107,NA
20108,NA
20109,NA
20110,NA
20111,NA
20112,NA
20113,NA
20114,NA
20115,NA
20116,NA
20117,NA
20118,NA
20119,NA
20120,NA
20121,NA
20122,NA
20123,NA
20124,NA
20125,NA
20126,NA
20127,NA
20128,NA
20129,NA
20130,NA
20131,NA
20132,NA
20133,NA
20134,NA
20135,NA
20136,NA
20137,NA
20138,NA
20139,NA
20140,NA
20141,NA
20142,NA
20143,NA
20144,NA
20145,NA
20146,NA
20147,NA
20148,NA
20149,NA
20150,NA
20151,NA
20152,NA
20153,NA
20154,NA
20155,NA
20156,NA
20157,NA
20158,NA
20159,NA
20160,NA
20161,NA
20162,NA
20163,NA
20164,NA
20165,NA
20166,NA
20167,NA
20168,NA
20169,NA
20170,NA
20171,NA
20172,NA
20173,NA
20174,NA
20175,NA
20176,NA
20177,NA
20178,NA
20179,NA
20180,NA
20181,NA
20182,NA
20183,NA
20184,NA
20185,NA
20186,NA
20187,NA
20188,NA
20189,NA
20190,NA
20191,NA
20192,NA
20193,NA
20194,NA
20195,NA
20196,NA
20197,NA
20198,NA
20199,NA
20200,NA
20201,NA
20202,NA
20203,NA
20204,NA
20205,NA
20206,NA
20207,NA
20208,NA
20209,NA
20210,NA
20211,NA
20212,NA
20213,NA
20214,NA
20215,NA
20216,NA
20217,NA
20218,NA
20219,NA
20220,NA
20221,NA
20222,NA
20223,NA
20224,NA
20225,NA
20226,NA
20227,NA
20228,NA
20229,NA
20230,NA
20231,NA
20232,NA
20233,NA
20234,NA
20235,NA
20236,NA
20237,NA
20238,NA
20239,NA
20240,NA
20241,NA
20242,NA
20243,NA
20244,NA
20245,NA
20246,NA
20247,NA
20248,NA
20249,NA
20250,NA
20251,NA
20252,NA
20253,NA
20254,NA
20255,NA
20256,NA
20257,NA
20258,NA
20259,NA
20260,NA
20261,NA
20262,NA
20263,NA
20264,NA
20265,NA
20266,NA
20267,NA
20268,NA
20269,NA
20270,NA
20271,NA
20272,NA
20273,NA
20274,NA
20275,NA
20276,NA
20277,NA
20278,NA
20279,NA
20280,NA
20281,NA
20282,NA
20283,NA
20284,NA
20285,NA
20286,NA
20287,NA
20288,NA
20289,NA
20290,NA
20291,NA
20292,NA
20293,NA
20294,NA
20295,NA
20296,NA
20297,NA
20298,NA
20299,NA
20300,NA
20301,NA
20302,NA
20303,NA
20304,NA
20305,NA
20306,NA
20307,NA
20308,NA
20309,NA
20310,NA
20311,NA
20312,NA
20313,NA
20314,NA
20315,NA
20316,NA
20317,NA
20318,NA
20319,NA
20320,NA
20321,NA
20322,NA
20323,NA
20324,NA
20325,NA
20326,NA
20327,NA
20328,NA
20329,NA
20330,NA
20331,NA
20332,NA
20333,NA
20334,NA
20335,NA
20336,NA
20337,NA
20338,NA
20339,NA
20340,NA
20341,NA
20342,NA
20343,NA
20344,NA
20345,NA
20346,NA
20347,NA
20348,NA
20349,NA
20350,NA
20351,NA
20352,NA
20353,NA
20354,NA
20355,NA
20356,NA
20357,NA
20358,NA
20359,NA
20360,NA
20361,NA
20362,NA
20363,NA
20364,NA
20365,NA
20366,NA
20367,NA
20368,NA
20369,NA
20370,NA
20371,NA
20372,NA
20373,NA
20374,NA
20375,NA
20376,NA
20377,NA
20378,NA
20379,NA
20380,NA
20381,NA
20382,NA
20383,NA
20384,NA
20385,NA
20386,NA
20387,NA
20388,NA
20389,NA
20390,NA
20391,NA
20392,NA
20393,NA
20394,NA
20395,NA
20396,NA
20397,NA
20398,NA
20399,NA
20400,NA
20401,NA
20402,NA
20403,NA
20404,NA
20405,NA
20406,NA
20407,NA
20408,NA
20409,NA
20410,NA
20411,NA
20412,NA
20413,NA
20414,NA
20415,NA
20416,NA
20417,NA
20418,NA
20419,NA
20420,NA
20421,NA
20422,NA
20423,NA
20424,NA
20425,NA
20426,NA
20427,NA
20428,NA
20429,NA
20430,NA
20431,NA
20432,NA
20433,NA
20434,NA
20435,NA
20436,NA
20437,NA
20438,NA
20439,NA
20440,NA
20441,NA
20442,NA
20443,NA
20444,NA
20445,NA
20446,NA
20447,NA
20448,NA
20449,NA
20450,NA
20451,NA
20452,NA
20453,NA
20454,NA
20455,NA
20456,NA
20457,NA
20458,NA
20459,NA
20460,NA
20461,NA
20462,NA
20463,NA
20464,NA
20465,NA
20466,NA
20467,NA
20468,NA
20469,NA
20470,NA
20471,NA
20472,NA
20473,NA
20474,NA
20475,NA
20476,NA
20477,NA
20478,NA
20479,NA
20480,NA
20481,NA
20482,NA
20483,NA
20484,NA
20485,NA
20486,NA
20487,NA
20488,NA
20489,NA
20490,NA
20491,NA
20492,NA
20493,NA
20494,NA
20495,NSS
20496,NA
20497,NA
20498,NA
20499,NA
20500,NA
20501,NA
20502,NA
20503,NA
20504,NA
20505,NA
20506,NA
20507,NA
20508,NA
20509,NA
20510,NA
20511,NA
20512,NA
20513,NA
20514,NA
20515,NA
20516,NA
20517,NA
20518,NA
20519,NA
20520,NA
20521,NA
20522,NA
20523,NA
20524,NA
20525,NA
20526,NA
20527,NA
20528,NA
20529,NA
20530,NA
20531,NA
20532,NA
20533,NA
20534,NA
20535,NA
20536,NA
20537,NA
20538,NA
20539,NA
20540,NA
20541,NA
20542,NA
20543,NA
20544,NA
20545,NA
20546,NA
20547,NA
20548,NA
20549,NA
20550,NA
20551,NA
20552,NA
20553,NA
20554,NA
20555,NA
20556,NA
20557,NA
20558,NA
20559,NA
20560,NA
20561,NA
20562,NA
20563,NA
20564,NA
20565,NA
20566,NA
20567,NA
20568,NA
20569,NA
20570,NA
21001,NA
21002,NA
21003,NA
21004,NA
21005,NA
21006,NA
21007,NA
21008,NA
21009,NA
21010,NA
21011,NA
21012,NA
21013,NA
21014,NA
21015,NA
21016,NA
21017,NA
21018,NA
21019,NA
21020,NA
21021,NA
21022,NA
21023,NA
21024,NA
21025,NA
21026,NA
21027,NA
21028,NA
21029,NA
21030,NA
21031,NA
21032,NA
21033,NA
21034,NA
21035,NA
21036,NA
21037,NA
21038,NA
21039,NA
21040,NA
21041,NA
21042,NA
21043,NA
21044,NA
21045,NA
21046,NA
21047,NA
21048,NA
21049,NA
21050,NA
21051,NA
21052,NA
21053,NA
21054,NA
21055,NA
21056,NA
21057,NA
21058,NA
21059,NA
21060,NA
21061,NA
21062,NA
21063,NA
21064,NA
21065,NA
21066,NA
21067,NA
21068,NA
21069,NA
21070,NA
21071,NA
21072,NA
21073,NA
21074,NA
21075,NA
21076,NA
21077,NA
21078,NA
21079,NA
21080,NA
21081,NA
21082,NA
21083,NA
21084,NA
21085,NA
21086,NA
21087,NA
21088,NA
21089,NA
21090,NA
21091,NA
21092,NA
21093,NA
21094,NA
21095,NA
21096,NA
21097,NA
21098,NA
21099,NA
21100,NA
21101,NA
21102,NA
21103,NA
21104,NA
21105,NA
21106,NA
21107,NA
21108,NA
21109,NA
21110,NA
21111,NA
21112,NA
21113,NA
21114,14701589.68
21115,NSS
21116,NA
21117,NA
21118,NA
21119,NA
21120,NA
21121,NA
21122,NA
21123,NA
21124,NA
21125,NA
21126,NA
21127,NA
21128,NA
21129,NA
21130,NA
21131,NA
21132,NA
21133,NA
21134,NA
21135,NA
21136,NA
21137,NA
21138,NA
21139,NA
21140,NA
21141,NA
21142,NA
21143,NA
21144,NA
21145,NA
21146,NA
21147,NA
21148,NA
21149,NA
21150,NA
21151,NA
21152,NA
21153,NA
21154,NA
21155,NA
21156,1721351
21157,NA
21158,NA
21159,NA
21160,NA
21161,NA
21162,NA
21163,NA
21164,NA
21165,NA
21166,NA
21167,NA
21168,NA
21169,NA
21170,NA
21171,NA
21172,NA
21173,NA
21174,NA
21175,NA
21176,NA
21177,NA
21178,NA
21179,NA
21180,NA
21181,NA
21182,NA
21183,NA
21184,NA
21185,NA
21186,NA
21187,NA
21188,NA
21189,NA
21190,NA
21191,NA
21192,NA
21193,NA
21194,NA
21195,NA
21196,NA
21197,NA
21198,NA
21199,NA
21200,NA
21201,NA
21202,NA
21203,NA
21204,NA
21205,NA
21206,NA
21207,NA
21208,NA
21209,NA
21210,NA
21211,NA
21212,NA
21213,NA
21214,NA
21215,NA
21216,NA
21217,NA
22001,NA
22002,NA
22003,NA
22004,NA
22005,NA
22006,NA
22007,NA
22008,NA
22009,NA
22010,NA
22011,NA
22012,NA
22013,NA
22014,18594899
22015,NA
22016,NA
22017,NA
22018,NA
23001,NA
23002,NA
23003,NA
23004,NA
23005,3987594
23006,NA
23007,NA
23008,NSS
23009,NA
23010,NA
23011,NA
24001,NA
24002,NA
24003,NA
24004,NA
24005,NA
24006,NA
24007,NA
24008,NA
24009,NA
24010,NA
24011,NA
24012,NA
24013,NA
24014,NA
24015,NA
24016,NA
24017,NA
24018,NA
24019,NA
24020,NA
24021,NA
24022,NA
24023,NA
24024,NA
24025,NA
24026,NA
24027,NA
24028,52198
24029,NA
24030,NA
24031,NA
24032,NA
24033,NA
24034,NA
24035,NA
24036,NA
24037,NA
24038,NA
24039,NA
24040,NA
24041,NA
24042,NA
24043,NA
24044,NA
24045,NA
24046,NA
24047,NA
24048,NA
24049,NA
24050,NA
24051,NA
24052,NA
24053,NA
24054,NA
24055,NA
24056,NA
24057,NA
24058,NA
25001,NA
25002,NA
25003,NA
25004,NA
25005,NA
25006,NA
25007,NA
25008,NA
25009,NA
25010,NA
25011,NA
25012,NA
25013,NA
25014,NA
25015,NA
25016,NA
25017,NA
25018,NA
26001,NA
26002,NA
26003,NA
26004,NA
26005,NA
26006,NA
26007,NA
26008,NA
26009,NA
26010,NA
26011,NA
26012,NA
26013,NA
26014,NA
26015,NA
26016,NA
26017,NA
26018,1399824.69
26019,NA
26020,NA
26021,NA
26022,NA
26023,NA
26024,NA
26025,NA
26026,NA
26027,NA
26028,NA
26029,NA
26030,NA
26031,NA
26032,NA
26033,NA
26034,NA
26035,NA
26036,NA
26037,NA
26038,NA
26039,NA
26040,NA
26041,NA
26042,NA
26043,NA
26044,NA
26045,NA
26046,NA
26047,NA
26048,NA
26049,NA
26050,NA
26051,NA
26052,NA
26053,NA
26054,NA
26055,600
26056,NA
26057,NA
26058,NA
26059,NA
26060,NA
26061,NA
26062,NA
26063,NA
26064,NA
26065,NA
26066,NA
26067,NA
26068,NA
26069,NA
26070,NA
26071,NA
26072,NA
27001,NA
27002,NSS
27003,NA
27004,NA
27005,NA
27006,NA
27007,NA
27008,NA
27009,NA
27010,NA
27011,NA
27012,NA
27013,NA
27014,NA
27015,NA
27016,NA
27017,NA
28001,NA
28002,NA
28003,NA
28004,NA
28005,NA
28006,NA
28007,NA
28008,NA
28009,NA
28010,NA
28011,NA
28012,NA
28013,NA
28014,NA
28015,NA
28016,NA
28017,NA
28018,NA
28019,NA
28020,NA
28021,NA
28022,NA
28023,NA
28024,NA
28025,NA
28026,NA
28027,NA
28028,NA
28029,NA
28030,NA
28031,NA
28032,NA
28033,NA
28034,NA
28035,NA
28036,NA
28037,NA
28038,NA
28039,NA
28040,NA
28041,NA
28042,NA
28043,NA
29001,NA
29002,NA
29003,NA
29004,NA
29005,NA
29006,NA
29007,NA
29008,NA
29009,NA
29010,NA
29011,NA
29012,NA
29013,NA
29014,NA
29015,NA
29016,NA
29017,NA
29018,NA
29019,NA
29020,NA
29021,NA
29022,NA
29023,NA
29024,NA
29025,NA
29026,NA
29027,NA
29028,NA
29029,NA
29030,NA
29031,NA
29032,NA
29033,NA
29034,NA
29035,NA
29036,NA
29037,NA
29038,NA
29039,NA
29040,NA
29041,NA
29042,NA
29043,NA
29044,NA
29045,NA
29046,NA
29047,NA
29048,NA
29049,NA
29050,NA
29051,NA
29052,NA
29053,NA
29054,NA
29055,NA
29056,NA
29057,NA
29058,NA
29059,NA
29060,NA
30001,NA
30002,NA
30003,NA
30004,NA
30005,NA
30006,NSS
30007,NA
30008,NA
30009,NA
30010,NA
30011,NA
30012,NA
30013,NA
30014,NSS
30015,NA
30016,NA
30017,NA
30018,NA
30019,NA
30020,NA
30021,NA
30022,NA
30023,NA
30024,NA
30025,NA
30026,NA
30027,NA
30028,NA
30029,NA
30030,NA
30031,NA
30032,NA
30033,NA
30034,NA
30035,NA
30036,NA
30037,NA
30038,NA
30039,NA
30040,NA
30041,NA
30042,NA
30043,NA
30044,NA
30045,NA
30046,NA
30047,NA
30048,NA
30049,NA
30050,NA
30051,NA
30052,NA
30053,NA
30054,NA
30055,NA
30056,NA
30057,NA
30058,NA
30059,NA
30060,NA
30061,NA
30062,NA
30063,NA
30064,NA
30065,NA
30066,NA
30067,NA
30068,NA
30069,NA
30070,NA
30071,NA
30072,NA
30073,NA
30074,NSS
30075,NSS
30076,NA
30077,NA
30078,NA
30079,NA
30080,NA
30081,NA
30082,NSS
30083,NA
30084,NA
30085,NA
30086,NA
30087,NA
30088,NA
30089,NA
30090,NA
30091,NA
30092,NSS
30093,NSS
30094,NA
30095,NA
30096,NA
30097,NA
30098,NA
30099,NSS
30100,NA
30101,NA
30102,NA
30103,NSS
30104,NA
30105,NSS
30106,NA
30107,NA
30108,NA
30109,NA
30110,NA
30111,NA
30112,NA
30113,NA
30114,NA
30115,NA
30116,NA
30117,NA
30118,20164349.15
30119,NA
30120,NA
30121,NA
30122,NA
30123,NA
30124,NA
30125,NSS
30126,NA
30127,NA
30128,NA
30129,NA
30130,NA
30131,NA
30132,NA
30133,NA
30134,NA
30135,NA
30136,NA
30137,NA
30138,NSS
30139,NA
30140,NA
30141,NA
30142,NA
30143,NA
30144,NSS
30145,NA
30146,NA
30147,NA
30148,NA
30149,NA
30150,NA
30151,NA
30152,NA
30153,NA
30154,NA
30155,NA
30156,NA
30157,NA
30158,NA
30159,NA
30160,NA
30161,NA
30162,NA
30163,NA
30164,NA
30165,NA
30166,NA
30167,NA
30168,NA
30169,NSS
30170,NA
30171,NA
30172,NA
30173,NA
30174,NA
30175,NA
30176,NA
30177,NA
30178,NA
30179,NA
30180,NA
30181,NA
30182,NSS
30183,NA
30184,NA
30185,NA
30186,NA
30187,NA
30188,NA
30189,NA
30190,NA
30191,NSS
30192,NA
30193,NA
30194,NA
30195,NA
30196,NA
30197,NA
30198,NA
30199,NA
30200,NA
30201,NA
30202,NA
30203,NA
30204,NA
30205,NA
30206,NA
30207,NA
30208,NA
30209,NA
30210,NA
30211,NA
30212,NA
31001,NA
31002,NA
31003,NA
