ubicageo_f,rnspni1,anios_a,nombre1
5005,1,2022,CARRERA HONOR Y JUSTICIA
5006,1,1975,COMISION DE HONOR Y JUSTICIA PROFESIONAL DE CARRERA HONOR Y JUSTICIA MUNICIPAL DE CASTAÑOS COAHUILA DE ZARAGOZA
5007,1,2021,COMISION DE HONOR Y JUSTICIA
5008,0,NA,NO APLICA
5009,1,2022,CONSEJO DE HONOR Y JUSTICIA
5010,1,2022,SERVICIO PROFESIONAL DE CARRERA DE LA COMISION DE HONOR Y JUSTICIA
5011,1,2022,COMISION DEL SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA
5012,0,NA,NO APLICA
5013,0,NA,NO APLICA
5014,1,2021,COMISION DE HONOR Y JUSTICIA
5015,0,NA,NO APLICA
5016,1,2021,COMISION DE HONOR Y JUSTICIA
5017,1,2022,COMISION DE CARRERA HONOR Y JUSTICIA DE LA COMISION MUNICIPAL DE PROTECCION CIUDADANA
5018,1,2022,COMISION DEL SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA
5019,1,2022,COMISION DE HONOR Y JUSTICIA
5020,1,2018,COMISION DE HONOR Y JUSTICIA
5021,1,NSS,COMISION DE HONOR Y JUSTICIA
5022,1,2021,COMISION DE HONOR Y JUSTICIA
5023,1,2022,COMISION MUNICIPAL DEL SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA
5024,1,2022,ACTA DE INTEGRACION E INSTALACION DE LA COMISION MUNICIPAL DEL SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA DE LA CIUDAD DE PARRAS DE LA FUENTE COAHUILA
5025,1,2022,COMISION DE HONOR Y JUSTICIA
5026,0,NA,NO APLICA
5027,1,2016,DIRECCION DE POLICIA MUNICIPAL
5028,1,2022,COMISION MUNICIPAL DE SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA
5029,1,2022,COMISION DE HONOR Y JUSTICIA
5030,1,2014,COMISION DEL SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA
5031,1,2022,COMISION DE SERVICIO PROFESIONAL DE CARRERA DE HONOR Y JUSTICIA DE LA DIRECCION DE SEGURIDAD PUBLICA
5032,1,NSS,COMISION DE HONOR Y JUSTICIA
5033,1,2022,COMISION DEL SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA DE LA DIRECCION DE SEGURIDAD PUBLICA
5034,1,2022,COMISION DE HONOR Y JUSTICIA
5035,1,2022,COMISION DE HONOR Y JUSTICIA
5036,1,2022,COMISION DE HONOR Y JUSTICIA
5037,1,2022,COMISION DE MESA DE HONOR Y JUSTICIA
5038,1,2021,COMISION DEL SERVICIO PROFESIONAL DE CARRERA DE HONOR Y JUSTICIA
6001,1,2022,CONSEJO DE HONOR Y JUSTICIA DE LA DIRECCION DE SEGURIDAD PUBLICA Y POLICIA VIAL DE ARMERIA
6002,1,2022,COMISION DEL SERVICIO PROFESIONAL DE CARRERA POLICIAL HONOR Y JUSTICIA
6003,1,2022,COMISION DE HONOR Y JUSTICIA
6004,1,2021,COMISION DE HONOR Y JUSTICIA
6005,2,NA,NO APLICA
6006,1,2021,COMISION DE HONOR Y JUSTICIA
6007,1,2018,COMISION DEL SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA PARA LA DIRECCION GENERAL DE SEGURIDAD PUBLICA Y POLICIA VIAL DEL MUNICIPIO DE MANZANILLO COLIMA
6008,1,2021,CONSEJO DE HONOR Y JUSTICIA
6009,1,2014,COMISION DEL SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA
6010,1,2010,REGLAMENTO DEL SERVICIO PROFESIONAL DE CARRERA DE LA COMISION DE HONOR Y JUSTICIA
7001,1,2022,CONSEJO DE HONOR Y JUSTICIA DEL MUNICIPIO DE ACACOYAGUA CHIAPAS
7002,2,NA,NO APLICA
7003,2,NA,NO APLICA
7004,1,2022,COMISION DE HONOR Y JUSTICIA
7005,2,NA,NO APLICA
7006,3,NA,NO APLICA
7007,3,NA,NO APLICA
7008,2,NA,NO APLICA
7009,1,2021,CONSEJO HONOR DE JUSTICIA
7010,2,NA,NO APLICA
7011,3,NA,NO APLICA
7012,1,2021,COMISION DE HONOR Y JUSTICIA
7013,1,2022,CONSEJO DE HONOR Y JUSTICIA
7014,3,NA,NO APLICA
7015,2,NA,NO APLICA
7016,9,NSS,NO IDENTIFICADO
7017,1,2022,COMISION DE HONOR Y JUSTICIA
7018,2,NA,NO APLICA
7019,2,NA,NO APLICA
7020,2,NA,NO APLICA
7021,2,NA,NO APLICA
7022,2,NA,NO APLICA
7023,3,NA,NO APLICA
7024,3,NA,NO APLICA
7025,1,2021,COMISION DE HONOR Y JUSTICIA
7026,1,2021,COMISION DE HONOR Y JUSTICIA
7027,1,2021,CONSEJO DE HONOR Y JUSTICIA
7028,2,NA,NO APLICA
7029,2,NA,NO APLICA
7030,1,2021,CONSEJO MUNICIPAL DE HONOR Y JUSTICIA
7031,1,2019,CONCEJO DE HONOR Y JUSTICIA
7032,2,NA,NO APLICA
7033,2,NA,NO APLICA
7034,2,NA,NO APLICA
7035,1,2022,COMISION DE HONOR Y JUSTICIA
7036,2,NA,NO APLICA
7037,2,NA,NO APLICA
7038,3,NA,NO APLICA
7039,2,NA,NO APLICA
7040,2,NA,NO APLICA
7041,1,2022,COMISION MUNICIPAL DE HONOR Y JUSTICIA MUNICIPAL DE LA INDEPENDENCIA
7042,2,NA,NO APLICA
7043,2,NA,NO APLICA
7044,3,NA,NO APLICA
7045,1,2022,REGLAMENTO DEL CONSEJO DE CHIAPAS HONOR Y JUSTICIA DE SEGURIDAD PUBLICA DEL MUNICIPIO DE IXTAPANGAJOYA
7046,3,NA,NO APLICA
7047,2,NA,NO APLICA
7048,1,2021,CONSEJO DE HONOR Y JUSTICIA
7049,2,NA,NO APLICA
7050,1,2021,REGLAMENTO DE LA COMISION DEL SERVICIO PROFESIONAL DE CARRERA DE HONOR Y JUSTICIA DEL AYUNTAMIENTO DE LA LIBERTAD CHIAPAS
7051,2,NA,NO APLICA
7052,1,2022,COMISION DE HONOR Y JUSTICIA
7053,1,2021,CONSEJO DE HONOR Y JUSTICIA
7054,2,NA,NO APLICA
7055,1,2022,CONSEJO DE HONOR Y JUSTICIA
7056,2,NA,NO APLICA
7057,3,NA,NO APLICA
7058,2,NA,NO APLICA
7059,1,2018,CONSEJO DE HONOR Y JUSTICIA
7060,1,2021,COMISION DE HONOR Y JUSTICIA
7061,2,NA,NO APLICA
7062,3,NA,NO APLICA
7063,3,NA,NO APLICA
7064,2,NA,NO APLICA
7065,1,2022,COMISION DEL SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA
7066,2,NA,NO APLICA
7067,2,NA,NO APLICA
7068,2,NA,NO APLICA
7069,9,NSS,NO IDENTIFICADO
7070,2,NA,NO APLICA
7071,2,NA,NO APLICA
7072,1,2021,COMISION DE HONOR Y JUSTICIA
7073,1,2021,CONSEJO DE HONOR Y JUSTICIA
7074,1,2022,COMISION DE HONOR Y JUSTICIA
7075,2,NA,NO APLICA
7076,1,2022,COMISION DE HONOR Y JUSTICIA
7077,1,2021,CONSEJO DE HONOR Y JUSTICIA
7078,1,2022,COMISION DEL SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA DE LA DIRECCION DE POLICIA MUNICIPAL
7079,3,NA,NO APLICA
7080,2,NA,NO APLICA
7081,1,2022,CONSEJO DE HONOR Y JUSTICIA
7082,1,2021,COMISION DEL SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA PREVENTIVA DE SITALA CHIAPAS
7083,2,NA,NO APLICA
7084,2,NA,NO APLICA
7085,2,NA,NO APLICA
7086,2,NA,NO APLICA
7087,2,NA,NO APLICA
7088,2,NA,NO APLICA
7089,1,2015,HONORABLE COMISION DEL SERVICIO PROFESIONAL DE CARRERA POLICIAL HONOR Y JUSTICIA
7090,1,2021,COMISION DE HONOR Y JUSTICIA
7091,1,2022,COMISION DE HONOR Y JUSTICIA
7092,2,NA,NO APLICA
7093,3,NA,NO APLICA
7094,2,NA,NO APLICA
7096,1,2021,CONSEJO MUNICIPAL DE HONOR Y JUSTICIA
7097,1,2017,REGLAMENTO DE LA COMISION DE HONOR Y JUSTICIA DE LA SECRETARIA DE SEGURIDAD Y PROTECCION CIUDADANA
7098,1,2020,COMISION DE HONOR Y JUSTICIA
7099,1,2022,COMISION DE HONOR Y JUSTICIA MUNICIPAL LA TRINITARIA
7100,1,2022,CONSEJO DE HONOR Y JUSTICIA
7101,1,2009,COMISION DEL SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA
7102,2,NA,NO APLICA
7103,2,NA,NO APLICA
7104,2,NA,NO APLICA
7105,9,NSS,NO IDENTIFICADO
7106,2,NA,NO APLICA
7107,3,NA,NO APLICA
7108,1,2021,COMISION DEL SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA
7109,1,2019,COMISION DE HONOR Y JUSTICIA DE YAJALON
7110,1,2021,CONSEJO DE HONOR Y JUSTICIA
7111,1,2022,COMISION DE HONOR Y JUSTICIA
7112,2,NA,NO APLICA
7113,2,NA,NO APLICA
7114,1,2021,COMISION Y JUSTICIA DE BENEMERITO
7115,1,2021,CONSEJO DE HONOR Y JUSTICIA
7116,1,2022,REGLAMENTO DE LA COMISION DE HONOR Y JUSTICIA
7117,1,2021,COMISION DE HONOR Y JUSTICIA
7118,2,NA,NO APLICA
7119,2,NA,NO APLICA
7120,1,2021,COMISION DE SERVICIO PROFESIONAL DE CARRERA POLICIAL DE HONOR Y JUSTICIA
7121,2,NA,NO APLICA
7122,3,NA,NO APLICA
7123,2,NA,NO APLICA
7124,2,NA,NO APLICA
7125,2,NA,NO APLICA
8001,3,NA,NO APLICA
8002,2,NA,NO APLICA
8003,2,NA,NO APLICA
8004,2,NA,NO APLICA
8005,3,NA,NO APLICA
8006,3,NA,NO APLICA
8007,3,NA,NO APLICA
8008,3,NA,NO APLICA
8009,3,NA,NO APLICA
8010,1,2022,POLICIA DE PROXIMIDAD
8011,1,2022,COMISION DE SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA PARA LOS INTEGRANTES DE LA DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL DE CAMARGO
8012,2,NA,NO APLICA
8013,3,NA,NO APLICA
8014,3,NA,NO APLICA
8015,2,NA,NO APLICA
8016,1,2019,CONSEJO DE HONOR Y JUSTICIA
8017,1,2017,COMISION DEL SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA
8018,2,NA,NO APLICA
8019,1,2022,COMISION DEL SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA
8020,2,NA,NO APLICA
8021,1,2013,COMISION DEL SERVICIO PROFESIONAL DE CARRERA DE HONOR Y JUSTICIA
8022,2,NA,NO APLICA
8023,1,2022,CONSEJO DE JUSTICIA Y SEGURIDAD
8024,2,NA,NO APLICA
8025,3,NA,NO APLICA
8026,2,NA,NO APLICA
8027,2,NA,NO APLICA
8028,3,NA,NO APLICA
8029,2,NA,NO APLICA
8030,3,NA,NO APLICA
8031,3,NA,NO APLICA
8032,1,2022,COMISION DEL SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA
8033,2,NA,NO APLICA
8034,3,NA,NO APLICA
8035,9,NSS,NO IDENTIFICADO
8036,2,NA,NO APLICA
8037,1,2011,COMISION DEL SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA
8038,2,NA,NO APLICA
8039,1,2005,CONSEJO DE HONOR Y JUSTICIA
8040,3,NA,NO APLICA
8041,2,NA,NO APLICA
8042,3,NA,NO APLICA
8043,2,NA,NO APLICA
8044,2,NA,NO APLICA
8045,1,2021,COMISION DE HONOR Y JUSTICIA
8046,2,NA,NO APLICA
8047,3,NA,NO APLICA
8048,3,NA,NO APLICA
8049,2,NA,NO APLICA
8050,2,NA,NO APLICA
8051,3,NA,NO APLICA
8052,2,NA,NO APLICA
8053,3,NA,NO APLICA
8054,3,NA,NO APLICA
8055,3,NA,NO APLICA
8056,2,NA,NO APLICA
8057,3,NA,NO APLICA
8058,1,2019,COMISION DE HONOR Y JUSTICIA
8059,3,NA,NO APLICA
8060,3,NA,NO APLICA
8061,3,NA,NO APLICA
8062,2,NA,NO APLICA
8063,2,NA,NO APLICA
8064,2,NA,NO APLICA
8065,3,NA,NO APLICA
8066,2,NA,NO APLICA
8067,2,NA,NO APLICA
9002,0,NA,NO APLICA
9003,0,NA,NO APLICA
9004,0,NA,NO APLICA
9005,0,NA,NO APLICA
9006,0,NA,NO APLICA
9007,0,NA,NO APLICA
9008,0,NA,NO APLICA
9009,0,NA,NO APLICA
9010,0,NA,NO APLICA
9011,0,NA,NO APLICA
9012,0,NA,NO APLICA
9013,0,NA,NO APLICA
9014,0,NA,NO APLICA
9015,0,NA,NO APLICA
9016,0,NA,NO APLICA
9017,0,NA,NO APLICA
10001,1,2019,COMISION DE SEGURIDAD PUBLICA
10002,2,NA,NO APLICA
10003,2,NA,NO APLICA
10004,2,NA,NO APLICA
10005,1,2016,COMISION DE SERVICIOS PROFESIONAL DE CARRERA POLICIAL DE HONOR Y JUSTICIA
10006,3,NA,NO APLICA
10007,1,2017,CONSEJO DE HONOR Y JUSTICIA DEL SERVICIO PROFESIONAL DE CARRERA POLICIAL
10008,3,NA,NO APLICA
10009,2,NA,NO APLICA
10010,2,NA,NO APLICA
10011,2,NA,NO APLICA
10012,1,2021,COMISION DE HONOR Y JUSTICIA
10013,2,NA,NO APLICA
10014,3,NA,NO APLICA
10015,2,NA,NO APLICA
10016,3,NA,NO APLICA
10017,2,NA,NO APLICA
10018,2,NA,NO APLICA
10019,2,NA,NO APLICA
10020,3,NA,NO APLICA
10021,2,NA,NO APLICA
10022,2,NA,NO APLICA
10023,1,2020,COMISION DE HONOR Y JUSTICIA DE SEGURIDAD PUBLICA
10024,2,NA,NO APLICA
10025,2,NA,NO APLICA
10026,2,NA,NO APLICA
10027,2,NA,NO APLICA
10028,2,NA,NO APLICA
10029,2,NA,NO APLICA
10030,2,NA,NO APLICA
10031,3,NA,NO APLICA
10032,2,NA,NO APLICA
10033,2,NA,NO APLICA
10034,1,2020,COMISION DE HONOR Y JUSTICIA
10035,3,NA,NO APLICA
10036,2,NA,NO APLICA
10037,3,NA,NO APLICA
10038,3,NA,NO APLICA
10039,2,NA,NO APLICA
11001,1,2022,CONSEJO DE HONOR Y JUSTICIA DEL PERSONAL OPERATIVO DE LA DIRECCION GENERAL DE SEGURIDAD PUBLICA MUNICIPAL DE ABASOLO
11002,1,2021,CONSEJO DE HONOR Y JUSTICIA PARA LOS CUERPOS DE SEGURIDAD PUBLICA DEL MUNICIPIO DE ACAMBARO GUANAJUATO
11003,1,2010,CONSEJO DE HONOR Y JUSTICIA DE LAS INSTITUCIONES DE SEGURIDAD PUBLICA DEL ESTADO
11004,1,2019,CONSEJO DE HONOR Y JUSTICIA
11005,1,2021,CONSEJO DE HONOR Y JUSTICIA
11006,2,NA,NO APLICA
11007,1,2010,CONSEJO DE HONOR Y JUSTICIA DE LAS INSTITUCIONES DE SEGURIDAD PUBLICA DEL ESTADO
11008,9,NSS,NO IDENTIFICADO
11009,1,2019,CONSEJO DE HONOR Y JUSTICIA PARA LA INSTITUCION POLICIAL DEL MUNICIPIO DE COMONFORT GUANAJUATO
11010,9,NSS,NO IDENTIFICADO
11011,1,2010,CONSEJO DE HONOR Y JUSTICIA DE LAS INSTITUCIONES DE SEGURIDAD PUBLICA DEL ESTADO
11012,1,2021,CONSEJO DE HONOR Y JUSTICIA
11013,1,2010,CONSEJO DE HONOR Y JUSTICIA DE LAS INSTITUCIONES DE SEGURIDAD PUBLICA DEL ESTADO
11014,1,2005,CONSEJO DE HONOR Y JUSTICIA DE LAS INSTITUCIONES DE SEGURIDAD PUBLICA DEL ESTADO
11015,1,2010,CONSEJO DE HONOR Y JUSTICIA DE LAS INSTITUCIONES DE SEGURIDAD PUBLICA DEL ESTADO
11016,1,2022,CONSEJO DE HONOR Y JUSTICIA DE LOS CUERPOS DE SEGURIDAD PUBLICA TRANSITO Y PROTECCION CIVIL
11017,1,2008,ASUNTOS INTERNOS
11018,1,2010,CONSEJO DE HONOR Y JUSTICIA DE LAS INSTITUCIONES DE SEGURIDAD PUBLICA DEL ESTADO
11019,1,2022,CONSEJO DE HONOR Y JUSTICIA Y LA UNIDAD DE ASUNTOS INTERNOS
11020,1,2002,CONSEJO DE HONOR Y JUSTICIA DE LOS CUERPOS DE SEGURIDAD PUBLICA
11021,1,2010,CONSEJO DE HONOR Y JUSTICIA DE LAS INSTITUCIONES DE SEGURIDAD PUBLICA DEL ESTADO
11022,1,2021,CONCEJO DE HONOR Y JUSTICIA DE LOS CUERPOS DE SEGURIDAD PUBLICA MUNICIPAL DE OCAMPO GUANAJUATO
11023,1,2010,CONSEJO DE HONOR Y JUSTICIA DE LAS INSTITUCIONES DE SEGURIDAD PUBLICA DEL ESTADO
11024,3,NA,NO APLICA
11025,1,2021,CONSEJO DE HONOR Y JUSTICIA
11026,1,2010,CONSEJO DE HONOR Y JUSTICIA DE LAS INSTITUCIONES DE SEGURIDAD PUBLICA DEL ESTADO
11027,1,2021,CONSEJO DEL SERVICIO PROFESIONAL DEL CARRERA HONOR Y JUSTICIA PARA LA POLICIA DE SALAMANCA
11028,1,2010,CONSEJO DE HONOR Y JUSTICIA DE LAS INSTITUCIONES DE SEGURIDAD PUBLICA DEL ESTADO
11029,1,2015,CONSEJO DE HONOR Y JUSTICIA DE LA DIRECCION DE SEGURIDAD PUBLICA Y MOVILIDAD DEL MUNICIPIO DE SAN DIEGO DE LA UNION GUANAJUATO
11030,1,2010,CONSEJO DE HONOR Y JUSTICIA DE LAS INSTITUCIONES DE SEGURIDAD PUBLICA DEL ESTADO
11031,1,2010,CONSEJO DE HONOR Y JUSTICIA DE LAS INSTITUCIONES DE SEGURIDAD PUBLICA DEL ESTADO
11032,1,2013,COMISION DE SEGURIDAD PUBLICA DE SAN JOSE ITURBIDE
11033,1,2015,CONSEJO DE HONOR Y JUSTICIA DE LOS CUERPOS DE SEGURIDAD PUBLICA DEL MUNICIPIO DE SAN LUIS DE LA PAZ
11034,1,2022,COMISION DEL CONSEJO DE HONOR Y JUSTICIA
11035,3,NA,NO APLICA
11036,1,2021,CONSEJO DE HONOR Y JUSTICIA
11037,1,2010,CONSEJO DE HONOR Y JUSTICIA DE LAS INSTITUCIONES DE SEGURIDAD PUBLICA DEL ESTADO
11038,9,NSS,NO IDENTIFICADO
11039,1,2010,CONSEJO DE HONOR Y JUSTICIA DE LAS INSTITUCIONES DE SEGURIDAD PUBLICA DEL ESTADO
11040,1,2016,CONSEJO DE HONOR Y JUSTICIA DE LA DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD DEL MUNICIPIO DE TIERRA BLANCA GUANAJUATO
11041,1,2010,CONSEJO DE HONOR Y JUSTICIA DE LAS INSTITUCIONES DE SEGURIDAD PUBLICA DEL ESTADO
11042,1,2010,CONSEJO DE HONOR Y JUSTICIA DE LAS INSTITUCIONES DE SEGURIDAD PUBLICA DEL ESTADO
11043,1,2020,CONSEJO DE HONOR Y JUSTICIA DE LOS CUERPOS DE SEGURIDAD PUBLICA TRANSITO Y VIALIDAD MUNICIPAL DE VICTORIA GUANAJUATO
11044,1,2018,CONSEJO DE HONOR Y JUSTICIA DE LOS CUERPOS DE SEGURIDAD PUBLICA
11045,2,NA,NO APLICA
11046,1,2011,CONSEJO DE HONOR Y JUSTICIA DE SEGURIDAD PUBLICA DEL MUNICIPIO DE YURIRIA GUANAJUATO
12001,1,2010,CONSEJO DE HONOR Y JUSTICIA DE LOS CUERPOS DE SEGURIDAD PUBLICA DEL MUNICIPIO DE ACAPULCO DE JUAREZ
12002,3,NA,NO APLICA
12003,2,NA,NO APLICA
12004,3,NA,NO APLICA
12005,3,NA,NO APLICA
12006,2,NA,NO APLICA
12007,3,NA,NO APLICA
12008,2,NA,NO APLICA
12009,3,NA,NO APLICA
12010,2,NA,NO APLICA
12011,1,2021,CONSEJO DE HONOR Y JUSTICIA
12012,3,NA,NO APLICA
12013,3,NA,NO APLICA
12014,3,NA,NO APLICA
12015,2,NA,NO APLICA
12016,3,NA,NO APLICA
12017,3,NA,NO APLICA
12018,3,NA,NO APLICA
12019,3,NA,NO APLICA
12020,3,NA,NO APLICA
12021,1,2022,CONSEJO DE HONOR Y JUSTICIA
12022,3,NA,NO APLICA
12023,2,NA,NO APLICA
12024,3,NA,NO APLICA
12025,3,NA,NO APLICA
12026,3,NA,NO APLICA
12027,3,NA,NO APLICA
12028,1,2020,COMISION DE HONOR Y JUSTICIA
12029,1,1990,CONSEJO DE HONOR Y JUSTICIA
12030,2,NA,NO APLICA
12031,3,NA,NO APLICA
12032,3,NA,NO APLICA
12033,3,NA,NO APLICA
12034,2,NA,NO APLICA
12035,1,2021,COMISION DEL SERVICIO PROFESIONAL DE CARRERA HONOR Y JUSTICIA POLICIAL
12036,2,NA,NO APLICA
12037,3,NA,NO APLICA
12038,1,2022,COMISION DE HONOR Y JUSTICIA
12039,2,NA,NO APLICA
12040,2,NA,NO APLICA
12041,3,NA,NO APLICA
12042,2,NA,NO APLICA
12043,3,NA,NO APLICA
12044,2,NA,NO APLICA
12045,3,NA,NO APLICA
12046,2,NA,NO APLICA
12047,3,NA,NO APLICA
12048,2,NA,NO APLICA
12049,2,NA,NO APLICA
12050,3,NA,NO APLICA
12051,1,2021,COMISION DE HONOR Y JUSTICIA
12052,2,NA,NO APLICA
12053,1,2021,CONSEJO DE HONOR Y JUSTICIA
12054,2,NA,NO APLICA
12055,2,NA,NO APLICA
12056,3,NA,NO APLICA
12057,2,NA,NO APLICA
12058,2,NA,NO APLICA
12059,2,NA,NO APLICA
12060,2,NA,NO APLICA
12061,2,NA,NO APLICA
12062,2,NA,NO APLICA
12063,3,NA,NO APLICA
12064,3,NA,NO APLICA
12065,3,NA,NO APLICA
12066,3,NA,NO APLICA
12067,3,NA,NO APLICA
12068,3,NA,NO APLICA
12069,3,NA,NO APLICA
12070,3,NA,NO APLICA
12071,2,NA,NO APLICA
12072,3,NA,NO APLICA
12073,3,NA,NO APLICA
12074,2,NA,NO APLICA
12075,3,NA,NO APLICA
12076,3,NA,NO APLICA
12077,3,NA,NO APLICA
12078,3,NA,NO APLICA
12079,3,NA,NO APLICA
12080,3,NA,NO APLICA
12081,3,NA,NO APLICA
12082,0,NA,NO APLICA
12083,0,NA,NO APLICA
12084,0,NA,NO APLICA
12085,0,NA,NO APLICA
13001,3,NA,NO APLICA
13002,3,NA,NO APLICA
13003,1,2021,COMISION DE HONOR Y JUSTICIA
13004,2,NA,NO APLICA
13005,1,2020,CONSEJO DE HONOR Y JUSTICIA
13006,2,NA,NO APLICA
13007,2,NA,NO APLICA
13008,1,2021,COMISION DE HONOR Y JUSTICIA DE SEGURIDAD PUBLICA Y MOVILIDAD DE APAN HIDALGO
13009,2,NA,NO APLICA
13010,1,2021,UNIDAD DE ASUNTOS INTERNOS DE LA DIRECCION DE SEGURIDAD PUBLICA
13011,3,NA,NO APLICA
13012,2,NA,NO APLICA
13013,2,NA,NO APLICA
13014,2,NA,NO APLICA
13015,1,2021,COMISION DE HONOR Y JUSTICIA DE LA DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL DE CARDONAL HIDALGO
13016,1,2022,COMISION DE HONOR Y JUSTICIA
13017,2,NA,NO APLICA
13018,2,NA,NO APLICA
13019,2,NA,NO APLICA
13020,2,NA,NO APLICA
13021,2,NA,NO APLICA
13022,2,NA,NO APLICA
13023,3,NA,NO APLICA
13024,1,2020,COMISION DE HONOR Y JUSTICIA DE HUASCA DE OCAMPO
13025,3,NA,NO APLICA
13026,2,NA,NO APLICA
13027,2,NA,NO APLICA
13028,1,2012,COMISION DE HONOR Y JUSTICIA
13029,2,NA,NO APLICA
13030,1,2014,COMISION DE HONOR Y JUSTICIA
13031,3,NA,NO APLICA
13032,3,NA,NO APLICA
13033,1,2021,CONSEJO DE HONOR Y JUSTICIA
13034,2,NA,NO APLICA
13035,2,NA,NO APLICA
13036,3,NA,NO APLICA
13037,2,NA,NO APLICA
13038,1,2021,COMISION DE HONOR Y JUSTICIA PARA LA DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO
13039,2,NA,NO APLICA
13040,2,NA,NO APLICA
13041,2,NA,NO APLICA
13042,2,NA,NO APLICA
13043,3,NA,NO APLICA
13044,3,NA,NO APLICA
13045,2,NA,NO APLICA
13046,2,NA,NO APLICA
13047,2,NA,NO APLICA
13048,1,2015,COMISION DE HONOR Y JUSTICIA
13049,2,NA,NO APLICA
13050,3,NA,NO APLICA
13051,1,2018,COMISION DE HONOR Y JUSTICIA PARA LA SECRETARIA DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL DE MINERAL DE LA REFORMA
13052,2,NA,NO APLICA
13053,2,NA,NO APLICA
