ubicageo_f,numeral,nombre1,rnsnni1,equtec1,equtec2,equtec3,equtec4,equtec5,equtec6
2002,37,JEFATURA TOLUCA,1,1,1,,,,
2002,38,SUBCOMANDANCIA VALLE NORTE -ALGODONES,1,1,1,1,,,
2002,39,JEFATURA BATAQUEZ,1,1,1,,,,
2002,40,JEFATURA BENITO JUAREZ,1,1,1,,,,
2002,41,JEFATURA CIUDAD MORELOS,1,1,1,,,,
2002,42,JEFATURA HECHICERA,1,1,1,,,,
2002,43,JEFATURA HERMOSILLO,1,1,1,,,,
2002,44,JEFATURA SINALOA,1,1,1,,,,
2003,1,DIRECCION DE SEGURIDAD CIUDADANA,1,1,1,1,,,
2004,1,SECRETARIA DE SEGURIDAD Y PROTECCION CIUDADANA,1,1,,1,1,,
2004,2,DIRECCION GENERAL DE POLICIA Y TRANSITO MUNICIPAL,1,1,,,,,
2004,3,COMANDANCIA REGIONAL SUR,1,1,,1,,,
2004,4,DISTRITOS ZONA CENTRO,1,1,,,,,
2004,5,DISTRITOS PLAYAS DE TIJUANA,1,1,,,,,
2004,6,DISTRITO SAN ANTONIO DE LOS BUENOS,1,1,,,,,
2004,7,DISTRITO MESA DE OTAY,1,1,,,,,
2004,8,DISTRITO LA PRESA ABELARDO L RODRIGUEZ,1,1,,,,,
2004,9,DISTRITO LOS PINOS,1,1,,,,,
2004,10,DISTRITO PRESA RURAL,1,1,,,,,
2004,11,DISTRITO CENTENARIO,1,1,,,,,
2004,12,DISTRITO CERRO COLORADO,1,1,,,,,
2004,13,DISTRITO NATURA,1,1,,1,,,
2004,14,DISTRITO SANTA FE,1,1,,,,,
2004,15,DISTRITO FLORIDO MARIANO,1,1,,,,,
2004,16,SECCION TRANSITO,1,1,,,,,
2004,17,SECCION HECHOS DE TRANSITO,1,1,,,,,
2004,18,UNIDAD CANINA,2,NA,NA,NA,NA,NA,NA
2004,19,DISTRITO LA MESA,1,1,,,,,
2004,20,DISTRITO SANCHEZ TABOADA,2,NA,NA,NA,NA,NA,NA
2004,21,POLICIA TURISTICA,2,NA,NA,NA,NA,NA,NA
2005,1,SECRETARIA DE SEGURIDAD CIUDADANA,1,1,,1,1,1,
2005,2,DIRECCION DE PLANEACION PREVENCION Y COMBATE AL DELITO DE LA SECRETARIA DE SEGURIDAD CIUDADANA,1,1,,1,1,1,
2005,3,SUB COMANDANCIA DEL SECTOR DE PRIMO TAPIA,2,NA,NA,NA,NA,NA,NA
2006,1,CAMALU,1,1,1,1,1,1,
2006,2,VICENTE GUERRERO,1,1,1,1,1,1,
2006,3,SAN QUINTIN,1,1,1,1,1,1,
2006,4,EL ROSARIO,1,1,1,,1,,
2006,5,EL MARMOL,1,1,1,,1,,
2006,6,BAHIA DE LOS ANGELES,1,1,1,,1,,
2006,7,PUNTA PRIETA,1,1,1,,1,,
2006,8,VILLA JESUS MARIA,1,1,1,,1,,
2007,1,COMANDANCIA SAN FELIPE,1,1,1,1,1,1,
3001,1,DIRECCION GENERAL DE SEGURIDAD PUBLICA POLICIA PREVENTIVA Y TRANSITO MUNICIPAL,1,1,1,,,,
3001,2,COMANDANCIA CD INSURGENTES,1,,1,,,,
3001,3,COMANDANCIA VILLA MORELOS,1,,1,,,,
3001,4,COMANDANCIA LOPEZ MATEOS,1,,1,,,,
3001,5,COMANDANCIA PUERTO SAN CARLOS,1,,1,,,,
3001,6,COMANDANCIA DE IGNACIO ZARAGOZA,1,,1,,,,
3001,7,COMANDANCIA DE LA POZA,1,,1,,,,
3001,8,COMANDANCIA DE BENITO JUAREZ,1,,1,,,,
3001,9,COMANDANCIA DE LAS BARRANCAS,1,,1,,,,
3001,10,COMANDANCIA DE LA PURISIMA,1,,1,,,,
3001,11,COMANDANCIA DE SAN ISIDRO,1,,1,,,,
3001,12,COMANDANCIA DE SAN JUANICO,1,,1,,,,
3002,1,COMANDANCIA SANTA ROSALIA,1,1,1,,,,
3002,2,COMANDANCIA GUERRERO NEGRO,1,1,1,,,,
3002,3,COMANDANCIA DE VIZCAINO,1,1,1,,,,
3002,4,COMANDANCIA DE BAHIA TORTUGA,1,1,1,,,,
3002,5,COMANDANCIA DE SAN IGNACIO,1,1,1,,,,
3002,6,COMANDANCIA DE BAHIA ASUNCION,1,1,1,,,,
3002,7,COMANDANCIA DE MULEGE,1,1,1,,,,
3002,8,COMANDANCIA DE BOCANA,1,1,1,,,,
3002,9,COMANDANCIA DE PUNTA ABREOJOS,1,1,1,,,,
3002,10,COMANDANCIA DE SAN LUCAS,1,1,1,,,,
3002,11,COMANDANCIA DE SAN BRUNO,1,1,1,,,,
3002,12,COMANDANCIA DE SAN JOSE DE MAGDALENA,2,NA,NA,NA,NA,NA,NA
3002,13,COMANDANCIA DE ISLA SAN MARCOS,2,NA,NA,NA,NA,NA,NA
3002,14,COMANDANCIA DE BONFIL,1,1,1,,,,
3002,15,COMANDANCIA DE PALO VERDE,2,NA,NA,NA,NA,NA,NA
3003,1,SECTOR CENTRAL CENTRO DE DETENCIONES,1,,1,,,,
3003,2,BELLA VISTA,1,,1,,,,
3003,3,NAVARRO RUBIO,1,,1,,,,
3003,4,20 DE NOVIEMBRE,1,,1,,,,
3003,5,LEGASPY,1,,1,,,,
3003,6,CIVILIZADORES,1,,1,,,,
3003,7,DIANA LAURA,1,,1,,,,
3003,8,CAMINO REAL,1,,1,,,,
3003,9,CENTENARIO,1,,1,,,,
3003,10,SAN PEDRO,1,,1,,,,
3003,11,CARRIZAL,1,,1,,,,
3003,12,TODOS SANTOS,1,,1,,,,
3003,13,SAN ANTONIO,1,,1,,,,
3003,14,EL SARGENTO,1,,1,,,,
3003,15,LOS PLANES,1,,1,,,,
3003,16,LOS BARRILES,1,,1,,,,
3003,17,LAS POCITAS,1,,1,,,,
3003,18,LA FUENTE,1,,1,,,,
3003,19,CENTRO HISTORICO,1,,1,,,,
3003,20,PESCADERO,1,,1,,,,
3008,1,DIRECCION GENERAL SAN JOSE DEL CABO,1,1,1,1,1,1,
3008,2,COMANDANCIA MAGISTERIAL,1,1,1,,1,,
3008,3,SUBCOMANDANCIA LOMAS DEL ROSARITO,1,1,1,,1,,
3008,4,COMANDANCIA VISTA HERMOSA,1,1,1,,1,,
3008,5,COMANDANCIA SAN JOSE VIEJO,1,1,1,,1,,
3008,6,COMANDANCIA LA PLAYA,1,1,1,,1,,
3008,7,COMANDANCIA DELEGACIONAL CABO SAN LUCAS,1,1,1,1,1,1,
3008,8,COMANDANCIA MEDANO,1,1,1,,1,,
3008,9,COMANDANCIA POLICIA TURISTICA,1,1,1,,1,,
3008,10,COMANDANCIA AURORA,1,1,1,,1,,
3008,11,SUBCOMANDANCIA 4 DE MARZO,1,1,1,,1,,
3008,12,SUBCOMANDANCIA LOMAS DEL SOL,1,1,1,,1,,
3008,13,SUBCOMANDANCIA MESA COLORADA,1,1,1,,1,,
3008,14,COMANDANCIA DELEGACIONAL MIRAFLORES,1,1,1,,1,,
3008,15,COMANDANCIA DELEGACIONAL SANTIAGO,1,1,1,,1,,
3008,16,SUBCOMANDANCIA DELEGACIONAL BUENA VISTA,1,1,1,,1,,
3008,17,COMANDANCIA DELEGACIONAL LA RIBERA,1,1,1,,1,,
3008,18,DIRECCION DE TRANSITO SAN JOSE DEL CABO,1,1,1,,1,,
3008,19,MODULO DE TRANSITO CABO SAN LUCAS,1,1,1,,1,,
3009,1,BARANDILLA CENTRAL,1,,1,,,,
3009,2,SECTOR 2,1,,1,,,,
3009,3,SECTOR 4,1,,1,,,,
3009,4,SAN JAVIER,1,,1,,,,
3009,5,LIGUI,1,,1,,,,
3009,6,AGUA VERDE,1,,1,,,,
4001,1,DIRECCION DE SEGURIDAD PUBLICA DEL MUNICIPIO DE CALKINI,1,1,1,1,,,
4002,1,NO APLICA,0,NA,NA,NA,NA,NA,NA
4003,1,DIRECCION DE SEGURIDAD PUBLICA VIALIDAD Y TRANSITO DEL MUNICIPIO DE CARMEN,1,1,1,,1,,
4004,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,1,1,,,,
4005,1,SEGURIDAD PUBLICA DE HECELCHAKAN,1,1,1,,,,
4006,1,SECRETARIA DE SEGURIDAD PUBLICA,2,NA,NA,NA,NA,NA,NA
4007,1,SEGURIDAD PUBLICA,1,1,,,,,
4008,1,DIRECCION DE SEGURIDAD PUBLICA,1,,1,,,,
4009,1,COMPLEJO DE SEGURIDAD PUBLICA,1,1,1,,,,
4010,1,SEGURIDAD PUBLICA,1,1,1,,,,
4011,1,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO,1,,1,,,,
4012,1,NO APLICA,0,NA,NA,NA,NA,NA,NA
4013,1,NO APLICA,0,NA,NA,NA,NA,NA,NA
5001,1,DIRECCION DE SEGURIDAD PUBLICA DE ABASOLO,1,1,,,,,
5002,1,SEGURIDAD PUBLICA MUNICIPAL,1,,1,1,,,
5003,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,1,1,1,,1,
5004,1,DIRECCION DE POLICIA PREVENTIVA MUNICIPAL,1,1,1,,,,
5005,1,DEPARTAMENTO DE SEGURIDAD PUBLICA PREVENTIVA,1,,1,,,,
5006,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,1,1,1,1,1,
5007,1,DIRECCION DE LA POLICIA PREVENTIVA MUNICIPAL,1,1,1,,,,
5008,1,NO APLICA,0,NA,NA,NA,NA,NA,NA
5009,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,,1,,,,
5010,1,COMANDANCIA DE SEGURIDAD PUBLICA DE CIUDAD FRONTERA,1,1,,,,,
5011,1,DIRECCION DE SEGURIDAD PUBLICA,1,,,1,,,
5012,1,NO APLICA,0,NA,NA,NA,NA,NA,NA
5013,1,NO APLICA,0,NA,NA,NA,NA,NA,NA
5014,1,POLICIA PREVENTIVA,2,NA,NA,NA,NA,NA,NA
5015,1,NO APLICA,0,NA,NA,NA,NA,NA,NA
5016,1,MANDO DE COORDINACION POLICIAL,1,,1,,,,
5017,1,COMISION CIUDADANA DE PROTECCION CIUDADANA,1,,1,,,,1
5018,1,DEMARCACION CENTRO,1,1,1,1,,1,
5018,2,ESTACION SUR,2,NA,NA,NA,NA,NA,NA
5019,1,MANDO COORDINADO DE MORELOS,1,,1,1,,1,
5020,1,COMANDANCIA DE SEGURIDAD PUBLICA MELCHOR MUZQUIZ,1,1,,1,,,
5020,2,MINERAL DE PALAU,1,1,,1,,,
5020,3,MINAS DE BARROTERAN,1,1,,1,,,
5020,4,VILLA DE LAS ESPERANZAS,1,1,,1,,,
5021,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,1,1,1,,1,
5021,2,SUBESTACION DE SEGURIDAD PUBLICA,2,NA,NA,NA,NA,NA,NA
5022,1,COMANDANCIA NAVA,1,,1,1,,1,
5022,2,DELEGACION VENUSTIANO CARRANZA,1,,1,1,,1,
5023,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL DE OCAMPO,2,NA,NA,NA,NA,NA,NA
5023,2,SUBESTACION DE POLICIA,2,NA,NA,NA,NA,NA,NA
5024,1,COMANDANCIA,1,1,1,1,1,,
5025,1,SEGURIDAD PUBLICA MUNICIPAL,1,1,1,1,1,1,
5026,1,NO APLICA,0,NA,NA,NA,NA,NA,NA
5027,1,SUBDELEGACION PONIENTE,2,NA,NA,NA,NA,NA,NA
5027,2,SUBDELEGACION ORIENTE,2,NA,NA,NA,NA,NA,NA
5027,3,DESTACAMENTO PAREDON,2,NA,NA,NA,NA,NA,NA
5027,4,DESTACAMENTO HIPOLITO,2,NA,NA,NA,NA,NA,NA
5027,5,DIRECCION DE LA POLICIA,2,NA,NA,NA,NA,NA,NA
5028,1,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD MUNICIPAL,1,,1,,,,
5029,1,SEGURIDAD PUBLICA MUNICIPAL SACRAMENTO,1,1,1,,1,,
5030,1,DELEGACION ORIENTE,1,1,1,1,,1,
5030,2,DELEGACION SUR,2,NA,NA,NA,NA,NA,NA
5030,3,DELEGACION DERRAMADERO,2,NA,NA,NA,NA,NA,NA
5030,4,DELEGACION TLAXCALA,2,NA,NA,NA,NA,NA,NA
5030,5,DELEGACION PONIENTE,2,NA,NA,NA,NA,NA,NA
5030,6,DELEGACION ZONA CENTRO,2,NA,NA,NA,NA,NA,NA
5030,7,COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA,1,1,,1,,1,
5031,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,1,1,1,,,
5032,1,DIRECCION DE SEGURIDAD PUBLICA DE SAN JUAN DE SABINAS,2,NA,NA,NA,NA,NA,NA
5032,2,DIRECCION DE SEGURIDAD PUBLICA DE SAN JUAN DE SABINAS,2,NA,NA,NA,NA,NA,NA
5033,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,,,1,,,
5034,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
5035,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,1,1,1,1,1,1
5036,1,SEGURIDAD PUBLICA MUNICIPAL,1,1,1,1,,,
5037,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,1,,,,,
5038,1,COMANDANCIA MUNICIPAL,1,1,1,1,,,
6001,1,DIRECCION DE SEGURIDAD PUBLICA Y POLICIA VIAL DE ARMERIA,1,1,1,1,1,1,1
6002,1,POLICIA MUNICIPAL DE COLIMA Y JUZGADO CIVICO,1,1,1,1,,,
6003,1,COMPLEJO DE SEGURIDAD PUBLICA MUNICIPAL COMALA,1,1,1,,1,1,
6004,1,COMPLEJO DE SEGURIDAD PUBLICA,1,1,1,1,1,1,
6005,1,DIRECCION DE SEGURIDAD PUBLICA TRANSITO Y VIALIDAD,1,1,1,1,,,
6006,1,DIRECCION DE SEGURIDAD PUBLICA TRANSITO Y VIALIDAD,1,1,1,1,,,
6007,1,BASE 22,2,NA,NA,NA,NA,NA,NA
6007,2,COMPLEJO DE SEGURIDAD PUBLICA GUSTAVO ALBERTO VAZQUEZ MONTES,1,1,1,1,1,1,
6008,1,SEGURIDAD PUBLICA DE MINATITLAN,1,1,1,,,1,
6009,1,DIRECCION GENERAL DE SEGURIDAD PUBLICA Y POLICIA VIAL,1,1,1,1,,1,
6010,1,DIRECCION GENERAL DE SEGURIDAD PUBLICA TRANSITO VIALIDAD Y PROTECCION CIVIL,1,1,1,1,1,,
7001,1,COMANDANCIA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7002,1,POLICIA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7003,1,CONSEJO MUNICIPAL,9,NSS,NSS,NSS,NSS,NSS,NSS
7003,2,COMANDANCIA ACAPETAHUA,9,NSS,NSS,NSS,NSS,NSS,NSS
7004,1,COMANDANCIA,1,,1,,,,
7005,1,COMANDANCIA DE SEGURIDAD PUBLICA MUNICIPAL DE AMATAN,1,,1,1,,,
7006,1,COMANDANCIA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7006,2,NUEVO AMATENANGO,2,NA,NA,NA,NA,NA,NA
7006,3,MONTE ORDOÑEZ,2,NA,NA,NA,NA,NA,NA
7006,4,GUADALUPE VICTORIA,2,NA,NA,NA,NA,NA,NA
7006,5,PACAYAL,2,NA,NA,NA,NA,NA,NA
7006,6,POTRERILLO,2,NA,NA,NA,NA,NA,NA
7007,1,COMANDANCIA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7008,1,NO APLICA,0,NA,NA,NA,NA,NA,NA
7009,1,COMANDANCIA MUNICIPAL,1,1,1,1,,,
7010,1,BASE 1 AZUL,1,,1,,,,
7010,2,BASE 2 REFORMA,1,,1,,,,
7010,3,BASE 3 OJO DE AGUA CENTRO,1,,1,,,,
7010,4,BASE 4 LAS TABLAS,1,,1,,,,
7011,1,COMANDANCIA MUNICIPAL,1,,1,,,,
7012,1,BASE DE LAS SECRETARIA DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL LOS CONOS,1,,1,1,,,
7013,1,COMANDANCIA,2,NA,NA,NA,NA,NA,NA
7014,1,COMANDANCIA MUNICIPAL,1,,1,,,,
7015,1,PROTECCION CIUDADANA,2,NA,NA,NA,NA,NA,NA
7016,1,COMANDANCIA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7017,1,SEGURIDAD PUBLICA MUNICIPAL,1,,1,1,,,
7018,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,,1,,,,
7019,1,COMANDANCIA MUNICIPAL,1,,1,1,,,
7020,1,COMANDANCIA MUNICIPAL,1,,1,1,,1,
7021,1,COMANDANCIA DE SEGURIDAD PUBLICA MUNICIPAL,1,,1,1,,,
7022,1,COMANDANCIA DE LA POLICIA MUNICIPAL,1,,1,,,,
7023,1,NO APLICA,0,NA,NA,NA,NA,NA,NA
7024,1,COMANDANCIA DE LA POLICIA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7025,1,COMANDANCIA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7026,1,COMANDANCIA MUNICIPAL,1,,1,,,,
7027,1,COMANDANCIA DE SEGURIDAD PUBLICA,1,,1,1,,,
7028,1,COMANDANCIA,2,NA,NA,NA,NA,NA,NA
7029,1,DIRECCION DE SEGURIDAD PUBLICA DE CHICOASEN,1,,1,,,,
7030,1,COMANDANCIA MUNICIPAL,1,,1,,1,,1
7031,1,COMANDANCIA CHINA,1,,1,1,,,
7031,2,COMANDANCIA BACHAJON SAN SEBASTIAN,1,,1,,,,
7032,1,CONSEJO DE SEGURIDAD PUBLICA,9,NSS,NSS,NSS,NSS,NSS,NSS
7032,2,SEGURIDAD PUBLICA MUNICIPAL,9,NSS,NSS,NSS,NSS,NSS,NSS
7033,1,COMANDANCIA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7034,1,COMANDANCIA MUNICIPAL,1,,1,1,,,
7035,1,COMANDANCIA SEGURIDAD PUBLICA,2,NA,NA,NA,NA,NA,NA
7036,1,COMANDANCIA MUNICIPAL,1,,1,,,,
7037,1,BASE GRECIA,1,,1,,,,
7037,2,BASE GALAXIA,1,,1,,,,
7038,1,COMANDANCIA MUNICIPAL,1,,1,,,,
7039,1,COMANDANCIA MUNICIPAL,1,,1,,,,
7040,1,SECRETARIA DE SEGURIDAD PUBLICA TRANSITO Y PROTECCION CIVIL,2,NA,NA,NA,NA,NA,NA
7041,1,COMANDANCIA MUNICIPAL,1,,1,,,,
7042,1,COMANDANCIA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7043,1,COMANDANCIA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7044,1,COMANDANCIA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7045,1,CABECERA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7046,1,COMANDANCIA MUNICIPAL,1,,1,,,,
7047,1,COMANDANCIA DE POLICIA,2,NA,NA,NA,NA,NA,NA
7048,1,SEGURIDAD PUBLICA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7049,1,COMANDANCIA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7050,1,COMANDANCIA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7051,1,COMANDANCIA MUNICIPAL,1,,1,1,,,
7052,1,COMANDANCIA POLICIAL,1,,1,,,,
7053,1,COMANDANCIA MUNICIPAL,1,,1,,,,
7054,1,SEGURIDAD PUBLICA MUNICIPAL,1,1,1,1,1,1,
7055,1,COMANDANCIA MUNICIPAL,1,,1,,,,
7056,1,NO APLICA,0,NA,NA,NA,NA,NA,NA
7057,1,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,1,,,1,,,
7057,2,SUBCOMANDANCIA DE POLICIA,2,NA,NA,NA,NA,NA,NA
7058,1,COMANDANCIA MUNICIPAL NICOLAS RUIZ,2,NA,NA,NA,NA,NA,NA
7059,1,COMANDANCIA OCOSINGO,1,1,1,1,,,
7060,1,COMANDANCIA MUNICIPAL,1,,1,,,,
7061,1,COMANDANCIA MUNICIPAL DE OCOZOCOAUTLA DE ESPINOSA,1,1,1,1,,,
7062,1,COMANDANCIA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7063,1,COMANDANCIA MUNICIPAL DE OSUMACINTA,1,,1,,,,
7064,1,NO APLICA,0,NA,NA,NA,NA,NA,NA
7065,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,1,1,1,1,1,
7066,1,COMANDANCIA DE LA POLICIA MUNICIPAL,1,1,,,,,1
7067,1,COMANDANCIA MUNICIPAL,1,,1,,,,
7068,1,NO APLICA,0,NA,NA,NA,NA,NA,NA
7069,1,COMANDANCIA DE LA POLICIA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7070,1,COMANDANCIA MUNICIPAL,1,,1,,,,
7070,2,CHIMALAPA,1,,1,,,,
7071,1,BASE CONDOR,1,,1,,,,
7071,2,SECTOR 1 HIDALGO,1,,1,,,,
7071,3,SECTOR 2 LAZARO CARDENAS,1,,1,,,,
7072,1,COMANDANCIA,2,NA,NA,NA,NA,NA,NA
7073,1,COMANDANCIA MUNICIPAL,1,1,,,,,
7074,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7075,1,SEGURIDAD PUBLICA,1,,1,,,,
7076,1,COMANDANCIA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7077,1,COMANDANCIAMUNICIPAL,2,NA,NA,NA,NA,NA,NA
7078,1,ESTACION DE POLICIA MUNICIPAL,1,1,1,1,,,
7079,1,SEGURIDAD PUBLICA MUNICIPAL,1,,1,1,,,
7080,1,COMANDANCIA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7081,1,COMANDANCIA MUNICIPAL,1,,1,1,,,
7082,1,COMANDANCIA MUNICIPAL,1,,1,1,,,
7083,1,COMANDANCIA MUNICIPAL DE SOCOLTENANGO,1,,1,,,,
7084,1,COMANDANCIA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7085,1,COMANDANCIA SOYALO,2,NA,NA,NA,NA,NA,NA
7085,2,COMANDANCIA FRANCISCO SARABIA,2,NA,NA,NA,NA,NA,NA
7085,3,COMANDANCIA SAN ANTONIO ZARAGOZA,2,NA,NA,NA,NA,NA,NA
7086,1,COMANDANCIA MUNICIPAL,1,,1,1,,,
7087,1,COMANDANCIA DE SEGURIDAD PUBLICA MUNICIPAL,1,,1,1,1,,
7087,2,AGENCIA DE SEGURIDAD PUBLICA,1,,1,,,,
7088,1,COMANDANCIA DE SEGURIDAD PUBLICA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7089,1,CONDOR,1,1,1,1,1,,
7090,1,COMANDANCIA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
7091,1,COMANDANCIA MUNICIPAL,1,,1,,,,
7092,1,BASE,1,,1,,,,
7092,2,ESPINOZA,1,,1,,,,
7092,3,ZAPATA,1,,1,,,,
7092,4,MADERO,1,,1,,,,
7093,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,2,NA,NA,NA,NA,NA,NA
