ubicageo_f,numeral,nombre1,rnsnni1,coedsett,coedse1,coedse2,coedse3,coedses1,coedse4,coedse5,coedse6,coedses2,coedse8,coedse9,coedse10,coedse11,coedses3,coedse12,coedse13,coedse14,coedsens,coedse16,coedse18,mymenitt,mymeni1,mymeni2,mymeni3,mymenint,mymenis1,mymeni4,mymeni5,mymeni6,mymeni7,mymenis2,mymeni8,mymeni9,mymeni10,mymeni11,mymenis3,mymeni12,mymeni13,mymeni14,mymenins,mymeni16,mymeni17
2002,10,ESTACION ESPERANZA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,11,SUBCOMANDANCIA NORESTE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,12,ESTACION PRIMERO DE DICIEMBRE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,13,ESTACION MIRAFLORES,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,14,ESTACION PIMSA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,15,SUBCOMANDANCIA ESTE,1,4,2,2,0,2,1,1,0,2,1,1,0,,0,0,0,0,,,,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,,,
2002,16,ESTACION ANGELES DE PUEBLA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,17,ESTACION ROBLEDO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,18,ESTACION RIVERA CAMPESTRE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,19,ESTACION PASEOS DEL SOL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,20,ESTACION OASIS,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,21,ESTACION CARRANZA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,22,ESTACION BUGAMBILIAS,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,23,SUBCOMANDANCIA OESTE,1,4,2,2,0,2,1,1,0,2,1,1,0,,0,0,0,0,,,,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,,,
2002,24,ESTACION BARCELONA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,25,ESTACION LUCIO BLANCO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,26,ESTACION MAYOS,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,27,ESTACION NACIONALISTA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,28,ESTACION PAPAGO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,29,ESTACION VIRREYES,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,30,COMANDANCIA VALLE SUR -GUADALUPE VICTORIA,1,4,2,2,0,2,1,1,0,2,1,1,0,,0,0,0,0,,,,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,,,
2002,31,JEFATURA CARRANZA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,32,JEFATURA CERRO PRIETO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,33,JEFATURA COLONIAS NUEVAS,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,34,JEFATURA DELTA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,35,JEFATURA NAYARIT,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,36,JEFATURA NUEVO LEON,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,37,JEFATURA TOLUCA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,38,SUBCOMANDANCIA VALLE NORTE -ALGODONES,1,4,2,2,0,2,1,1,0,2,1,1,0,,0,0,0,0,,,,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,,,
2002,39,JEFATURA BATAQUEZ,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,40,JEFATURA BENITO JUAREZ,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,41,JEFATURA CIUDAD MORELOS,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,42,JEFATURA HECHICERA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,43,JEFATURA HERMOSILLO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2002,44,JEFATURA SINALOA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2003,1,DIRECCION DE SEGURIDAD CIUDADANA,1,6,6,0,0,4,4,0,0,2,2,0,0,,0,0,0,0,,,,19778,19778,0,0,,13906,13906,0,0,,5872,5872,0,0,,0,0,0,0,,,
2004,1,SECRETARIA DE SEGURIDAD Y PROTECCION CIUDADANA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2004,2,DIRECCION GENERAL DE POLICIA Y TRANSITO MUNICIPAL,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2004,3,COMANDANCIA REGIONAL SUR,1,6,6,0,0,1,1,0,0,1,1,0,0,,4,4,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
2004,4,DISTRITOS ZONA CENTRO,1,5,5,0,0,1,1,0,0,3,3,0,0,,1,1,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
2004,5,DISTRITOS PLAYAS DE TIJUANA,1,2,2,0,0,1,1,0,0,1,1,0,0,,0,0,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
2004,6,DISTRITO SAN ANTONIO DE LOS BUENOS,1,2,2,0,0,1,1,0,0,1,1,0,0,,0,0,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
2004,7,DISTRITO MESA DE OTAY,1,1,1,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
2004,8,DISTRITO LA PRESA ABELARDO L RODRIGUEZ,1,3,3,0,0,1,1,0,0,1,1,0,0,,1,1,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
2004,9,DISTRITO LOS PINOS,1,2,2,0,0,1,1,0,0,1,1,0,0,,0,0,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
2004,10,DISTRITO PRESA RURAL,1,2,2,0,0,1,1,0,0,1,1,0,0,,0,0,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
2004,11,DISTRITO CENTENARIO,1,2,2,0,0,1,1,0,0,1,1,0,0,,0,0,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
2004,12,DISTRITO CERRO COLORADO,1,1,1,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
2004,13,DISTRITO NATURA,1,3,3,0,0,1,1,0,0,1,1,0,0,,1,1,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
2004,14,DISTRITO SANTA FE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2004,15,DISTRITO FLORIDO MARIANO,1,1,1,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
2004,16,SECCION TRANSITO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2004,17,SECCION HECHOS DE TRANSITO,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2004,18,UNIDAD CANINA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2004,19,DISTRITO LA MESA,1,3,3,0,0,1,1,0,0,1,1,0,0,,1,1,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
2004,20,DISTRITO SANCHEZ TABOADA,1,1,1,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
2004,21,POLICIA TURISTICA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,,
2005,1,SECRETARIA DE SEGURIDAD CIUDADANA,1,5,5,0,0,3,3,0,0,1,1,0,0,,1,1,0,0,,,,16592,16592,0,0,,0,0,0,0,,0,0,0,0,,16592,16592,0,0,,,
2005,2,DIRECCION DE PLANEACION PREVENCION Y COMBATE AL DELITO DE LA SECRETARIA DE SEGURIDAD CIUDADANA,1,2,2,0,0,1,1,0,0,1,1,0,0,,0,0,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
2005,3,SUB COMANDANCIA DEL SECTOR DE PRIMO TAPIA,1,2,2,0,0,1,1,0,0,1,1,0,0,,0,0,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
2006,1,CAMALU,1,3,3,0,0,0,0,0,0,0,0,0,0,,3,3,0,0,,,,433,NSS,0,433,,NSS,NSS,0,0,,NSS,NSS,0,0,,433,NSS,0,433,,,
2006,2,VICENTE GUERRERO,1,3,3,0,0,0,0,0,0,0,0,0,0,,3,3,0,0,,,,2700,NSS,0,2700,,NSS,NSS,0,0,,NSS,NSS,0,0,,2700,NSS,0,2700,,,
2006,3,SAN QUINTIN,1,3,3,0,0,0,0,0,0,0,0,0,0,,3,3,0,0,,,,3828,NSS,0,3828,,NSS,NSS,0,0,,NSS,NSS,0,0,,3828,NSS,0,3828,,,
2006,4,EL ROSARIO,1,2,2,0,0,0,0,0,0,0,0,0,0,,2,2,0,0,,,,215,NSS,0,215,,NSS,NSS,0,0,,NSS,NSS,0,0,,215,NSS,0,215,,,
2006,5,EL MARMOL,1,2,2,0,0,0,0,0,0,0,0,0,0,,2,2,0,0,,,,10,NSS,0,10,,NSS,NSS,0,0,,NSS,NSS,0,0,,10,NSS,0,10,,,
2006,6,BAHIA DE LOS ANGELES,1,2,2,0,0,0,0,0,0,0,0,0,0,,2,2,0,0,,,,17,NSS,0,17,,NSS,NSS,0,0,,NSS,NSS,0,0,,17,NSS,0,17,,,
2006,7,PUNTA PRIETA,1,2,2,0,0,0,0,0,0,0,0,0,0,,2,2,0,0,,,,7,NSS,0,7,,NSS,NSS,0,0,,NSS,NSS,0,0,,7,NSS,0,7,,,
2006,8,VILLA JESUS MARIA,1,2,2,0,0,0,0,0,0,0,0,0,0,,2,2,0,0,,,,19,NSS,0,19,,NSS,NSS,0,0,,NSS,NSS,0,0,,19,NSS,0,19,,,
2007,1,COMANDANCIA SAN FELIPE,1,4,4,0,0,3,3,0,0,1,1,0,0,,0,0,0,0,,,,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,,NSS,NSS,NSS,NSS,,,
3001,1,DIRECCION GENERAL DE SEGURIDAD PUBLICA POLICIA PREVENTIVA Y TRANSITO MUNICIPAL,1,4,4,0,0,3,3,0,0,1,1,0,0,,0,0,0,0,,,,1082,1082,0,0,,1053,1053,0,0,,29,29,0,0,,0,0,0,0,,,
3001,2,COMANDANCIA CD INSURGENTES,1,2,2,0,0,1,1,0,0,1,1,0,0,,0,0,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
3001,3,COMANDANCIA VILLA MORELOS,1,2,2,0,0,1,1,0,0,1,1,0,0,,0,0,0,0,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
