ubicageo_f,numeral,nombre1,rnsnni1,comint1,comint2
2002,19,ESTACION PASEOS DEL SOL,1,1,1
2002,20,ESTACION OASIS,1,1,1
2002,21,ESTACION CARRANZA,1,1,1
2002,22,ESTACION BUGAMBILIAS,1,1,1
2002,23,SUBCOMANDANCIA OESTE,1,11,11
2002,24,ESTACION BARCELONA,1,1,1
2002,25,ESTACION LUCIO BLANCO,1,1,1
2002,26,ESTACION MAYOS,1,1,1
2002,27,ESTACION NACIONALISTA,1,1,1
2002,28,ESTACION PAPAGO,1,1,1
2002,29,ESTACION VIRREYES,1,1,1
2002,30,COMANDANCIA VALLE SUR -GUADALUPE VICTORIA,1,11,11
2002,31,JEFATURA CARRANZA,1,1,1
2002,32,JEFATURA CERRO PRIETO,1,1,1
2002,33,JEFATURA COLONIAS NUEVAS,1,1,1
2002,34,JEFATURA DELTA,1,1,1
2002,35,JEFATURA NAYARIT,1,1,1
2002,36,JEFATURA NUEVO LEON,1,1,1
2002,37,JEFATURA TOLUCA,1,1,1
2002,38,SUBCOMANDANCIA VALLE NORTE -ALGODONES,1,11,11
2002,39,JEFATURA BATAQUEZ,1,5,5
2002,40,JEFATURA BENITO JUAREZ,1,1,1
2002,41,JEFATURA CIUDAD MORELOS,1,1,1
2002,42,JEFATURA HECHICERA,1,1,1
2002,43,JEFATURA HERMOSILLO,1,1,1
2002,44,JEFATURA SINALOA,1,1,1
2003,1,DIRECCION DE SEGURIDAD CIUDADANA,1,17,17
2004,1,SECRETARIA DE SEGURIDAD Y PROTECCION CIUDADANA,1,153,153
2004,2,DIRECCION GENERAL DE POLICIA Y TRANSITO MUNICIPAL,1,149,149
2004,3,COMANDANCIA REGIONAL SUR,1,41,41
2004,4,DISTRITOS ZONA CENTRO,1,20,20
2004,5,DISTRITOS PLAYAS DE TIJUANA,1,8,8
2004,6,DISTRITO SAN ANTONIO DE LOS BUENOS,1,11,11
2004,7,DISTRITO MESA DE OTAY,1,8,8
2004,8,DISTRITO LA PRESA ABELARDO L RODRIGUEZ,1,14,14
2004,9,DISTRITO LOS PINOS,1,13,13
2004,10,DISTRITO PRESA RURAL,1,9,9
2004,11,DISTRITO CENTENARIO,1,9,9
2004,12,DISTRITO CERRO COLORADO,1,9,9
2004,13,DISTRITO NATURA,1,9,9
2004,14,DISTRITO SANTA FE,1,8,8
2004,15,DISTRITO FLORIDO MARIANO,1,5,5
2004,16,SECCION TRANSITO,1,4,4
2004,17,SECCION HECHOS DE TRANSITO,1,6,6
2004,18,UNIDAD CANINA,1,1,1
2004,19,DISTRITO LA MESA,1,6,6
2004,20,DISTRITO SANCHEZ TABOADA,1,4,4
2004,21,POLICIA TURISTICA,1,1,1
2005,1,SECRETARIA DE SEGURIDAD CIUDADANA,1,32,32
2005,2,DIRECCION DE PLANEACION PREVENCION Y COMBATE AL DELITO DE LA SECRETARIA DE SEGURIDAD CIUDADANA,1,35,35
2005,3,SUB COMANDANCIA DEL SECTOR DE PRIMO TAPIA,1,1,1
2006,1,CAMALU,1,1,1
2006,2,VICENTE GUERRERO,1,1,1
2006,3,SAN QUINTIN,1,2,2
2006,4,EL ROSARIO,1,1,1
2006,5,EL MARMOL,1,1,1
2006,6,BAHIA DE LOS ANGELES,1,1,1
2006,7,PUNTA PRIETA,1,1,1
2006,8,VILLA JESUS MARIA,1,1,1
2007,1,COMANDANCIA SAN FELIPE,1,13,13
3001,1,DIRECCION GENERAL DE SEGURIDAD PUBLICA POLICIA PREVENTIVA Y TRANSITO MUNICIPAL,1,30,30
3001,2,COMANDANCIA CD INSURGENTES,1,1,1
3001,3,COMANDANCIA VILLA MORELOS,2,NA,NA
3001,4,COMANDANCIA LOPEZ MATEOS,2,NA,NA
3001,5,COMANDANCIA PUERTO SAN CARLOS,2,NA,NA
3001,6,COMANDANCIA DE IGNACIO ZARAGOZA,2,NA,NA
3001,7,COMANDANCIA DE LA POZA,2,NA,NA
3001,8,COMANDANCIA DE BENITO JUAREZ,2,NA,NA
3001,9,COMANDANCIA DE LAS BARRANCAS,2,NA,NA
3001,10,COMANDANCIA DE LA PURISIMA,2,NA,NA
3001,11,COMANDANCIA DE SAN ISIDRO,2,NA,NA
3001,12,COMANDANCIA DE SAN JUANICO,2,NA,NA
3002,1,COMANDANCIA SANTA ROSALIA,1,12,12
3002,2,COMANDANCIA GUERRERO NEGRO,1,2,2
3002,3,COMANDANCIA DE VIZCAINO,1,2,2
3002,4,COMANDANCIA DE BAHIA TORTUGA,1,1,1
3002,5,COMANDANCIA DE SAN IGNACIO,1,1,1
3002,6,COMANDANCIA DE BAHIA ASUNCION,1,1,1
3002,7,COMANDANCIA DE MULEGE,1,2,2
3002,8,COMANDANCIA DE BOCANA,1,1,1
3002,9,COMANDANCIA DE PUNTA ABREOJOS,1,1,1
3002,10,COMANDANCIA DE SAN LUCAS,1,1,1
3002,11,COMANDANCIA DE SAN BRUNO,1,1,1
3002,12,COMANDANCIA DE SAN JOSE DE MAGDALENA,2,NA,NA
3002,13,COMANDANCIA DE ISLA SAN MARCOS,2,NA,NA
3002,14,COMANDANCIA DE BONFIL,1,1,1
3002,15,COMANDANCIA DE PALO VERDE,2,NA,NA
3003,1,SECTOR CENTRAL CENTRO DE DETENCIONES,1,1,1
3003,2,BELLA VISTA,1,1,NSS
3003,3,NAVARRO RUBIO,1,1,NSS
3003,4,20 DE NOVIEMBRE,1,1,NSS
3003,5,LEGASPY,1,1,NSS
3003,6,CIVILIZADORES,1,1,NSS
3003,7,DIANA LAURA,1,1,NSS
3003,8,CAMINO REAL,1,1,NSS
3003,9,CENTENARIO,1,1,NSS
3003,10,SAN PEDRO,1,1,NSS
3003,11,CARRIZAL,1,1,NSS
3003,12,TODOS SANTOS,1,1,1
3003,13,SAN ANTONIO,1,1,NSS
3003,14,EL SARGENTO,1,1,NSS
3003,15,LOS PLANES,1,1,NSS
3003,16,LOS BARRILES,1,1,NSS
3003,17,LAS POCITAS,1,1,NSS
3003,18,LA FUENTE,1,1,NSS
3003,19,CENTRO HISTORICO,1,1,NSS
3003,20,PESCADERO,1,1,NSS
3008,1,DIRECCION GENERAL SAN JOSE DEL CABO,1,12,12
3008,2,COMANDANCIA MAGISTERIAL,1,1,1
3008,3,SUBCOMANDANCIA LOMAS DEL ROSARITO,1,1,1
3008,4,COMANDANCIA VISTA HERMOSA,1,1,1
3008,5,COMANDANCIA SAN JOSE VIEJO,1,1,1
3008,6,COMANDANCIA LA PLAYA,2,NA,NA
3008,7,COMANDANCIA DELEGACIONAL CABO SAN LUCAS,1,1,1
3008,8,COMANDANCIA MEDANO,1,2,2
3008,9,COMANDANCIA POLICIA TURISTICA,1,2,2
3008,10,COMANDANCIA AURORA,1,6,6
3008,11,SUBCOMANDANCIA 4 DE MARZO,1,1,1
3008,12,SUBCOMANDANCIA LOMAS DEL SOL,1,1,1
3008,13,SUBCOMANDANCIA MESA COLORADA,1,1,1
3008,14,COMANDANCIA DELEGACIONAL MIRAFLORES,1,2,2
3008,15,COMANDANCIA DELEGACIONAL SANTIAGO,1,2,2
3008,16,SUBCOMANDANCIA DELEGACIONAL BUENA VISTA,1,1,1
3008,17,COMANDANCIA DELEGACIONAL LA RIBERA,1,3,3
3008,18,DIRECCION DE TRANSITO SAN JOSE DEL CABO,1,7,7
3008,19,MODULO DE TRANSITO CABO SAN LUCAS,1,4,4
3009,1,BARANDILLA CENTRAL,1,11,11
3009,2,SECTOR 2,2,NA,NA
3009,3,SECTOR 4,2,NA,NA
3009,4,SAN JAVIER,2,NA,NA
3009,5,LIGUI,2,NA,NA
3009,6,AGUA VERDE,2,NA,NA
4001,1,DIRECCION DE SEGURIDAD PUBLICA DEL MUNICIPIO DE CALKINI,1,9,9
4002,1,NO APLICA,0,NA,NA
4003,1,DIRECCION DE SEGURIDAD PUBLICA VIALIDAD Y TRANSITO DEL MUNICIPIO DE CARMEN,1,46,46
4004,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,7,7
4005,1,SEGURIDAD PUBLICA DE HECELCHAKAN,1,3,3
4006,1,SECRETARIA DE SEGURIDAD PUBLICA,1,4,4
4007,1,SEGURIDAD PUBLICA,1,2,2
4008,1,DIRECCION DE SEGURIDAD PUBLICA,1,1,1
4009,1,COMPLEJO DE SEGURIDAD PUBLICA,1,8,8
4010,1,SEGURIDAD PUBLICA,1,2,2
4011,1,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO,1,6,6
4012,1,NO APLICA,0,NA,NA
4013,1,NO APLICA,0,NA,NA
5001,1,DIRECCION DE SEGURIDAD PUBLICA DE ABASOLO,1,3,3
5002,1,SEGURIDAD PUBLICA MUNICIPAL,1,17,11
5003,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,3,3
5004,1,DIRECCION DE POLICIA PREVENTIVA MUNICIPAL,1,4,4
5005,1,DEPARTAMENTO DE SEGURIDAD PUBLICA PREVENTIVA,1,2,2
5006,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,4,4
5007,1,DIRECCION DE LA POLICIA PREVENTIVA MUNICIPAL,1,2,2
5008,1,NO APLICA,0,NA,NA
5009,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,10,10
5010,1,COMANDANCIA DE SEGURIDAD PUBLICA DE CIUDAD FRONTERA,1,7,7
5011,1,DIRECCION DE SEGURIDAD PUBLICA,1,5,5
5012,1,NO APLICA,0,NA,NA
5013,1,NO APLICA,0,NA,NA
5014,1,POLICIA PREVENTIVA,1,2,2
5015,1,NO APLICA,0,NA,NA
5016,1,MANDO DE COORDINACION POLICIAL,1,2,2
5017,1,COMISION CIUDADANA DE PROTECCION CIUDADANA,1,4,4
5018,1,DEMARCACION CENTRO,1,23,23
5018,2,ESTACION SUR,1,2,2
5019,1,MANDO COORDINADO DE MORELOS,1,2,2
5020,1,COMANDANCIA DE SEGURIDAD PUBLICA MELCHOR MUZQUIZ,1,2,2
5020,2,MINERAL DE PALAU,2,NA,NA
5020,3,MINAS DE BARROTERAN,2,NA,NA
5020,4,VILLA DE LAS ESPERANZAS,2,NA,NA
5021,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,1,1
5021,2,SUBESTACION DE SEGURIDAD PUBLICA,2,NA,NA
5022,1,COMANDANCIA NAVA,1,6,5
5022,2,DELEGACION VENUSTIANO CARRANZA,1,1,1
5023,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL DE OCAMPO,1,3,3
5023,2,SUBESTACION DE POLICIA,1,1,1
5024,1,COMANDANCIA,1,7,7
5025,1,SEGURIDAD PUBLICA MUNICIPAL,1,25,25
5026,1,NO APLICA,0,NA,NA
5027,1,SUBDELEGACION PONIENTE,1,1,1
5027,2,SUBDELEGACION ORIENTE,1,3,3
5027,3,DESTACAMENTO PAREDON,1,1,1
5027,4,DESTACAMENTO HIPOLITO,1,1,1
5027,5,DIRECCION DE LA POLICIA,1,16,16
5028,1,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD MUNICIPAL,1,10,8
5029,1,SEGURIDAD PUBLICA MUNICIPAL SACRAMENTO,1,1,1
5030,1,DELEGACION ORIENTE,1,24,24
5030,2,DELEGACION SUR,1,1,1
5030,3,DELEGACION DERRAMADERO,1,1,1
5030,4,DELEGACION TLAXCALA,1,1,1
5030,5,DELEGACION PONIENTE,1,1,1
5030,6,DELEGACION ZONA CENTRO,1,1,1
5030,7,COMISARIA DE SEGURIDAD Y PROTECCION CIUDADANA,1,33,33
5031,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,4,4
5032,1,DIRECCION DE SEGURIDAD PUBLICA DE SAN JUAN DE SABINAS,1,5,5
5032,2,DIRECCION DE SEGURIDAD PUBLICA DE SAN JUAN DE SABINAS,1,1,1
5033,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,10,10
5034,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,2,1
5035,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,92,92
5036,1,SEGURIDAD PUBLICA MUNICIPAL,1,2,2
5037,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,2,2
5038,1,COMANDANCIA MUNICIPAL,1,3,3
6001,1,DIRECCION DE SEGURIDAD PUBLICA Y POLICIA VIAL DE ARMERIA,1,17,17
6002,1,POLICIA MUNICIPAL DE COLIMA Y JUZGADO CIVICO,1,31,31
6003,1,COMPLEJO DE SEGURIDAD PUBLICA MUNICIPAL COMALA,1,14,11
6004,1,COMPLEJO DE SEGURIDAD PUBLICA,1,16,16
6005,1,DIRECCION DE SEGURIDAD PUBLICA TRANSITO Y VIALIDAD,1,12,12
6006,1,DIRECCION DE SEGURIDAD PUBLICA TRANSITO Y VIALIDAD,1,9,3
6007,1,BASE 22,2,NA,NA
6007,2,COMPLEJO DE SEGURIDAD PUBLICA GUSTAVO ALBERTO VAZQUEZ MONTES,1,47,47
6008,1,SEGURIDAD PUBLICA DE MINATITLAN,1,13,4
6009,1,DIRECCION GENERAL DE SEGURIDAD PUBLICA Y POLICIA VIAL,1,17,12
6010,1,DIRECCION GENERAL DE SEGURIDAD PUBLICA TRANSITO VIALIDAD Y PROTECCION CIVIL,1,55,55
7001,1,COMANDANCIA MUNICIPAL,1,1,1
7002,1,POLICIA MUNICIPAL,1,1,1
7003,1,CONSEJO MUNICIPAL,1,1,1
7003,2,COMANDANCIA ACAPETAHUA,9,NSS,NSS
7004,1,COMANDANCIA,1,2,0
7005,1,COMANDANCIA DE SEGURIDAD PUBLICA MUNICIPAL DE AMATAN,1,3,0
7006,1,COMANDANCIA MUNICIPAL,2,NA,NA
7006,2,NUEVO AMATENANGO,2,NA,NA
7006,3,MONTE ORDOÑEZ,2,NA,NA
7006,4,GUADALUPE VICTORIA,2,NA,NA
7006,5,PACAYAL,2,NA,NA
7006,6,POTRERILLO,2,NA,NA
7007,1,COMANDANCIA MUNICIPAL,2,NA,NA
7008,1,NO APLICA,0,NA,NA
7009,1,COMANDANCIA MUNICIPAL,1,6,6
7010,1,BASE 1 AZUL,1,1,1
7010,2,BASE 2 REFORMA,2,NA,NA
7010,3,BASE 3 OJO DE AGUA CENTRO,2,NA,NA
7010,4,BASE 4 LAS TABLAS,2,NA,NA
7011,1,COMANDANCIA MUNICIPAL,1,1,1
7012,1,BASE DE LAS SECRETARIA DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL LOS CONOS,1,1,1
7013,1,COMANDANCIA,2,NA,NA
7014,1,COMANDANCIA MUNICIPAL,2,NA,NA
7015,1,PROTECCION CIUDADANA,1,2,2
7016,1,COMANDANCIA MUNICIPAL,1,1,1
7017,1,SEGURIDAD PUBLICA MUNICIPAL,1,11,5
7018,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,1,0
7019,1,COMANDANCIA MUNICIPAL,1,18,17
7020,1,COMANDANCIA MUNICIPAL,1,1,1
7021,1,COMANDANCIA DE SEGURIDAD PUBLICA MUNICIPAL,1,3,3
7022,1,COMANDANCIA DE LA POLICIA MUNICIPAL,1,1,1
7023,1,NO APLICA,0,NA,NA
7024,1,COMANDANCIA DE LA POLICIA MUNICIPAL,2,NA,NA
7025,1,COMANDANCIA MUNICIPAL,1,3,3
7026,1,COMANDANCIA MUNICIPAL,2,NA,NA
7027,1,COMANDANCIA DE SEGURIDAD PUBLICA,1,5,5
7028,1,COMANDANCIA,1,1,1
7029,1,DIRECCION DE SEGURIDAD PUBLICA DE CHICOASEN,2,NA,NA
7030,1,COMANDANCIA MUNICIPAL,1,1,1
7031,1,COMANDANCIA CHINA,1,23,23
7031,2,COMANDANCIA BACHAJON SAN SEBASTIAN,2,NA,NA
7032,1,CONSEJO DE SEGURIDAD PUBLICA,2,NA,NA
7032,2,SEGURIDAD PUBLICA MUNICIPAL,1,11,11
7033,1,COMANDANCIA MUNICIPAL,2,NA,NA
7034,1,COMANDANCIA MUNICIPAL,1,1,1
7035,1,COMANDANCIA SEGURIDAD PUBLICA,1,1,1
7036,1,COMANDANCIA MUNICIPAL,2,NA,NA
7037,1,BASE GRECIA,1,1,1
7037,2,BASE GALAXIA,1,1,1
7038,1,COMANDANCIA MUNICIPAL,2,NA,NA
7039,1,COMANDANCIA MUNICIPAL,1,2,0
7040,1,SECRETARIA DE SEGURIDAD PUBLICA TRANSITO Y PROTECCION CIVIL,1,2,2
7041,1,COMANDANCIA MUNICIPAL,1,1,1
7042,1,COMANDANCIA MUNICIPAL,2,NA,NA
7043,1,COMANDANCIA MUNICIPAL,1,2,2
7044,1,COMANDANCIA MUNICIPAL,1,1,0
7045,1,CABECERA MUNICIPAL,1,1,1
7046,1,COMANDANCIA MUNICIPAL,1,5,1
7047,1,COMANDANCIA DE POLICIA,1,1,0
7048,1,SEGURIDAD PUBLICA MUNICIPAL,1,2,0
7049,1,COMANDANCIA MUNICIPAL,1,1,1
7050,1,COMANDANCIA MUNICIPAL,1,1,1
7051,1,COMANDANCIA MUNICIPAL,1,6,5
7052,1,COMANDANCIA POLICIAL,1,7,7
7053,1,COMANDANCIA MUNICIPAL,1,4,4
7054,1,SEGURIDAD PUBLICA MUNICIPAL,1,1,1
7055,1,COMANDANCIA MUNICIPAL,1,3,1
7056,1,NO APLICA,0,NA,NA
7057,1,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,1,9,9
7057,2,SUBCOMANDANCIA DE POLICIA,1,7,7
7058,1,COMANDANCIA MUNICIPAL NICOLAS RUIZ,1,2,0
7059,1,COMANDANCIA OCOSINGO,1,25,25
7060,1,COMANDANCIA MUNICIPAL,1,1,1
7061,1,COMANDANCIA MUNICIPAL DE OCOZOCOAUTLA DE ESPINOSA,1,10,10
7062,1,COMANDANCIA MUNICIPAL,1,1,1
7063,1,COMANDANCIA MUNICIPAL DE OSUMACINTA,1,1,1
7064,1,NO APLICA,0,NA,NA
7065,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,10,10
7066,1,COMANDANCIA DE LA POLICIA MUNICIPAL,1,3,0
7067,1,COMANDANCIA MUNICIPAL,1,1,1
7068,1,NO APLICA,0,NA,NA
7069,1,COMANDANCIA DE LA POLICIA MUNICIPAL,1,5,3
7070,1,COMANDANCIA MUNICIPAL,1,1,1
7070,2,CHIMALAPA,9,NSS,NSS
7071,1,BASE CONDOR,1,1,1
7071,2,SECTOR 1 HIDALGO,2,NA,NA
7071,3,SECTOR 2 LAZARO CARDENAS,2,NA,NA
7072,1,COMANDANCIA,1,1,1
7073,1,COMANDANCIA MUNICIPAL,1,4,0
7074,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,2,2
7075,1,SEGURIDAD PUBLICA,1,1,0
7076,1,COMANDANCIA MUNICIPAL,1,4,4
7077,1,COMANDANCIAMUNICIPAL,1,1,1
7078,1,ESTACION DE POLICIA MUNICIPAL,1,26,26
7079,1,SEGURIDAD PUBLICA MUNICIPAL,1,1,1
7080,1,COMANDANCIA MUNICIPAL,1,1,1
7081,1,COMANDANCIA MUNICIPAL,1,2,1
7082,1,COMANDANCIA MUNICIPAL,1,4,1
7083,1,COMANDANCIA MUNICIPAL DE SOCOLTENANGO,1,1,1
7084,1,COMANDANCIA MUNICIPAL,1,1,1
7085,1,COMANDANCIA SOYALO,1,1,1
7085,2,COMANDANCIA FRANCISCO SARABIA,2,NA,NA
7085,3,COMANDANCIA SAN ANTONIO ZARAGOZA,2,NA,NA
7086,1,COMANDANCIA MUNICIPAL,1,2,2
7087,1,COMANDANCIA DE SEGURIDAD PUBLICA MUNICIPAL,1,2,2
7087,2,AGENCIA DE SEGURIDAD PUBLICA,2,NA,NA
7088,1,COMANDANCIA DE SEGURIDAD PUBLICA MUNICIPAL,2,NA,NA
7089,1,CONDOR,1,99,99
7090,1,COMANDANCIA MUNICIPAL,1,1,1
7091,1,COMANDANCIA MUNICIPAL,1,1,0
7092,1,BASE,1,1,1
7092,2,ESPINOZA,2,NA,NA
7092,3,ZAPATA,2,NA,NA
7092,4,MADERO,2,NA,NA
7093,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,1,1
7094,1,BASE DE LA POLICIA MUNICIPAL,1,1,1
7096,1,COMANDANCIA MUNICIPAL LIMAR,1,1,1
7097,1,COMANDANCIA MUNICIPAL,1,7,7
7098,1,COMANDANCIA MUNICIPAL DE TOTOLAPA,2,NA,NA
7099,1,LA TRINITARIA,1,2,2
7100,1,COMANDANCIA MUNICIPAL DE TUMBALA,1,2,2
7101,1,NO APLICA,0,NA,NA
7102,1,POLICIA MUNICIPAL,1,2,2
7103,1,BASE CONDOR,1,2,2
7104,1,COMANDANCIA MUNICIPAL DE TZIMOL,1,3,0
7105,1,SEGURIDAD PUBLICA MUNICIPAL,1,1,1
7106,1,NO APLICA,0,NA,NA
7107,1,COMANDANCIA MUNICIPAL,1,7,3
7108,1,DIRECCION DE POLICIA MUNICIPAL,1,9,4
7109,1,COMANDANCIA MUNICIPAL,1,1,1
7110,1,COMANDANCIA MUNICIPAL,1,1,1
7111,1,COMANDANCIA,1,2,0
7112,1,COMANDANCIA DE LA POLICIA MUNICIPAL,2,NA,NA
7113,1,COMANDANCIA MUNICIPAL DE ALDAMA,2,NA,NA
7114,1,COMANDANCIA DE BENEMERITO,1,2,2
7115,1,COMANDANCIA DE POLICIA,2,NA,NA
7116,1,COMANDANCIA DE POLICIA MUNICIPAL,1,4,0
7117,1,COMANDANCIA MUNICIPAL,2,NA,NA
7118,1,COMANDANCIA DE POLICIA,2,NA,NA
7119,1,COMANDANCIA DE POLICIA,2,NA,NA
7120,1,SEGURIDAD PUBLICA Y PROTECCION CIVIL MUNICIPAL,1,1,1
7121,1,COMANDANCIA,2,NA,NA
7122,1,COMANDANCIA DE POLICIA,1,1,1
7123,1,NO APLICA,0,NA,NA
7124,1,COMANDANCIA MALPASO,1,1,1
7124,2,SUBSECTOR ROMULO CALZADA,2,NA,NA
7125,1,COMANDANCIA MUNICIPAL,1,1,1
8001,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,2,2
8002,1,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD MUNICIPAL,1,8,8
8002,2,SUB-COMANDANCIA ALAMOS,2,NA,NA
8003,1,COMANDANCIA MUNICIPAL ALLENDE,1,1,1
8003,2,COMANDANCIA MUNICIPAL DE BUFALO,2,NA,NA
8004,1,COMANDANCIA AQUILES SERDAN CHIHUAHUA,1,1,1
8005,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL ASCENSION,1,4,4
8005,2,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL PUERTO PALOMAS,1,2,2
8005,3,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL 6 DE ENERO,2,NA,NA
8006,1,COMANDANCIA MUNICIPAL,1,3,3
8007,1,DIRECCION,1,1,1
8007,2,SUBCOMANDANCIA EL VERGEL,2,NA,NA
8007,3,SUBCOMANDANCIA BAQUIRIACHI,2,NA,NA
8008,1,COMANDANCIA MUNICIPAL DE BATOPILAS,2,NA,NA
8009,1,NO APLICA,0,NA,NA
8010,1,BRAVO VICTOR,1,2,2
8010,2,FOX METRO,1,1,1
8010,3,BRAVO COCA,2,NA,NA
8010,4,BRAVO JULIETA,2,NA,NA
8010,5,BRAVO SIERRA,2,NA,NA
8011,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,1,16,16
8012,1,SEGURIDAD PUBLICA,1,1,1
8013,1,DEPARTAMENTO DE SEGURIDAD PUBLICA,1,2,2
8013,2,DEPARTAMENTO DE TRANSITO Y VIALIDAD,1,1,1
8014,1,NO APLICA,0,NA,NA
8015,1,SEGURIDAD PUBLICA MUNICIPAL DE COYAME,1,1,1
8016,1,COMANDANCIA DE LA CRUZ,1,2,2
8016,2,SUBESTACION CORRALEÑO,2,NA,NA
8017,1,DIRECCION DE SEGURIDAD Y VIALIDAD PUBLICA MUNICIPAL,1,40,34
8017,2,SECCIONAL ALVARO OBREGON,1,2,2
8017,3,SECCIONAL ANAHUAC,1,4,4
8018,1,COMANDANCIA MUNICIPAL,1,1,1
8019,1,COMANDANCIA SUR,1,86,86
8019,2,COMANDANCIA NORTE,1,254,254
8020,1,CABECERA MUNICIPAL CHINIPAS,1,1,1
8020,2,MILPILLA,2,NA,NA
8020,3,PALMAREJO,2,NA,NA
8021,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL DELICIAS,1,70,70
8022,1,DIRECCION DE SEGURIDAD PUBLICA DE DOCTOR BELISARIO DOMINGUEZ,1,2,2
8023,1,COMANDANCIA DE SEGURIDAD PUBLICA,1,1,1
8024,1,COMANDANCIA MUNICIPAL,1,2,2
