ubicageo_f,numeral,nombre1,anios_a,rnsnni1,colonia1,latitud1,longitu1,correo1,telefo1
5023,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5024,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5025,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5026,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5027,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5028,1,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD MUNICIPAL,2006,1,LAS LOMAS,27.886331,-101.145629,SEGURIDADPUBLICA@SABINASCOAH.GOB.MX,861 613 12 13
5029,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5030,1,CENTRAL DE RADIO,2001,1,SAN RAMON,25.415490,-100.976760,NO APLICA,8444-1411-14
5030,2,CENTRO DE CONTROL Y COMANDO,2018,1,CENTRO METROPOLITANO,25.412940,-100.976410,NO APLICA,911
5031,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5032,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5033,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,2022,1,CENTRO,25.837812,-102.957204,DSPM.SANPEDRO2022@GMAIL.COM,8721005596
5034,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5035,1,CENTRO DE CONTROL Y COMANDO 2,2022,1,PARQUE INDUSTRIAL LA AMISTAD,25.545811,-103.370993,EPEDROZAR@POLICIA.TORREON.GOB.MX,8712225009
5036,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
5037,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,NSS,1,ZONA CENTRO,28.226140,-100.727140,DEPM_VUC@HOTMAIL.COM,862 109 83 24
5038,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
6001,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
6002,1,CENTRO DE COMUNICACION Y CONTROL,2017,1,EL PORVENIR,19.253064,-103.695290,POLICIA_MUNICIPAL@COLIMA.GOB.MX,3121592264
6003,1,CENTRO DE COMUNICACION Y VIDEOVIGILANCIA C2,2011,1,LA TRINIDAD,19.326360,-103.764610,DSPVCOMALA@HOTMAIL.COM,3123155050
6004,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
6005,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
6006,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
6007,1,SUBCENTRO C5I MANZANILLO,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
6008,1,CENTRAL,2005,1,PARQUE INDUSTRIAL,19.391689,-104.058385,DSPVDEMINATITLANCOL@GMAIL.COM,3143360388
6009,1,SUBCENTRO C5 TECOMAN,2022,1,LA FLORESTA,18.915650,-103.864340,SEGURIDADPUBLICA@TECOMAN.GOB.MX,3133242101
6010,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7001,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7002,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7003,1,NO IDENTIFICADO,NSS,97,NO IDENTIFICADO,NO CUENTA CON ELEMENTOS PARA RESPONDER,NO CUENTA CON ELEMENTOS PARA RESPONDER,NO IDENTIFICADO,NO CUENTA CON ELEMENTOS PARA RESPONDER
7004,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7005,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7006,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7007,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7008,1,911,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7008,2,COMANDANCIA,2021,1,CAZA DE ARRIERA,15.872437,-92.7249988,NO APLICA,9921205821
7009,1,CENTRO DE MONITOREO,2021,1,CENTRO,16.236181,-093.899653,ARRIAGACOMSEP@GMAIL.COM,9661228112
7010,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7011,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7012,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7013,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7014,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7015,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7016,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7017,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIAS CINTALAPA,2006,1,CENTRO,16.694679,-093.722418,CALLECINTALAPA@GMAIL.COM,9686889003
7018,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7019,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7020,1,COMANDANCIA MUNICIPAL,1982,2,CENTRO,16.116541,-092.687927,CONCORDIA.CHIS151@GMAIL.COM,9926364007
7021,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7022,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7023,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7024,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7025,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7026,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7027,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7028,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7029,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7030,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7031,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7032,1,OFICINA SEGURIDAD PUBLICA H AYUNTAMIENTO,2018,2,CENTRO,15.319230,-092.658650,RENEROBLERO74@GMAIL.COM,9181258679
7033,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7034,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7035,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7036,1,NO IDENTIFICADO,NSS,97,NO IDENTIFICADO,NO CUENTA CON ELEMENTOS PARA RESPONDER,NO CUENTA CON ELEMENTOS PARA RESPONDER,NO IDENTIFICADO,NO CUENTA CON ELEMENTOS PARA RESPONDER
7037,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7038,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7039,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7040,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7041,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7042,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7043,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7044,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7045,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7046,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7047,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7048,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7049,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7050,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7051,1,C4,2020,2,EL RITO,15.441296,-092.890931,SEG.PUBLICA.MUNICIPAL@HOTMAIL.COM,9186430625
7052,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7053,1,INSTITUCIONES ENCARGADAS DE LA FUNCION DE SEGURIDAD PUBLICA DEL MUNICIPIO,2015,1,MAZAPA DE MADERO,15.387966,-92.1877350,CRUZK_REGGE@HOTMAIL.COM,9621859536
7054,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7055,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7056,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7057,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7058,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7059,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7060,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7061,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7062,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7063,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7064,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7065,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIA 911,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7066,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7067,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7068,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7069,1,COMANDANCIA MUNICIPAL,2021,1,EL NARANJAL 1,15.691550,-93.2093422,SCONSEJOMUNICIPAL@GMAIL.COM,9186452931
7070,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7071,1,SEGURIDAD CIUDADANA C4,2019,1,SANTA LUCIA,15.214312,-092.577451,CARJOSEVA30@GMAIL.COM,9181244742
7072,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7073,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7074,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7075,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7076,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7077,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7078,1,CALLE 911,2015,1,BARRIO SAN ANTONIO,16.730259,-092.641680,POLICIA.MUNICIPALSCLC.OFICIAL@OUTLOOK.COM,9676740404
7079,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7080,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7081,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7082,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7083,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7084,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7085,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7086,1,COMANDANCIA MUNICIPAL,2022,2,SAN ESTEBAN,16.621800,-93.1050763,MOISESNU.26@GMAIL.COM,9611906846
7087,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7088,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7089,1,RADIO OPERADOR CONDOR,2002,1,LAS VEGAS,14.890930,-092.284159,PRESIDENCIA@TAPACHULA.GOB.MX,9626266538
7090,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7091,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7092,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7093,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7094,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7096,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7097,1,ESCUDO URBANO C5,2009,2,SANTA CRUZ,16.096704,-093.753439,SAETONALA17@GMAIL.COM,9666634700
7098,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7099,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7100,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7101,1,CENTRO DE OPERACIONES BASE GAMMA DENUNCIAS Y EMERGENCIAS,2018,2,CENTRO,16.748122,-93.1155160,SSPYTMTUXTLA@GMAIL.COM,9613142965
7102,1,ATENCION DE EMERGENCIAS,2012,1,SAN JUAN,14.933240,-092.169197,JULIOEGAMBOA2124@GMAIL.COM,9626230624
7103,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7104,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7105,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7106,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7107,1,911,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7108,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7109,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7110,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7111,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7112,1,NO IDENTIFICADO,NSS,97,NO IDENTIFICADO,NO CUENTA CON ELEMENTOS PARA RESPONDER,NO CUENTA CON ELEMENTOS PARA RESPONDER,NO IDENTIFICADO,NO CUENTA CON ELEMENTOS PARA RESPONDER
7113,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7114,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7115,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7116,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7117,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7118,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7119,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7120,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7121,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7122,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7123,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7124,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
7125,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
8001,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,NSS,1,CENTRO,30.617430,-106.512600,SEGURIDAD.PUBLICA.AHU@LIVE.COM,6566642167
8002,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
8003,1,SEGURIDAD PUBLICA,2020,1,CENTRO,26.937660,-105.394230,SEGURIDAD_ALLENDE@HOTMAIL.COM,6285460440
8004,1,COMANDANCIA AQUILES SERDAN CHIHUAHUA,2021,1,CENTRO AQUILES SERDAN,28.594774,-105.886977,KARLA88776@GMAIL.COM,6144515176
8005,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,NSS,1,CENTRO,31.092150,-107.995973,DIR.SEGURIDAD.ASC@HOTMAIL.COM,6366920027
8006,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
8007,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
8008,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
8009,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
8010,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
8011,1,CENTRO DE CONTROL COMANDO COMUNICACION Y COMPUTO,2007,1,ALSACIA LORENA,27.669259,-105.168880,DSPMCAMARGO@HOTMAIL.COM,6484635580
8012,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
8013,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
8014,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
8015,1,NO IDENTIFICADO,NSS,97,NO IDENTIFICADO,NO CUENTA CON ELEMENTOS PARA RESPONDER,NO CUENTA CON ELEMENTOS PARA RESPONDER,NO IDENTIFICADO,NO CUENTA CON ELEMENTOS PARA RESPONDER
8016,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
8017,1,CENTRO DE CONTROL COMANDO COMUNICACIONES Y COMPUTO,2006,1,PROGRESO,28.404180,-106.854089,EMERGENCIA911CUAUHTEMOC@CHIHUAHUA.GOB.MX,6255819251
8018,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
8019,1,CENTRO DE EMERGENCIA Y RESPUESTA INMEDIATA 911,NSS,1,REVOLUCIÓN,28.705638,-106.121702,ALMA.CAYENTE@MPIOCHIH.GOB.MX,6144427300
8020,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
8021,1,CENTRO DE CONTROL COMPUTO Y COMANDO,NSS,1,VALLE VERDE,28.171045,-105.486001,SEGPUBLICADELICIAS@GMAIL.COM,639-139-0400
8022,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
8023,1,COMANDANCIA LAGUNITAS,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
8024,1,NO APLICA,NA,0,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
