ubicageo_f,numeral,nombre1,totalca1
5013,1,NO APLICA,NA
5013,99,NO ESPECIFICADO,
5014,1,SISTEMA DE EMERGENCIA C-4,NA
5014,99,NO ESPECIFICADO,
5015,1,NO APLICA,NA
5015,99,NO ESPECIFICADO,
5016,1,NO APLICA,NA
5017,1,CENTRO DE CONTROL Y COMANDO,409897.74
5017,99,NO ESPECIFICADO,
5018,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIA RADIO,NSS
5018,99,NO ESPECIFICADO,
5019,1,COMANDANCIA,0
5019,99,NO ESPECIFICADO,
5020,1,NO APLICA,NA
5021,1,NO APLICA,NA
5022,1,NO APLICA,NA
5023,1,NO APLICA,NA
5024,1,NO APLICA,NA
5025,1,NO APLICA,NA
5026,1,NO APLICA,NA
5026,99,NO ESPECIFICADO,
5027,1,NO APLICA,NA
5028,1,DIRECCION DE SEGURIDAD PUBLICA Y VIALIDAD MUNICIPAL,0
5028,99,NO ESPECIFICADO,
5029,1,NO APLICA,NA
5030,1,CENTRAL DE RADIO,0
5030,2,CENTRO DE CONTROL Y COMANDO,0
5030,99,NO ESPECIFICADO,
5031,1,NO APLICA,NA
5032,1,NO APLICA,NA
5033,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,0
5033,99,NO ESPECIFICADO,
5034,1,NO APLICA,NA
5035,1,CENTRO DE CONTROL Y COMANDO 2,16873514.7
5035,99,NO ESPECIFICADO,
5036,1,NO APLICA,NA
5037,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,NSS
5037,99,NO ESPECIFICADO,
5038,1,NO APLICA,NA
6001,1,NO APLICA,NA
6002,1,CENTRO DE COMUNICACION Y CONTROL,0
6002,99,NO ESPECIFICADO,
6003,1,CENTRO DE COMUNICACION Y VIDEOVIGILANCIA C2,0
6003,99,NO ESPECIFICADO,
6004,1,NO APLICA,NA
6005,1,NO APLICA,NA
6006,1,NO APLICA,NA
6007,1,SUBCENTRO C5I MANZANILLO,NA
6007,99,NO ESPECIFICADO,
6008,1,CENTRAL,0
6008,99,NO ESPECIFICADO,
6009,1,SUBCENTRO C5 TECOMAN,NA
6009,99,NO ESPECIFICADO,
6010,1,NO APLICA,NA
7001,1,NO APLICA,NA
7002,1,NO APLICA,NA
7003,1,NO IDENTIFICADO,NSS
7004,1,NO APLICA,NA
7005,1,NO APLICA,NA
7006,1,NO APLICA,NA
7007,1,NO APLICA,NA
7008,1,911,NA
7008,2,COMANDANCIA,0
7008,99,NO ESPECIFICADO,
7009,1,CENTRO DE MONITOREO,46081
7009,99,NO ESPECIFICADO,
7010,1,NO APLICA,NA
7011,1,NO APLICA,NA
7012,1,NO APLICA,NA
7013,1,NO APLICA,NA
7014,1,NO APLICA,NA
7015,1,NO APLICA,NA
7016,1,NO APLICA,NA
7017,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIAS CINTALAPA,2232726
7017,99,NO ESPECIFICADO,
7018,1,NO APLICA,NA
7019,1,NO APLICA,NA
7020,1,COMANDANCIA MUNICIPAL,0
7020,99,NO ESPECIFICADO,
7021,1,NO APLICA,NA
7022,1,NO APLICA,NA
7023,1,NO APLICA,NA
7024,1,NO APLICA,NA
7025,1,NO APLICA,NA
7026,1,NO APLICA,NA
7027,1,NO APLICA,NA
7028,1,NO APLICA,NA
7029,1,NO APLICA,NA
7030,1,NO APLICA,NA
7031,1,NO APLICA,NA
7032,1,OFICINA SEGURIDAD PUBLICA H AYUNTAMIENTO,NA
7032,99,NO ESPECIFICADO,
7033,1,NO APLICA,NA
7034,1,NO APLICA,NA
7035,1,NO APLICA,NA
7036,1,NO IDENTIFICADO,NSS
7037,1,NO APLICA,NA
7038,1,NO APLICA,NA
7039,1,NO APLICA,NA
7040,1,NO APLICA,NA
7041,1,NO APLICA,NA
7042,1,NO APLICA,NA
7043,1,NO APLICA,NA
7044,1,NO APLICA,NA
7045,1,NO APLICA,NA
7046,1,NO APLICA,NA
7047,1,NO APLICA,NA
7048,1,NO APLICA,NA
7049,1,NO APLICA,NA
7050,1,NO APLICA,NA
7051,1,C4,1360344
7051,99,NO ESPECIFICADO,
7052,1,NO APLICA,NA
7053,1,INSTITUCIONES ENCARGADAS DE LA FUNCION DE SEGURIDAD PUBLICA DEL MUNICIPIO,0
7053,99,NO ESPECIFICADO,
7054,1,NO APLICA,NA
7055,1,NO APLICA,NA
7056,1,NO APLICA,NA
7057,1,NO APLICA,NA
7058,1,NO APLICA,NA
7059,1,NO APLICA,NA
7060,1,NO APLICA,NA
7061,1,NO APLICA,NA
7062,1,NO APLICA,NA
7063,1,NO APLICA,NA
7064,1,NO APLICA,NA
7065,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIA 911,NA
7065,99,NO ESPECIFICADO,
7066,1,NO APLICA,NA
7067,1,NO APLICA,NA
7068,1,NO APLICA,NA
7069,1,COMANDANCIA MUNICIPAL,0
7069,99,NO ESPECIFICADO,
7070,1,NO APLICA,NA
7071,1,SEGURIDAD CIUDADANA C4,386513.16
7071,99,NO ESPECIFICADO,
7072,1,NO APLICA,NA
7073,1,NO APLICA,NA
7074,1,NO APLICA,NA
7075,1,NO APLICA,NA
7076,1,NO APLICA,NA
7077,1,NO APLICA,NA
7078,1,CALLE 911,NA
7078,99,NO ESPECIFICADO,
7079,1,NO APLICA,NA
7080,1,NO APLICA,NA
7081,1,NO APLICA,NA
7082,1,NO APLICA,NA
7083,1,NO APLICA,NA
7084,1,NO APLICA,NA
7085,1,NO APLICA,NA
7086,1,COMANDANCIA MUNICIPAL,0
7086,99,NO ESPECIFICADO,
7087,1,NO APLICA,NA
7088,1,NO APLICA,NA
7089,1,RADIO OPERADOR CONDOR,0
7089,99,NO ESPECIFICADO,
7090,1,NO APLICA,NA
7091,1,NO APLICA,NA
7092,1,NO APLICA,NA
7093,1,NO APLICA,NA
7094,1,NO APLICA,NA
7096,1,NO APLICA,NA
7097,1,ESCUDO URBANO C5,1380006.22
7097,99,NO ESPECIFICADO,
7098,1,NO APLICA,NA
7099,1,NO APLICA,NA
7100,1,NO APLICA,NA
7101,1,CENTRO DE OPERACIONES BASE GAMMA DENUNCIAS Y EMERGENCIAS,0
7101,99,NO ESPECIFICADO,
7102,1,ATENCION DE EMERGENCIAS,438529.01
7102,99,NO ESPECIFICADO,
7103,1,NO APLICA,NA
7104,1,NO APLICA,NA
7105,1,NO APLICA,NA
7106,1,NO APLICA,NA
7107,1,911,NA
7107,99,NO ESPECIFICADO,
7108,1,NO APLICA,NA
7109,1,NO APLICA,NA
7110,1,NO APLICA,NA
7111,1,NO APLICA,NA
7112,1,NO IDENTIFICADO,NSS
7113,1,NO APLICA,NA
7114,1,NO APLICA,NA
7115,1,NO APLICA,NA
7116,1,NO APLICA,NA
7117,1,NO APLICA,NA
7118,1,NO APLICA,NA
7119,1,NO APLICA,NA
7120,1,NO APLICA,NA
7121,1,NO APLICA,NA
7122,1,NO APLICA,NA
7123,1,NO APLICA,NA
7124,1,NO APLICA,NA
7125,1,NO APLICA,NA
8001,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,0
8001,99,NO ESPECIFICADO,
8002,1,NO APLICA,NA
8003,1,SEGURIDAD PUBLICA,0
8003,99,NO ESPECIFICADO,
8004,1,COMANDANCIA AQUILES SERDAN CHIHUAHUA,NSS
8004,99,NO ESPECIFICADO,
8005,1,DIRECCION DE SEGURIDAD PUBLICA MUNICIPAL,0
8005,99,NO ESPECIFICADO,
8006,1,NO APLICA,NA
8007,1,NO APLICA,NA
8008,1,NO APLICA,NA
8009,1,NO APLICA,NA
8010,1,NO APLICA,NA
8011,1,CENTRO DE CONTROL COMANDO COMUNICACION Y COMPUTO,NSS
8011,99,NO ESPECIFICADO,
8012,1,NO APLICA,NA
8013,1,NO APLICA,NA
8014,1,NO APLICA,NA
8015,1,NO IDENTIFICADO,NSS
8016,1,NO APLICA,NA
8017,1,CENTRO DE CONTROL COMANDO COMUNICACIONES Y COMPUTO,0
8017,99,NO ESPECIFICADO,
8018,1,NO APLICA,NA
8019,1,CENTRO DE EMERGENCIA Y RESPUESTA INMEDIATA 911,NSS
8019,99,NO ESPECIFICADO,
8020,1,NO APLICA,NA
8021,1,CENTRO DE CONTROL COMPUTO Y COMANDO,0
8021,99,NO ESPECIFICADO,
8022,1,NO APLICA,NA
8023,1,COMANDANCIA LAGUNITAS,NA
8023,99,NO ESPECIFICADO,
8024,1,NO APLICA,NA
8025,1,NO APLICA,NA
8026,1,NO APLICA,NA
8027,1,NO APLICA,NA
8028,1,NO APLICA,NA
8029,1,NO APLICA,NA
8030,1,NO APLICA,NA
8031,1,NO APLICA,NA
8032,1,SUB CENTRO C4 PARRAL,NSS
8032,99,NO ESPECIFICADO,
8033,1,NO APLICA,NA
8034,1,NO APLICA,NA
8035,1,INSTITUCION ENCARGADA DE LA FUNCION DE SEGURIDAD PUBLICA DEL MUNICIPIO,NSS
8035,99,NO ESPECIFICADO,
8036,1,C4,NSS
8036,99,NO ESPECIFICADO,
8037,1,CENTRO DE EMERGENCIAS Y RESPUESTA INMEDIATA CERI-911,232195313
8037,99,NO ESPECIFICADO,
8038,1,NO APLICA,NA
8039,1,NO APLICA,NA
8040,1,COMANDANCIA DE SEGURIDAD PUBLICA MUNICIPAL,0
8040,99,NO ESPECIFICADO,
8041,1,NO APLICA,NA
8042,1,NO APLICA,NA
8043,1,NO APLICA,NA
8044,1,NO APLICA,NA
8045,1,C4,0
8045,99,NO ESPECIFICADO,
8046,1,NO APLICA,NA
8047,1,NO APLICA,NA
8048,1,NO IDENTIFICADO,NSS
8049,1,NO APLICA,NA
8050,1,CENTRO DE CONTROL COMANDO Y COMUNICACION C 4,2000000
8050,99,NO ESPECIFICADO,
8051,1,NO APLICA,NA
8052,1,EMERGENCIAS 911,600000
8052,99,NO ESPECIFICADO,
8053,1,NO APLICA,NA
8054,1,NO APLICA,NA
8055,1,NO APLICA,NA
8056,1,NO APLICA,NA
8057,1,NO APLICA,NA
8058,1,NO APLICA,NA
8059,1,NO IDENTIFICADO,NSS
8060,1,NO APLICA,NA
8061,1,NO APLICA,NA
8062,1,NO APLICA,NA
8063,1,NO APLICA,NA
8064,1,NO APLICA,NA
8065,1,NO APLICA,NA
8066,1,NO APLICA,NA
8067,1,NO APLICA,NA
9002,1,NO APLICA,NA
9002,99,NO ESPECIFICADO,
9003,1,NO APLICA,NA
9003,99,NO ESPECIFICADO,
9004,1,NO APLICA,NA
9004,99,NO ESPECIFICADO,
9005,1,NO APLICA,NA
9005,99,NO ESPECIFICADO,
9006,1,NO APLICA,NA
9006,99,NO ESPECIFICADO,
9007,1,NO APLICA,NA
9007,99,NO ESPECIFICADO,
9008,1,NO APLICA,NA
9008,99,NO ESPECIFICADO,
9009,1,NO APLICA,NA
9009,99,NO ESPECIFICADO,
9010,1,NO APLICA,NA
9010,99,NO ESPECIFICADO,
9011,1,NO APLICA,NA
9011,99,NO ESPECIFICADO,
9012,1,NO APLICA,NA
9012,99,NO ESPECIFICADO,
9013,1,NO APLICA,NA
9013,99,NO ESPECIFICADO,
9014,1,NO APLICA,NA
9014,99,NO ESPECIFICADO,
9015,1,NO APLICA,NA
9015,99,NO ESPECIFICADO,
9016,1,NO APLICA,NA
9016,99,NO ESPECIFICADO,
9017,1,NO APLICA,NA
9017,99,NO ESPECIFICADO,
10001,1,NO APLICA,NA
10002,1,NO APLICA,NA
10003,1,NO APLICA,NA
10004,1,NO APLICA,NA
10005,1,NO APLICA,NA
10006,1,NO APLICA,NA
10007,1,CENTRO DE CONTROL Y MONITOREO,NA
10007,99,NO ESPECIFICADO,
10008,1,NO APLICA,NA
10009,1,NO APLICA,NA
10010,1,NO APLICA,NA
10011,1,NO APLICA,NA
10012,1,NO APLICA,NA
10013,1,NO APLICA,NA
10014,1,NO APLICA,NA
10015,1,NO APLICA,NA
10016,1,NO APLICA,NA
10017,1,NO APLICA,NA
10018,1,NO APLICA,NA
10019,1,NO APLICA,NA
10020,1,NO APLICA,NA
10021,1,NO APLICA,NA
10022,1,NO APLICA,NA
10023,1,CENTRO DE COMANDO CONTROL COMUNICACION Y COMPUTO,NA
10023,2,CABINA DE RADIO,NSS
10023,99,NO ESPECIFICADO,
10024,1,NO APLICA,NA
10025,1,NO APLICA,NA
10026,1,NO APLICA,NA
10027,1,NO APLICA,NA
10028,1,NO APLICA,NA
10029,1,NO APLICA,NA
10030,1,NO APLICA,NA
10031,1,NO APLICA,NA
10032,1,NO APLICA,NA
10033,1,NO APLICA,NA
10034,1,NO APLICA,NA
10035,1,NO APLICA,NA
10036,1,NO APLICA,NA
10037,1,NO APLICA,NA
10038,1,NO APLICA,NA
10039,1,NO APLICA,NA
11001,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIA,NSS
11001,99,NO ESPECIFICADO,
11002,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIAS,NSS
11002,99,NO ESPECIFICADO,
11003,1,CENTRO DE COMANDO CONTROL COMUNICACIONES Y COMPUTO,699000
11003,99,NO ESPECIFICADO,
11004,1,CENTRO DE EMERGENCIA 911,1700432.5
11004,99,NO ESPECIFICADO,
11005,1,C4 APASEO EL GRANDE,0
11005,99,NO ESPECIFICADO,
11006,1,NO APLICA,NA
11007,1,CENTRO DE MANDO CONTROL COMUNICACION Y COMPUTO,935000
11007,99,NO ESPECIFICADO,
11008,1,NO IDENTIFICADO,NSS
11009,1,CENTRAL EMERGENCIAS 911,NSS
11009,99,NO ESPECIFICADO,
11010,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIA 9-1-1,NSS
11010,99,NO ESPECIFICADO,
11011,1,CENTRAL DE EMERGENCIAS 911,NSS
11011,99,NO ESPECIFICADO,
11012,1,CENTRAL DE EMERGENCIAS 9-1-1,0
11012,99,NO ESPECIFICADO,
11013,1,CENTRAL DE ATENCION DE LLAMADAS DE EMERGENCIA 911,NSS
11013,99,NO ESPECIFICADO,
11014,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIA,NSS
11014,99,NO ESPECIFICADO,
11015,1,CENTRO DE ATENCION A LLAMADAS DE EMERGENCIA 911,981843.25
11015,99,NO ESPECIFICADO,
11016,1,SISTEMA DE EMERGENCIAS 911,NSS
11016,99,NO ESPECIFICADO,
11017,1,CENTRO DE COMUNICACIONES DEL MUNICIPIO,21159554.76
11017,99,NO ESPECIFICADO,
11018,1,CENTRAL DE LLAMADAS DE EMERGENCIAS,42807.48
11018,99,NO ESPECIFICADO,
11019,1,CENTRO DE EMERGENCIAS 911 JERECUARO,2000000
11019,99,NO ESPECIFICADO,
11020,1,DIRECCION GENERAL DEL CENTRO DE COMPUTO COMANDO COMUNICACIONES Y CONTROL,29467051
11020,99,NO ESPECIFICADO,
11021,1,CENTRAL DE EMERGENCIAS 911 MOROLEON,3453388
11021,99,NO ESPECIFICADO,
11022,1,CENTRO DE ATENCION DE EMERGENCIAS DE OCAMPO GUANAJUATO,0
11022,99,NO ESPECIFICADO,
11023,1,CENTRO DE COMUNICACION Y MONITOREO,0
11023,99,NO ESPECIFICADO,
11024,1,NO IDENTIFICADO,NSS
11025,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIAS 911,0
11025,99,NO ESPECIFICADO,
11026,1,CENTRAL DE EMERGENCIAS 911 C4 ROMITA,80000
11026,99,NO ESPECIFICADO,
11027,1,SISTEMA DE EMERGENCIAS 9-1-1 SALAMANCA GUANAJUATO,NSS
11027,99,NO ESPECIFICADO,
11028,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIA DEL 911,NSS
11028,99,NO ESPECIFICADO,
11029,1,CENTRAL DE ATENCION A LLAMADAS DE EMERGENCIA,268846.65
11029,99,NO ESPECIFICADO,
11030,1,CENTRAL DE EMERGENCIAS SAN FELIPE GUANAJUATO,0
11030,99,NO ESPECIFICADO,
11031,1,AREA DEL 911,0
11031,99,NO ESPECIFICADO,
11032,1,CENTRO DE LLAMADAS DE EMERGENCIA 911 SAN JOSE ITURBIDE,NSS
11032,99,NO ESPECIFICADO,
11033,1,CENTRAL DE EMERGENCIA 9-1-1,NA
11033,99,NO ESPECIFICADO,
11034,1,CENTRAL DE EMERGENCIAS SANTACATARINA GUANAJUATO,0
11034,99,NO ESPECIFICADO,
11035,1,NO IDENTIFICADO,NSS
11036,1,CENTRAL DE EMERGENCIAS 9-1-1,NSS
11036,99,NO ESPECIFICADO,
11037,1,C4,157799.8
11037,99,NO ESPECIFICADO,
11038,1,NO IDENTIFICADO,NSS
11039,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIA,NSS
11039,99,NO ESPECIFICADO,
11040,1,CENTRAL DE EMERGENCIAS 911,0
11040,99,NO ESPECIFICADO,
11041,1,CENTRAL DE EMERGENCIAS 911 URIANGATO,NSS
11041,99,NO ESPECIFICADO,
11042,1,CENTRAL DE EMERGENCIAS C CUATRO,NSS
11042,99,NO ESPECIFICADO,
11043,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIA,NSS
11043,99,NO ESPECIFICADO,
11044,1,CENTRAL DE LLAMADAS DE EMERGENCIA 911,0
11044,99,NO ESPECIFICADO,
11045,1,NO APLICA,NA
11046,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIAS 911,NSS
11046,99,NO ESPECIFICADO,
12001,1,CENTRO DE ATENCION A EMERGENCIAS URBANAS,3957203.52
12001,99,NO ESPECIFICADO,
12002,1,NO APLICA,NA
12003,1,NO APLICA,NA
12004,1,COMANDANCIA,0
12004,99,NO ESPECIFICADO,
12005,1,NO APLICA,NA
12006,1,NO APLICA,NA
12007,1,NO APLICA,NA
12008,1,NO APLICA,NA
12009,1,NO APLICA,NA
12010,1,NO APLICA,NA
12011,1,NO APLICA,NA
12012,1,NO APLICA,NA
12013,1,CENTRO DE ATENCION DE LLAMADAS DE EMERGENCIA DE AZOYU,0
12013,99,NO ESPECIFICADO,
12014,1,DIRECCION DE SEGURIDAD PUBLICA,0
12014,99,NO ESPECIFICADO,
12015,1,NO APLICA,NA
12016,1,NO APLICA,NA
12017,1,NO APLICA,NA
12018,1,NO APLICA,NA
12019,1,NO APLICA,NA
12020,1,NO APLICA,NA
12021,1,COMANDANCIA,178000
12021,99,NO ESPECIFICADO,
12022,1,NO APLICA,NA
12023,1,NO APLICA,NA
12024,1,NO APLICA,NA
12025,1,NO APLICA,NA
12026,1,NO APLICA,NA
12027,1,NO APLICA,NA
12028,1,PUESTO DE MANDO INTEGRAL,0
12028,99,NO ESPECIFICADO,
12029,1,CENTRO DE COMPUTO CONTROL Y COMANDO,NA
12029,2,CENTRO DE CONTROL Y COMANDO,0
12029,99,NO ESPECIFICADO,
12030,1,NO APLICA,NA
12031,1,NO APLICA,NA
12032,1,NO APLICA,NA
12033,1,NO APLICA,NA
12034,1,NO APLICA,NA
12035,1,NO APLICA,NA
12036,1,NO APLICA,NA
12037,1,NO APLICA,NA
12038,1,NO APLICA,NA
12039,1,NO APLICA,NA
12040,1,NO APLICA,NA
12041,1,NO APLICA,NA
12042,1,NO APLICA,NA
12043,1,NO APLICA,NA
12044,1,NO APLICA,NA
12045,1,NO APLICA,NA
12046,1,NO APLICA,NA
12047,1,NO APLICA,NA
12048,1,NO APLICA,NA
12049,1,NO APLICA,NA
12050,1,NO APLICA,NA
12051,1,NO APLICA,NA
12052,1,CENTRO DE ATENCION DE LLAMADAS DEL CUARTEL DE LA POLICIA PREVENTIVA MUNICIPAL,0
12052,99,NO ESPECIFICADO,
12053,1,NO APLICA,NA
12054,1,NO APLICA,NA
12055,1,NO APLICA,NA
12056,1,NO APLICA,NA
12057,1,NO APLICA,NA
12058,1,NO APLICA,NA
12059,1,NO APLICA,NA
12060,1,NO APLICA,NA
12061,1,NO APLICA,NA
12062,1,NO APLICA,NA
12063,1,NO APLICA,NA
12064,1,NO APLICA,NA
12065,1,NO APLICA,NA
12066,1,NO APLICA,NA
12067,1,COMANDANCIA MUNICIPAL,16699587.09
12067,99,NO ESPECIFICADO,
12068,1,NO APLICA,NA
12069,1,NO APLICA,NA
12070,1,NO APLICA,NA
12071,1,NO APLICA,NA
12072,1,NO APLICA,NA
12073,1,NO APLICA,NA
12074,1,NO APLICA,NA
12075,1,CENTRO DE MANDO GENERAL LAZARO CARDENAS DEL RIO,NA
12075,99,NO ESPECIFICADO,
12076,1,NO APLICA,NA
12077,1,NO APLICA,NA
12078,1,NO APLICA,NA
12079,1,NO APLICA,NA
12080,1,NO APLICA,NA
12081,1,NO APLICA,NA
12082,1,NO APLICA,NA
12082,99,NO ESPECIFICADO,
12083,1,NO APLICA,NA
12083,99,NO ESPECIFICADO,
12084,1,NO APLICA,NA
12084,99,NO ESPECIFICADO,
12085,1,NO APLICA,NA
12085,99,NO ESPECIFICADO,
13001,1,NO APLICA,NA
13002,1,NO APLICA,NA
13003,1,CENTRO DE COMANDO Y CONTROL,655298.57
13003,99,NO ESPECIFICADO,
13004,1,NO APLICA,NA
13005,1,CENTRAL DE RADIO,NSS
13005,99,NO ESPECIFICADO,
13006,1,NO APLICA,NA
13007,1,NO APLICA,NA
13008,1,NO APLICA,NA
13009,1,SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL DE EL ARENAL,15600
13009,99,NO ESPECIFICADO,
13010,1,NO APLICA,NA
13011,1,NO APLICA,NA
13012,1,NO APLICA,NA
13013,1,NO APLICA,NA
13014,1,NO APLICA,NA
13015,1,NO APLICA,NA
13016,1,CENTRO DE ATENCION CIUDADANO C2,181020.5
13016,2,SEGURIDAD PUBLICA TRANSITO Y VIALIDAD MUNICIPAL,0
13016,99,NO ESPECIFICADO,
13017,1,NO APLICA,NA
13018,1,NO APLICA,NA
13019,1,DIRECCION DE SEGURIDAD PUBLICA TRANSITO Y VIALIDAD,0
13019,99,NO ESPECIFICADO,
13020,1,NO APLICA,NA
13021,1,NO APLICA,NA
13022,1,NO APLICA,NA
13023,1,NO APLICA,NA
13024,1,NO APLICA,NA
13025,1,NO APLICA,NA
13026,1,NO APLICA,NA
13027,1,NO APLICA,NA
13028,1,NO APLICA,NA
13029,1,PALACIO MUNICIPAL,0
13029,99,NO ESPECIFICADO,
13030,1,NO APLICA,NA
13031,1,NO APLICA,NA
13032,1,NO APLICA,NA
13033,1,NO APLICA,NA
13034,1,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL DE LOLOTLA,10000
13034,99,NO ESPECIFICADO,
13035,1,NO APLICA,NA
13036,1,NO APLICA,NA
13037,1,NO APLICA,NA
13038,1,NO APLICA,NA
13039,1,NO APLICA,NA
13040,1,NO APLICA,NA
13041,1,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,0
13041,99,NO ESPECIFICADO,
13042,1,NO APLICA,NA
13043,1,NO APLICA,NA
13044,1,NO APLICA,NA
13045,1,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL,0
13045,99,NO ESPECIFICADO,
13046,1,NO APLICA,NA
13047,1,NO APLICA,NA
13048,1,CENTRO DE COMANDO Y COMUNICACIONES COMUNICACION Y CONTROL,3899997.72
13048,99,NO ESPECIFICADO,
13049,1,NO APLICA,NA
13050,1,NO APLICA,NA
13051,1,CENTRO DE COMANDO Y CONTROL C2,0
13051,99,NO ESPECIFICADO,
13052,1,NO APLICA,NA
13053,1,NO APLICA,NA
13054,1,LA COMANDANCIA,0
13054,99,NO ESPECIFICADO,
13055,1,TORRE DE CONTROL DE LLAMADAS DEL AREA DE SEGURIDAD PUBLICA,NA
13055,99,NO ESPECIFICADO,
13056,1,NO APLICA,NA
13057,1,NO APLICA,NA
13058,1,NO APLICA,NA
13059,1,NO APLICA,NA
13060,1,NO APLICA,NA
13061,1,NO APLICA,NA
13062,1,NO APLICA,NA
13063,1,NO APLICA,NA
13064,1,NO APLICA,NA
13065,1,NO APLICA,NA
13066,1,NO APLICA,NA
13067,1,NO APLICA,NA
13068,1,NO APLICA,NA
13069,1,CENTRO DE COMANDO Y COMUNICACIONES DE TIZAYUCA,1421748
13069,99,NO ESPECIFICADO,
13070,1,DIRECCION DE SEGURIDAD PUBLICA Y TRANSITO MUNICIPAL DE TLAHUELILPAN,0
13070,99,NO ESPECIFICADO,
13071,1,NO APLICA,NA
13072,1,NO APLICA,NA
13073,1,NO APLICA,NA
13074,1,SEGURICHAT,NSS
13074,99,NO ESPECIFICADO,
13075,1,CENTRAL DE RADIO,0
13075,99,NO ESPECIFICADO,
13076,1,SUBCENTRO C4 911,NA
13076,2,CENTRAL DE RADIO LOCAL,0
13076,99,NO ESPECIFICADO,
13077,1,TULANCINGO AVANZA SEGURO,0
13077,2,GUARDIA CENTRAL NUMERO DIRECTO,0
13077,99,NO ESPECIFICADO,
13078,1,NO APLICA,NA
13079,1,NO APLICA,NA
13080,1,NO APLICA,NA
13081,1,NO APLICA,NA
13082,1,CABINA DE RADIO OPERADOR,0
13082,99,NO ESPECIFICADO,
13083,1,CENTRO DE CONTROL COMANDO Y UNIDAD DE ANALISIS C2 ZEMPOALA,NA
13083,99,NO ESPECIFICADO,
13084,1,NO APLICA,NA
14001,1,NO APLICA,NA
14002,1,NO APLICA,NA
14003,1,COMISARIA,NSS
14003,99,NO ESPECIFICADO,
14004,1,DIRECCION DE SEGURIDAD PUBLICA,0
14004,99,NO ESPECIFICADO,
14005,1,SEGURIDAD PUBLICA,0
14005,99,NO ESPECIFICADO,
14006,1,NO APLICA,NA
14007,1,NO APLICA,NA
14008,1,CABINA,50244
