ubicageo_f,aniorefe_b,rnsnni1,nombre1,totalca1
5007,1,2,NO APLICA,NA
5007,2,2,NO APLICA,NA
5008,1,0,NO APLICA,NA
5008,2,0,NO APLICA,NA
5009,1,2,NO APLICA,NA
5009,2,2,NO APLICA,NA
5010,1,9,NO IDENTIFICADO,NSS
5010,2,9,NO IDENTIFICADO,NSS
5011,1,2,NO APLICA,NA
5011,2,2,NO APLICA,NA
5012,1,0,NO APLICA,NA
5012,2,0,NO APLICA,NA
5013,1,0,NO APLICA,NA
5013,2,0,NO APLICA,NA
5014,1,2,NO APLICA,NA
5014,2,2,NO APLICA,NA
5015,1,0,NO APLICA,NA
5015,2,0,NO APLICA,NA
5016,1,2,NO APLICA,NA
5016,2,2,NO APLICA,NA
5017,1,2,NO APLICA,NA
5017,2,2,NO APLICA,NA
5018,1,2,NO APLICA,NA
5018,2,2,NO APLICA,NA
5019,1,2,NO APLICA,NA
5019,2,2,NO APLICA,NA
5020,1,2,NO APLICA,NA
5020,2,2,NO APLICA,NA
5021,1,9,NO IDENTIFICADO,NSS
5021,2,9,NO IDENTIFICADO,NSS
5022,1,2,NO APLICA,NA
5022,2,2,NO APLICA,NA
5023,1,2,NO APLICA,NA
5023,2,2,NO APLICA,NA
5024,1,2,NO APLICA,NA
5024,2,2,NO APLICA,NA
5025,1,2,NO APLICA,NA
5025,2,2,NO APLICA,NA
5026,1,0,NO APLICA,NA
5026,2,0,NO APLICA,NA
5027,1,2,NO APLICA,NA
5027,2,2,NO APLICA,NA
5028,1,1,FONDO DE APORTACIONES PARA EL FORTALECIMIENTO MUNICIPAL,19057225.47
5028,2,1,FONDO DE APORTACIONES PARA EL FORTALECIMIENTO MUNICIPAL,20702672.17
5029,1,9,NO IDENTIFICADO,NSS
5029,2,9,NO IDENTIFICADO,NSS
5030,1,1,FONDO DE APORTACIONES PARA EL FORTALECIMIENTO DE LOS MUNICIPIOS,84867139.92
5030,2,1,FONDO DE APORTACIONES PARA EL FORTALECIMIENTO DE LOS MUNICIPIOS,221367934.25
5031,1,2,NO APLICA,NA
5031,2,2,NO APLICA,NA
5032,1,9,NO IDENTIFICADO,NSS
5032,2,9,NO IDENTIFICADO,NSS
5033,1,2,NO APLICA,NA
5033,2,2,NO APLICA,NA
5034,1,2,NO APLICA,NA
5034,2,2,NO APLICA,NA
5035,1,2,NO APLICA,NA
5035,2,2,NO APLICA,NA
5036,1,2,NO APLICA,NA
5036,2,2,NO APLICA,NA
5037,1,2,NO APLICA,NA
5037,2,2,NO APLICA,NA
5038,1,2,NO APLICA,NA
5038,2,2,NO APLICA,NA
6001,1,2,NO APLICA,NA
6001,2,2,NO APLICA,NA
6002,1,1,FORTAMUN,57180134.11
6002,2,1,FORTAMUN,59633920.81
6003,1,2,NO APLICA,NA
6003,2,2,NO APLICA,NA
6004,1,2,NO APLICA,NA
6004,2,2,NO APLICA,NA
6005,1,2,NO APLICA,NA
6005,2,2,NO APLICA,NA
6006,1,2,NO APLICA,NA
6006,2,2,NO APLICA,NA
6007,1,2,NO APLICA,NA
6007,2,2,NO APLICA,NA
6008,1,2,NO APLICA,NA
6008,2,2,NO APLICA,NA
6009,1,2,NO APLICA,NA
6009,2,2,NO APLICA,NA
6010,1,2,NO APLICA,NA
6010,2,2,NO APLICA,NA
7001,1,9,NO IDENTIFICADO,NSS
7001,2,9,NO IDENTIFICADO,NSS
7002,1,9,NO IDENTIFICADO,NSS
7002,2,9,NO IDENTIFICADO,NSS
7003,1,2,NO APLICA,NA
7003,2,2,NO APLICA,NA
7004,1,2,NO APLICA,NA
7004,2,2,NO APLICA,NA
7005,1,9,NO IDENTIFICADO,NSS
7005,2,2,NO APLICA,NA
7006,1,2,NO APLICA,NA
7006,2,2,NO APLICA,NA
7007,1,2,NO APLICA,NA
7007,2,2,NO APLICA,NA
7008,1,2,NO APLICA,NA
7008,2,2,NO APLICA,NA
7009,1,9,NO IDENTIFICADO,NSS
7009,2,9,NO IDENTIFICADO,NSS
7010,1,2,NO APLICA,NA
7010,2,2,NO APLICA,NA
7011,1,2,NO APLICA,NA
7011,2,2,NO APLICA,NA
7012,1,2,NO APLICA,NA
7012,2,2,NO APLICA,NA
7013,1,2,NO APLICA,NA
7013,2,2,NO APLICA,NA
7014,1,1,FONDO 4,4495493
7014,2,1,FONDO 4,7269195
7015,1,2,NO APLICA,NA
7015,2,2,NO APLICA,NA
7016,1,2,NO APLICA,NA
7016,2,2,NO APLICA,NA
7017,1,2,NO APLICA,NA
7017,2,2,NO APLICA,NA
7018,1,2,NO APLICA,NA
7018,2,2,NO APLICA,NA
7019,1,2,NO APLICA,NA
7019,2,2,NO APLICA,NA
7020,1,1,FORTAMUN,6313131
7020,2,1,FORTAMUN,4432249
7021,1,2,NO APLICA,NA
7021,2,2,NO APLICA,NA
7022,1,2,NO APLICA,NA
7022,2,2,NO APLICA,NA
7023,1,2,NO APLICA,NA
7023,2,2,NO APLICA,NA
7024,1,2,NO APLICA,NA
7024,2,2,NO APLICA,NA
7025,1,2,NO APLICA,NA
7025,2,2,NO APLICA,NA
7026,1,2,NO APLICA,NA
7026,2,2,NO APLICA,NA
7027,1,2,NO APLICA,NA
7027,2,2,NO APLICA,NA
7028,1,2,NO APLICA,NA
7028,2,2,NO APLICA,NA
7029,1,2,NO APLICA,NA
7029,2,2,NO APLICA,NA
7030,1,2,NO APLICA,NA
7030,2,2,NO APLICA,NA
7031,1,2,NO APLICA,NA
7031,2,2,NO APLICA,NA
7032,1,2,NO APLICA,NA
7032,2,2,NO APLICA,NA
7033,1,2,NO APLICA,NA
7033,2,2,NO APLICA,NA
7034,1,2,NO APLICA,NA
7034,2,2,NO APLICA,NA
7035,1,2,NO APLICA,NA
7035,2,1,FONDO IV,5283000
7036,1,2,NO APLICA,NA
7036,2,2,NO APLICA,NA
7037,1,2,NO APLICA,NA
7037,2,2,NO APLICA,NA
7038,1,2,NO APLICA,NA
7038,2,2,NO APLICA,NA
7039,1,2,NO APLICA,NA
7039,2,2,NO APLICA,NA
7040,1,1,FONDO PARA FINANCIAR LOS PROGRAMAS EN MATERIA DE SEGURIDAD,15456015.44
7040,2,1,FONDO PARA FINANCIAR LOS PROGRAMAS EN MATERIA DE SEGURIDAD,21378146.66
7041,1,2,NO APLICA,NA
7041,2,2,NO APLICA,NA
7042,1,2,NO APLICA,NA
7042,2,2,NO APLICA,NA
7043,1,2,NO APLICA,NA
7043,2,2,NO APLICA,NA
7044,1,2,NO APLICA,NA
7044,2,2,NO APLICA,NA
7045,1,1,FONDO DE APORTACIONES PARA EL FORTALECIMIENTO DE LOS MUNICIPIOS,969566.06
7045,2,1,FONDO DE APORTACIONES PARA EL FORTALECIMIENTO DE LOS MUNICIPIOS,578779.76
7046,1,1,FORTAMUN,9718425.62
7046,2,1,FORTAMUN,11273824.12
7047,1,1,FONDO DE APORTACIONES PARA EL FORTALECIMIENTO MUNICIPAL Y DE LAS DEMARCACIONES,14622720
7047,2,1,FONDO DE APORTACIONES PARA EL FORTALECIMIENTO MUNICIPAL Y DE LAS DEMARCACIONES,18751221
7048,1,2,NO APLICA,NA
7048,2,2,NO APLICA,NA
7049,1,1,FONDO 4,4795209.15
7049,2,1,FONDO 4,6284183.08
7050,1,2,NO APLICA,NA
7050,2,2,NO APLICA,NA
7051,1,2,NO APLICA,NA
7051,2,2,NO APLICA,NA
7052,1,2,NO APLICA,NA
7052,2,2,NO APLICA,NA
7053,1,2,NO APLICA,NA
7053,2,2,NO APLICA,NA
7054,1,2,NO APLICA,NA
7054,2,2,NO APLICA,NA
7055,1,2,NO APLICA,NA
7055,2,1,FONDO 4,840000
7056,1,2,NO APLICA,NA
7056,2,2,NO APLICA,NA
7057,1,1,710694535,0
7057,2,1,1566488056,0
7058,1,2,NO APLICA,NA
7058,2,2,NO APLICA,NA
7059,1,2,NO APLICA,NA
7059,2,2,NO APLICA,NA
7060,1,2,NO APLICA,NA
7060,2,2,NO APLICA,NA
7061,1,2,NO APLICA,NA
7061,2,2,NO APLICA,NA
7062,1,2,NO APLICA,NA
7062,2,2,NO APLICA,NA
7063,1,9,NO IDENTIFICADO,NSS
7063,2,9,NO IDENTIFICADO,NSS
7064,1,2,NO APLICA,NA
7064,2,2,NO APLICA,NA
7065,1,2,NO APLICA,NA
7065,2,2,NO APLICA,NA
7066,1,9,NO IDENTIFICADO,NSS
7066,2,2,NO APLICA,NA
7067,1,2,NO APLICA,NA
7067,2,2,NO APLICA,NA
7068,1,2,NO APLICA,NA
7068,2,2,NO APLICA,NA
7069,1,9,NO IDENTIFICADO,NSS
7069,2,9,NO IDENTIFICADO,NSS
7070,1,2,NO APLICA,NA
7070,2,2,NO APLICA,NA
7071,1,2,NO APLICA,NA
7071,2,2,NO APLICA,NA
7072,1,2,NO APLICA,NA
7072,2,2,NO APLICA,NA
7073,1,2,NO APLICA,NA
7073,2,2,NO APLICA,NA
7074,1,1,FORTAMUN,32244824.75
7074,2,1,FORTAMUN,30443211.65
7075,1,2,NO APLICA,NA
7075,2,2,NO APLICA,NA
7076,1,2,NO APLICA,NA
7076,2,2,NO APLICA,NA
7077,1,2,NO APLICA,NA
7077,2,2,NO APLICA,NA
7078,1,2,NO APLICA,NA
7078,2,2,NO APLICA,NA
7079,1,9,NO IDENTIFICADO,NSS
7079,2,2,NO APLICA,NA
7080,1,9,NO IDENTIFICADO,NSS
7080,2,2,NO APLICA,NA
7081,1,2,NO APLICA,NA
7081,2,2,NO APLICA,NA
7082,1,2,NO APLICA,NA
7082,2,2,NO APLICA,NA
7083,1,2,NO APLICA,NA
7083,2,2,NO APLICA,NA
7084,1,2,NO APLICA,NA
7084,2,2,NO APLICA,NA
7085,1,2,NO APLICA,NA
7085,2,2,NO APLICA,NA
7086,1,1,FORTAMUN,8275337.5
7086,2,1,FORTAMUN,8821070.91
7087,1,2,NO APLICA,NA
7087,2,2,NO APLICA,NA
7088,1,2,NO APLICA,NA
7088,2,2,NO APLICA,NA
7089,1,2,NO APLICA,NA
7089,2,2,NO APLICA,NA
7090,1,2,NO APLICA,NA
7090,2,2,NO APLICA,NA
7091,1,2,NO APLICA,NA
7091,2,2,NO APLICA,NA
7092,1,1,FORTAMUNDF,10251132.62
7092,2,1,FORTAMUNDF,11860289.08
7093,1,2,NO APLICA,NA
7093,2,2,NO APLICA,NA
7094,1,9,NO IDENTIFICADO,NSS
7094,2,9,NO IDENTIFICADO,NSS
7096,1,2,NO APLICA,NA
7096,2,2,NO APLICA,NA
7097,1,2,NO APLICA,NA
7097,2,2,NO APLICA,NA
7098,1,1,FONDO DE APORTACIONES PARA EL FORTALECIMIENTO MUNICIPAL Y DE LAS DEMARCACIONES,2159135.45
7098,2,1,FONDO DE APORTACIONES PARA EL FORTALECIMIENTO MUNICIPAL Y DE LAS DEMARCACIONES,2715741.55
7099,1,2,NO APLICA,NA
7099,2,2,NO APLICA,NA
7100,1,2,NO APLICA,NA
7100,2,2,NO APLICA,NA
7101,1,2,NO APLICA,NA
7101,2,2,NO APLICA,NA
7102,1,2,NO APLICA,NA
7102,2,2,NO APLICA,NA
7103,1,2,NO APLICA,NA
7103,2,2,NO APLICA,NA
7104,1,2,NO APLICA,NA
7104,2,2,NO APLICA,NA
7105,1,2,NO APLICA,NA
7105,2,2,NO APLICA,NA
7106,1,2,NO APLICA,NA
7106,2,2,NO APLICA,NA
7107,1,9,NO IDENTIFICADO,NSS
7107,2,9,NO IDENTIFICADO,NSS
7108,1,2,NO APLICA,NA
7108,2,2,NO APLICA,NA
7109,1,2,NO APLICA,NA
7109,2,2,NO APLICA,NA
7110,1,2,NO APLICA,NA
7110,2,2,NO APLICA,NA
7111,1,2,NO APLICA,NA
7111,2,2,NO APLICA,NA
7112,1,2,NO APLICA,NA
7112,2,2,NO APLICA,NA
7113,1,2,NO APLICA,NA
7113,2,2,NO APLICA,NA
7114,1,2,NO APLICA,NA
7114,2,2,NO APLICA,NA
7115,1,2,NO APLICA,NA
7115,2,2,NO APLICA,NA
7116,1,2,NO APLICA,NA
7116,2,2,NO APLICA,NA
7117,1,2,NO APLICA,NA
7117,2,2,NO APLICA,NA
7118,1,2,NO APLICA,NA
7118,2,2,NO APLICA,NA
7119,1,1,FONDO IV,2420537.11
7119,2,1,FONDO IV,2420537.11
7120,1,2,NO APLICA,NA
7120,2,2,NO APLICA,NA
7121,1,2,NO APLICA,NA
7121,2,2,NO APLICA,NA
7122,1,2,NO APLICA,NA
7122,2,2,NO APLICA,NA
7123,1,2,NO APLICA,NA
7123,2,2,NO APLICA,NA
7124,1,2,NO APLICA,NA
7124,2,2,NO APLICA,NA
7125,1,2,NO APLICA,NA
7125,2,2,NO APLICA,NA
8001,1,2,NO APLICA,NA
8001,2,2,NO APLICA,NA
8002,1,2,NO APLICA,NA
8002,2,2,NO APLICA,NA
8003,1,2,NO APLICA,NA
8003,2,2,NO APLICA,NA
8004,1,2,NO APLICA,NA
8004,2,2,NO APLICA,NA
8005,1,9,NO IDENTIFICADO,NSS
8005,2,9,NO IDENTIFICADO,NSS
8006,1,2,NO APLICA,NA
8006,2,2,NO APLICA,NA
8007,1,2,NO APLICA,NA
8007,2,2,NO APLICA,NA
8008,1,2,NO APLICA,NA
8008,2,2,NO APLICA,NA
8009,1,2,NO APLICA,NA
8009,2,2,NO APLICA,NA
8010,1,2,NO APLICA,NA
8010,2,2,NO APLICA,NA
8011,1,2,NO APLICA,NA
8011,2,2,NO APLICA,NA
8012,1,2,NO APLICA,NA
8012,2,2,NO APLICA,NA
8013,1,1,GOBIERNO DEL ESTADO,NSS
8013,2,1,GOBIERNO DEL ESTADO,NSS
8014,1,1,FORTAMUN,1522315
8014,2,1,FORTAMUN,1517163
8015,1,9,NO IDENTIFICADO,NSS
8015,2,9,NO IDENTIFICADO,NSS
8016,1,9,NO IDENTIFICADO,NSS
8016,2,9,NO IDENTIFICADO,NSS
8017,1,1,FORTAMU,36199168.29
8017,2,2,NO APLICA,NA
8018,1,2,NO APLICA,NA
8018,2,2,NO APLICA,NA
8019,1,2,NO APLICA,NA
8019,2,2,NO APLICA,NA
8020,1,2,NO APLICA,NA
8020,2,2,NO APLICA,NA
8021,1,2,NO APLICA,NA
8021,2,2,NO APLICA,NA
8022,1,2,NO APLICA,NA
8022,2,2,NO APLICA,NA
8023,1,9,NO IDENTIFICADO,NSS
8023,2,9,NO IDENTIFICADO,NSS
8024,1,2,NO APLICA,NA
8024,2,2,NO APLICA,NA
8025,1,2,NO APLICA,NA
8025,2,2,NO APLICA,NA
8026,1,2,NO APLICA,NA
8026,2,2,NO APLICA,NA
8027,1,2,NO APLICA,NA
8027,2,2,NO APLICA,NA
8028,1,2,NO APLICA,NA
8028,2,2,NO APLICA,NA
8029,1,2,NO APLICA,NA
8029,2,2,NO APLICA,NA
8030,1,2,NO APLICA,NA
8030,2,2,NO APLICA,NA
8031,1,2,NO APLICA,NA
8031,2,2,NO APLICA,NA
8032,1,9,NO IDENTIFICADO,NSS
8032,2,9,NO IDENTIFICADO,NSS
8033,1,2,NO APLICA,NA
8033,2,2,NO APLICA,NA
8034,1,2,NO APLICA,NA
8034,2,2,NO APLICA,NA
8035,1,9,NO IDENTIFICADO,NSS
8035,2,9,NO IDENTIFICADO,NSS
8036,1,9,NO IDENTIFICADO,NSS
8036,2,9,NO IDENTIFICADO,NSS
8037,1,1,FORAMEN,334200715
8037,2,1,FORAMEN,546126701
8038,1,9,NO IDENTIFICADO,NSS
8038,2,9,NO IDENTIFICADO,NSS
8039,1,2,NO APLICA,NA
8039,2,2,NO APLICA,NA
8040,1,2,NO APLICA,NA
8040,2,2,NO APLICA,NA
8041,1,2,NO APLICA,NA
8041,2,2,NO APLICA,NA
8042,1,2,NO APLICA,NA
8042,2,2,NO APLICA,NA
8043,1,2,NO APLICA,NA
8043,2,2,NO APLICA,NA
8044,1,2,NO APLICA,NA
8044,2,2,NO APLICA,NA
8045,1,2,NO APLICA,NA
8045,2,2,NO APLICA,NA
8046,1,2,NO APLICA,NA
8046,2,2,NO APLICA,NA
8047,1,9,NO IDENTIFICADO,NSS
8047,2,2,NO APLICA,NA
8048,1,2,NO APLICA,NA
8048,2,2,NO APLICA,NA
8049,1,2,NO APLICA,NA
8049,2,2,NO APLICA,NA
8050,1,2,NO APLICA,NA
8050,2,2,NO APLICA,NA
8051,1,2,NO APLICA,NA
8051,2,2,NO APLICA,NA
8052,1,2,NO APLICA,NA
8052,2,2,NO APLICA,NA
8053,1,2,NO APLICA,NA
8053,2,2,NO APLICA,NA
8054,1,2,NO APLICA,NA
8054,2,2,NO APLICA,NA
8055,1,1,FORTAMUN,NSS
8055,2,1,FORTAMUN,NSS
8056,1,2,NO APLICA,NA
8056,2,2,NO APLICA,NA
8057,1,2,NO APLICA,NA
8057,2,2,NO APLICA,NA
8058,1,2,NO APLICA,NA
8058,2,2,NO APLICA,NA
8059,1,2,NO APLICA,NA
8059,2,2,NO APLICA,NA
8060,1,2,NO APLICA,NA
8060,2,2,NO APLICA,NA
8061,1,2,NO APLICA,NA
8061,2,2,NO APLICA,NA
8062,1,9,NO IDENTIFICADO,NSS
8062,2,9,NO IDENTIFICADO,NSS
8063,1,2,NO APLICA,NA
8063,2,2,NO APLICA,NA
8064,1,2,NO APLICA,NA
8064,2,2,NO APLICA,NA
8065,1,2,NO APLICA,NA
8065,2,2,NO APLICA,NA
8066,1,2,NO APLICA,NA
8066,2,2,NO APLICA,NA
8067,1,2,NO APLICA,NA
8067,2,2,NO APLICA,NA
9002,1,0,NO APLICA,NA
9002,2,0,NO APLICA,NA
9003,1,0,NO APLICA,NA
9003,2,0,NO APLICA,NA
9004,1,0,NO APLICA,NA
9004,2,0,NO APLICA,NA
9005,1,0,NO APLICA,NA
9005,2,0,NO APLICA,NA
9006,1,0,NO APLICA,NA
9006,2,0,NO APLICA,NA
9007,1,0,NO APLICA,NA
9007,2,0,NO APLICA,NA
9008,1,0,NO APLICA,NA
9008,2,0,NO APLICA,NA
9009,1,0,NO APLICA,NA
9009,2,0,NO APLICA,NA
9010,1,0,NO APLICA,NA
9010,2,0,NO APLICA,NA
9011,1,0,NO APLICA,NA
9011,2,0,NO APLICA,NA
9012,1,0,NO APLICA,NA
9012,2,0,NO APLICA,NA
9013,1,0,NO APLICA,NA
9013,2,0,NO APLICA,NA
9014,1,0,NO APLICA,NA
9014,2,0,NO APLICA,NA
9015,1,0,NO APLICA,NA
9015,2,0,NO APLICA,NA
9016,1,0,NO APLICA,NA
9016,2,0,NO APLICA,NA
9017,1,0,NO APLICA,NA
9017,2,0,NO APLICA,NA
10001,1,2,NO APLICA,NA
10001,2,2,NO APLICA,NA
10002,1,1,FORTALECIMIENTO,345000
10002,2,1,FORTALECIMIENTO,423000
10003,1,2,NO APLICA,NA
10003,2,2,NO APLICA,NA
10004,1,2,NO APLICA,NA
10004,2,2,NO APLICA,NA
10005,1,2,NO APLICA,NA
10005,2,2,NO APLICA,NA
10006,1,2,NO APLICA,NA
10006,2,2,NO APLICA,NA
10007,1,9,NO IDENTIFICADO,NSS
10007,2,9,NO IDENTIFICADO,NSS
10008,1,2,NO APLICA,NA
10008,2,2,NO APLICA,NA
10009,1,2,NO APLICA,NA
10009,2,2,NO APLICA,NA
10010,1,2,NO APLICA,NA
10010,2,2,NO APLICA,NA
10011,1,2,NO APLICA,NA
10011,2,2,NO APLICA,NA
10012,1,2,NO APLICA,NA
10012,2,2,NO APLICA,NA
10013,1,2,NO APLICA,NA
10013,2,2,NO APLICA,NA
10014,1,2,NO APLICA,NA
10014,2,2,NO APLICA,NA
10015,1,9,NO IDENTIFICADO,NSS
10015,2,2,NO APLICA,NA
10016,1,9,NO IDENTIFICADO,NSS
10016,2,9,NO IDENTIFICADO,NSS
10017,1,2,NO APLICA,NA
10017,2,2,NO APLICA,NA
10018,1,2,NO APLICA,NA
10018,2,2,NO APLICA,NA
10019,1,2,NO APLICA,NA
10019,2,2,NO APLICA,NA
10020,1,2,NO APLICA,NA
10020,2,2,NO APLICA,NA
10021,1,2,NO APLICA,NA
10021,2,2,NO APLICA,NA
10022,1,2,NO APLICA,NA
10022,2,2,NO APLICA,NA
10023,1,9,NO IDENTIFICADO,NSS
10023,2,9,NO IDENTIFICADO,NSS
10024,1,2,NO APLICA,NA
10024,2,2,NO APLICA,NA
10025,1,2,NO APLICA,NA
10025,2,2,NO APLICA,NA
10026,1,2,NO APLICA,NA
10026,2,2,NO APLICA,NA
10027,1,9,NO IDENTIFICADO,NSS
10027,2,9,NO IDENTIFICADO,NSS
10028,1,2,NO APLICA,NA
10028,2,2,NO APLICA,NA
10029,1,9,NO IDENTIFICADO,NSS
10029,2,2,NO APLICA,NA
10030,1,2,NO APLICA,NA
10030,2,2,NO APLICA,NA
10031,1,9,NO IDENTIFICADO,NSS
10031,2,2,NO APLICA,NA
10032,1,9,NO IDENTIFICADO,NSS
10032,2,9,NO IDENTIFICADO,NSS
10033,1,2,NO APLICA,NA
10033,2,2,NO APLICA,NA
10034,1,2,NO APLICA,NA
10034,2,2,NO APLICA,NA
10035,1,2,NO APLICA,NA
10035,2,2,NO APLICA,NA
10036,1,2,NO APLICA,NA
10036,2,2,NO APLICA,NA
10037,1,2,NO APLICA,NA
10037,2,2,NO APLICA,NA
10038,1,2,NO APLICA,NA
10038,2,2,NO APLICA,NA
10039,1,2,NO APLICA,NA
10039,2,2,NO APLICA,NA
11001,1,1,FONDO ESTATAL PARA EL FORTALECIMIENTO A LA SEGURIDAD PUBLICA MUNICIPAL,3021328.96
11001,2,1,FONDO ESTATAL PARA EL FORTALECIMIENTO A LA SEGURIDAD PUBLICA MUNICIPAL,3028497.02
11002,1,2,NO APLICA,NA
11002,2,1,FONDO ESTATAL PARA EL FORTALECIMIENTO A LA SEGURIDAD PUBLICA,2266562
11003,1,1,FONDO ESTATAL PARA EL FORTALECIMIENTO DE LA SEGURIDAD PUBLICA MUNICIPAL,4446588.78
11003,2,1,FONDO ESTATAL PARA EL FORTALECIMIENTO DE LA SEGURIDAD PUBLICA MUNICIPAL,5174808.84
11004,1,2,NO APLICA,NA
11004,2,2,NO APLICA,NA
11005,1,9,NO IDENTIFICADO,NSS
11005,2,9,NO IDENTIFICADO,NSS
11006,1,2,NO APLICA,NA
11006,2,2,NO APLICA,NA
11007,1,1,FONDO ESTATAL PARA EL FORTALECIMIENTO DE LA SEGURIDAD PUBLICA MUNICIPAL,18000526.79
11007,2,1,FONDO ESTATAL PARA EL FORTALECIMIENTO DE LA SEGURIDAD PUBLICA MUNICIPAL,22606965.47
11008,1,9,NO IDENTIFICADO,NSS
11008,2,9,NO IDENTIFICADO,NSS
11009,1,2,NO APLICA,NA
11009,2,2,NO APLICA,NA
11010,1,9,NO IDENTIFICADO,NSS
11010,2,9,NO IDENTIFICADO,NSS
11011,1,2,NO APLICA,NA
11011,2,2,NO APLICA,NA
11012,1,2,NO APLICA,NA
11012,2,2,NO APLICA,NA
11013,1,2,NO APLICA,NA
11013,2,2,NO APLICA,NA
11014,1,1,FONDO DE APORTACIONES PARA EL FORTALECIMIENTO MUNICIPAL Y DE LAS DEMARCACIONES,21950867.32
11014,2,1,FONDO DE APORTACIONES PARA EL FORTALECIMIENTO MUNICIPAL Y DE LAS DEMARCACIONES,18127616.52
11015,1,1,FONDO ESTATAL DE SEGURIDAD,5889789.79
11015,2,1,FONDO ESTATAL DE SEGURIDAD,6052925.68
11016,1,1,FONDO ESTATAL PARA EL FORTALECIMIENTO DE SEGURIDAD PUBLICA,2629502
11016,2,1,FONDO ESTATAL PARA EL FORTALECIMIENTO DE SEGURIDAD PUBLICA,2760588.55
11017,1,1,FONDO ESTATAL PARA EL FORTALECIMIENTO DE LA SEGURIDAD PUBLICA MUNICIPAL 2021,12274755.72
11017,2,1,FONDO ESTATAL PARA EL FORTALECIMIENTO DE LA SEGURIDAD PUBLICA MUNICIPAL 2022,12614927.68
11018,1,2,NO APLICA,NA
11018,2,1,CONVENIO ESPECIFICO DE ADHESION,579139.46
11019,1,1,FONDO DE APORTACIONES PARA EL FORTALECIMIENTO DE LOS MUNICIPIOS,2867451.55
11019,2,2,NO APLICA,NA
11020,1,1,FORTAMUN,270965759.04
11020,2,1,FORTAMUN,327919173.93
11021,1,2,NO APLICA,NA
11021,2,2,NO APLICA,NA
11022,1,1,FONDO ESTATAL PARA EL FORTALECIMIENTO DE LA SEGURIDAD PUBLICA MUNICIPALFONDO ESTATAL PARA EL FORTALECIMIENTO DE LA SEGURIDAD PUBLICA MUNICIPAL,2823817
