ubicageo_f,rnspni1,nombre1,tinfre1,tinfre2,tinfre3,tinfre4,tinfre5,tinfre6,tinfre7,tinfre8,tinfre9,tinfre10,tinfre11,tinfre12,tinfre13,tinfre14,tinfre15,tinfre16,anios_a,periactu_b,siregadm_b,raauto1,raauto2,raauto3,raauto4,raauto5,raauto6,raauto7,raauto8,raauto9,raauto10,raauto11,raauto12,raauto13
2003,1,AREA REGISTRO,1,1,,1,1,,1,1,1,1,,,,,,,2008,1,5,,,,,,,,1,,,,,
2004,1,BASE DE DATOS GLOBAL,1,1,1,,1,,1,1,1,1,,1,,,,,2019,5,4,,,,,,,,1,,1,,,
2005,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,1,BASE DE DATOS,1,1,1,,1,,1,1,1,,,,,1,,,2022,1,5,,,,,,,,,,,,1,
2007,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
3001,1,BARANDILLA,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,2005,1,1,1,,,1,,,,,,,,,
3002,1,REGISTRO NACIONAL DE DETENCIONES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2022,11,5,1,1,1,1,1,1,1,1,1,1,1,,
3003,1,SISTEMA DE BARANDILLA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2019,1,5,,,,,1,,,,,,,,
3008,1,INGRESO POR FALTAS ADMINISTRATIVAS,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,2022,2,3,1,,1,,,,,1,1,,1,,
3009,1,SISTEMA DE BIOMETRIAS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2018,1,5,,,1,,1,,,,,,,,
4001,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4002,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4003,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4004,1,BASE DE DATOS DE DETENIDOS,1,1,1,1,1,,1,1,1,1,,,,,,,2022,2,4,1,,,,1,,,,,,,,
4005,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4006,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
4007,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4008,1,BITACORA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2020,1,5,,,,,1,,,,,,,,
4009,1,BITACORA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2018,1,5,,,,,1,,,,,,,,
4010,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4011,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4012,0,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4013,0,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5001,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5002,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5003,1,REGISTRO DE DETENIDOS,1,1,1,1,1,1,1,1,1,1,,,,,,,2022,3,1,1,,,,,,,,,,,,
5004,1,LIBRO DE REGISTRO,1,1,,,1,1,1,1,1,1,,1,1,1,,,2014,2,1,1,,,,1,,,,,1,1,,
5005,1,INFORME POLICIAL HOMOLOGADO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2019,5,4,,,,,1,,,,,,,,
5006,1,REGISTRO NACIONAL DE DETENCIONES,1,1,1,1,1,1,1,1,1,,,,,,,,NSS,2,1,,,,,,,,,,,,1,
5007,1,ARCHIVO DE INFORME POLICIAL HOMOLOGADO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2021,10,1,1,,,,,,,1,,,,,
5008,0,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5009,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5010,1,LIBRO DE GOBIERNO,1,1,,,1,,1,1,,,,,,,,,NSS,2,1,,,,,,,,,,,,1,
5011,1,ARCHIVO DE DETENIDOS,1,1,,1,1,,1,1,,1,,,,1,,,2019,12,3,,,,,,,,,,,,1,
5012,0,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5013,0,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5014,1,REGISTRO NACIONAL DE DETENCIONES,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,2021,2,4,1,,,,1,,,1,,,,,
5015,0,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5016,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5017,1,INFORME POLICIAL HOMOLOGADO,1,1,1,,,1,,1,,,,,,,,,2022,2,9,1,,,,1,,1,,,,,,
5018,1,BITACORA DE DETENIDOS,1,1,,,1,1,1,1,1,1,,1,,1,,,2010,5,5,,,,,,,,,,,,1,
5019,1,BITACORA IPH,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,2020,1,5,,,,,,,,,,,1,,
5020,1,LISTA MENSUAL DE REMISIONES,1,1,,,1,,1,,,,,,,,,,2015,5,4,,,,,,,,,,,,1,
5021,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5022,1,REGISTRO DE DETENIDOS,1,1,1,,1,,1,1,1,1,,1,,1,,,2015,5,4,1,,,,1,,,1,,,,,
5023,1,REGISTRO NACIONAL DE DETENCIONES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2022,3,5,1,,,,,,,,,,,,
5024,1,LIBRO DE REGISTRO,1,1,1,1,1,1,1,1,,,,,,,,,2020,5,1,1,1,1,,,,1,,,,,,
5025,1,BITACORA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2022,3,3,,,,,,,,,,,,,1
5026,0,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5027,1,UNIDAD DE ANALISIS,1,1,,,1,,,1,,,,,,,,,2014,2,3,1,1,,,1,,,1,,,,,
5028,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5029,1,REGISTRO NACIONAL DE DETENCIONES,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,2022,1,4,1,,,,,,,,,,,,
5030,1,SISPEM,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,2016,1,5,1,,,,1,,,1,,,1,,
5031,1,DETENCIONES,1,1,,1,1,,1,1,,1,,,,,,,2016,5,2,,,,,1,,,1,,1,,,
5032,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5033,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5034,1,INVENTARIO DE PERSONAS RECLUIDAS EN LAS CELDAS,1,1,1,1,1,1,1,1,,1,,,,1,,,2021,10,1,,,,,,,,,,,,1,
5035,1,NOVEDADES,1,1,1,1,1,1,1,1,1,1,,1,,1,,,2014,1,5,1,,1,,,,,,,,,,
5036,1,BITACORA IPH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2019,5,3,1,,,,,,,,,,,,
5037,1,BITACORA DE IPH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2022,1,4,,,,,,,,,,,,1,
5038,1,BOLETA DE DETENCION,,,,,,,,,,,,,,,,1,2022,1,1,1,,,,1,,,1,,,,,
6001,1,LIBRO DE DETENIDOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2022,7,1,1,,,,,,,,,,,,
6002,1,BASE DE DATOS DE DETENIDOS,1,1,,1,1,,1,1,1,1,,,,,,,2021,2,4,1,,,,,,,,,,1,,
6003,1,REGISTRO DE DETENIDOS,1,1,1,1,1,1,1,1,1,,,,,1,,,2011,5,4,,,,,,,,,,,1,,
6004,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6005,1,INDICE DELICTIVO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2021,5,2,1,,,,,,,1,,,,,
6006,1,REGISTRO NACIONAL DE DESAPARECIDOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2019,1,5,,,,,,,,,,,,1,
6007,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6008,1,BITACORA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2017,1,1,1,,,,,,,,,,,,
6009,1,INCIDENCIA DELICTIVA,,,,,,,,1,,,,,,,,,2021,5,3,,,,,1,,,,,,,,
6010,1,RELACION DE DETENIDOS,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,2021,1,5,,,,,1,,,,,,,,
7001,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7002,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7003,1,ARCHIVO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2021,2,1,1,,1,,,,,,,,,,
7004,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7005,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7006,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7007,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7008,1,FORMATOS FOLIADOS,1,1,1,,,,1,1,,,,1,,,,,2021,11,1,,,,,,1,,,,,,,
7009,1,LIBRO DE DETENIDOS,1,1,,,1,1,1,1,1,1,,,,,,,2021,5,1,1,,,,,,,1,,,,,
7010,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7011,1,INFORME POLICIAL HOMOLOGADO,1,1,,,,,,1,,,,,,,,,2022,10,2,,,,,,,,,,,,1,
7012,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7013,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7014,1,LIBRETA DE REGISTROS ADMINISTRATIVOS,1,1,1,,1,,1,1,,,1,1,,1,,,2021,2,3,1,,,,,,,,,,,,
7015,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7016,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7017,1,LIBRO RE REGISTRO DE DETENIDOS,1,1,,,1,,1,1,1,,,,,,,,2022,2,3,,,,,,,,,,,,1,
7018,1,FORMATO DE PERSONAS DETENIDAS,1,1,1,,,,,,,,1,,,,,,2021,1,1,1,,,,,,,,,,,,
7019,1,BITACORA,1,1,1,1,1,1,,1,,,,,,,,,2021,1,1,1,,,,,,,,,,,,
7020,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7021,1,BITACORA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2021,1,2,,,,,,,,,,,,1,
7022,1,REGISTRO DE DETENIDOS,1,1,1,,1,,1,1,1,1,,,1,,,,2021,1,2,,,,,,,,,,,,1,
7023,1,REGISTRO DE DETENIDOS,1,1,1,,,,,1,,,,,,,,,2021,1,1,,,,,,,,,,,,1,
7024,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
7025,1,BITACORA,1,1,,,1,1,1,1,,,1,1,,1,,,2021,1,1,,,,,,,,1,,,,,
7026,1,LIBRO DE DETENIDOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2021,1,3,,,,,,,,,,,,1,
7027,1,PUESTAS A DISPOSICION,1,1,,,,,1,1,1,,,,,,1,,2008,1,1,,,,,,,,,,,,1,
7028,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7029,1,BITACORA DE DETENCIONES 2022,,,1,,1,,,1,,1,,,,1,,,2022,5,1,,,,,1,,,,,,,,
7030,1,BITACORA,1,1,1,,1,,1,1,1,,,,,,,,2021,2,1,1,1,,,1,,,,,,,,
7031,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7032,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7033,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7034,1,FICHAS DE DETENCION,1,1,1,,1,,1,1,1,,,,,,,,2021,2,1,1,1,,,1,,,,,,,,
7035,1,PERSONAS DETENIDAS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2021,1,1,1,,,,1,,1,1,,,,,
7036,1,BITACORA MANUAL,1,1,,,1,,,1,,,,,,,,,2022,1,1,,,,,,,,,,,,1,
7037,1,ARCHIVO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2022,10,1,,,,,,,,,1,,,,
7038,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7039,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7040,1,CONTROL DE DETENIDOS,1,1,1,1,1,1,1,1,1,1,,1,,,,,2021,5,1,1,,,,,,,1,,,,,
7041,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7042,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7043,1,BITACORA,1,1,,,1,1,,1,,1,,1,,,,,2021,2,1,,,,,,,,,,,,1,
7044,1,LIBRO DE REGISTRO,1,1,1,1,1,,1,1,1,1,1,,,1,,,2017,2,1,,,,,,,,1,,,,,
7045,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7046,1,LIBRO DE DETENIDOS,1,1,1,1,1,,1,1,1,1,1,1,,1,,,2021,2,3,1,,,,,,,1,,,,,
7047,1,VITACORA DE DETENCIONES,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,2022,5,3,,,,,,,,,,,,1,
7048,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7049,1,LIBRETA DE REGISTRO DE DETENCIONES,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,2021,10,1,,,,,1,,,,,,,,
7050,1,RESGISTRO DE PERSONAS DETENIDAS,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,2021,1,1,1,,,,,,,,,,,,
7051,1,LIBRO DE DETENIDOS,1,1,1,1,1,1,1,1,1,1,,1,,,,,2021,5,1,1,,,,,,,1,,,,,
7052,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7053,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7054,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7055,1,BITACORAS,1,1,1,,1,,1,1,,,,1,,1,,,2021,1,1,,,,,,,,1,,,,,
7056,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7057,1,BASE DE DATOS,1,,,,,,1,1,,1,,,,,,,2019,2,2,,,,,,,,,,,,1,
7058,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7059,1,PLATAFORMA MEXICO,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,2011,1,5,1,,,,1,,1,1,,,,,
7060,1,BITACORA DE DETENCIONES,1,1,,1,,,1,1,,,,1,,,,,2021,1,1,1,,,,,,,,,,,,
7061,1,BASE DE DATOS DE INFRACTORES,,1,,,1,1,1,1,1,1,1,1,1,,,,2022,1,4,,,1,,,,,1,,1,,,
7062,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7063,1,BITACORA DE PERSONAS DETENIDAS,1,1,,,1,,1,1,,,1,,,,,,2021,99,1,,,,,,,,1,,,,,
7064,1,BITACORA DE NOVEDADES,1,1,,,1,,1,1,1,1,1,1,,,1,,2022,2,1,,,,,,,,,,,1,,
7065,1,PLATAFORMA MEXICO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2022,1,1,,,,,,,,,,,,1,
7066,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7067,1,BITACORA,1,1,1,,1,1,1,1,,,,1,,,,,2021,1,1,,,,,,,,,,,,1,
7068,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7069,9,NO IDENTIFICADO,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,997,97,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS,NSS
7070,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7071,1,LIBRO DE DETENCIONES,1,1,,,1,1,1,1,1,1,,,,,,,2021,3,1,1,,,,,,,1,,,,,
7072,1,INFORME POLICIA HOMOLOGADO,1,1,,,,,,,,,,,,,,,2021,3,1,1,1,,1,1,,,1,,,,,
7073,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7074,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7075,3,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7076,2,NO APLICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7077,1,REGISTRO DE DETENCIONES,1,1,1,,1,,1,1,,,,,,,,,2021,3,4,1,,,,,,,,,,,,
